20090129083411AADUFZ2	Science & Mathematics;Geography	Why did this volcano erupt?	Does anyone know why the Llaima volcano erupted?    (The Llaima volcano is in Chile)   Thanks
20090129083653AAN93kg	Science & Mathematics;Mathematics	I need to know what is " Xsquared + Ysquared = 5"?	N/A
20090129083645AA4HO8I	Science & Mathematics;Chemistry	Chromium (VI) sulphate formula:  is there such a thing?  Can't find it on the web...what is the formula?  ?	I find chromium (III) sulphate, but no info on my question. THANKS!!!
20090129083909AABvoJl	Science & Mathematics;Zoology	Is the human anatomy more similar to that of a goat or a cow?	N/A
20090129083813AAEfRNX	Science & Mathematics;Biology	Mammals and birds regulate their internal body temperature so that it remains constant.?	Mammals and birds regulate their internal body temperature so that it remains constant. This is and example of the characteristic of life known as:     Response     Metabolism     Development     Homeostasis
20090129083733AAlvc5i	Science & Mathematics;Engineering	Why the reynolds number is dimensionless?	can someone explain me please why?
20090129084440AApltPL	Science & Mathematics;Physics	Weird Science !  Can you explain this odd, accidental scientific phenomenon I discovered in my kitchen?	I made some soup and I set the pan's lid on the counter, and the water droplets that were stuck to the lid started to sizzle and boil !   My lid is clear glass, so I could see it boil too.      This water had to have been MUCH cooler than boiling point, because the soup was not boiling, plus, the countertop is at room temperature.      WHY did this trapped water boil and sizzle like this?
20090129084456AAtLHlE	Science & Mathematics;Physics	Physics help needed!?	A river flows due east at 1.30 m/s. A boat crosses the river from the south shore to the north shore by maintaining a constant velocity of 10.4 m/s due north relative to the water. What is the velocity of the boat relative to shore?       If the river is 343 m wide, how far downstream has the boat moved by the time it reaches the north shore?
20090129084546AAx96Ux	Science & Mathematics;Physics	Please help!! Physics problem!?	A swimmer heads directly across a river, swimming at 1.10 m/s relative to the water. She arrives at a point 53.0 m downstream from the point directly across the river, 75.0 m wide. What is the speed of the river current?         What is the swimmer's speed relative to the shore?         In what direction (as an angle relative to a direct line across the river) should the swimmer aim instead, so that she arrives at the point directly opposite her starting point?
20090129084503AA8Id8a	Science & Mathematics;Mathematics	Algebra word problem. need help.?	Graphs that do not cross or meet the x-axis do not have real roots. In other words, they don't have factors of the form of ax + b, where a and b are _____ numbers.
20090129084323AA96nD9	Science & Mathematics;Botany	Can dried pomelo peel and leaves cure arthritis?	We have an investigatory project.   Do you know where I could find something about this?   Anything that could help.   Thanks soo much :)
