20090220072842AAGP4V1	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	How can you tell if there faking it ???	you know what i mean.
20090220072856AAhNYEF	Society & Culture;Languages	What Language should I learn?	Im a teen, and I am trying to decide what language to learn. I'm thinking about Classical Latin, German, Hebrew, or Spanish. However, i dont know where to find info on any of them. I'm 13, and learn fairly quickly, so about how long would it take for each?
20090220073118AAwYHuf	Society & Culture;Religion & Spirituality	How did Adam and Eve...?	get there leaves to stick perfectly onto there genitalia?      They didn't have glue or tape back then..
20090220073025AAS5iGA	Society & Culture;Holidays;Ramadan	What happened yesterday?	And WHY
20090220073056AAytGj7	Society & Culture;Religion & Spirituality	Catholics: a quick question?	I just read a response to a question in which a Catholic said "Jesus said that the way to Him is through His Mother Mary". Can you point me to where in the Bible this was said? Or since you believe in sacred tradition anyone in the first century who said it?      This is not an attack. I just want to know where you get this from.
20090220073150AA2eKoU	Society & Culture;Religion & Spirituality	Is "Prayer" merely a socially-acceptable means of "talking to yourself" ?	"Ooh... Do you see how your mouth stains the air?"      殺生丸殿
20090220073254AALJzf7	Society & Culture;Languages	What is your favourite accent?	What kind of accent do you have?...I don't consider myself to have a regional accent (I grew up in warwickshire in the UK) and what accent do you like or find sexy?
20090220073030AASOqWV	Society & Culture;Religion & Spirituality	What is everyone giving up for lent?	N/A
20090220073142AAwdpau	Society & Culture;Mythology & Folklore	What are some good ghost websites?	im doing a research paper on ghost and how they ae real i need help finding some good websites with good information
20090220073617AAqU85b	Society & Culture;Religion & Spirituality	Mormons-what is your religion about?	I am just curious about your practices and beliefs because I don't know anything about the religion at all. Thanks in advanced!
20090220073736AAGqqxh	Society & Culture;Etiquette	Why does secrecy gain females' loud applause?	N/A
20090220073550AAPHBe8	Society & Culture;Languages	What is a 'gag' in comedy?	I don't mean in a physical sense rather what does the word mean in relation to comedy. I hear about them all the time but I don't really know what they are exactly. Examples would be good
