20090304162506AALGSL3	Society & Culture;Religion & Spirituality	Can one be Gay and still be accepted by ones religion?	If not, why not?
20090304163440AADutLH	Society & Culture;Religion & Spirituality	Is Rush Limbaugh a good example of a Christian?	N/A
20090304164425AApaLCv	Society & Culture;Religion & Spirituality	Atheists: Can I have your opinions on these subjects...?	Hi there atheists,      ? I would like to know where you guys stand on the following subjects and would like to have your opinions on:      1) Evolution from monkeys/apes.      2) Abortion      3) Gay Marriage      4) Existence of Extraterrestrial Beings      5) The Meaning of Life.            Thank you,   Peace
20090304164156AAJTud5	Society & Culture;Religion & Spirituality	What if you killed a person in self defense?	I am a Christian, and even though the Bible says not to kill, it also says that your body is the temple of the Lord, and you shouldn't let harm come unto it. If someone tried to hurt or kill you, they would be harming the temple of the Lord, so would it be a sin to kill someone out of self defense?
20090304170031AAd1hDm	Society & Culture;Religion & Spirituality	Why can't people accept that people are born Gay?	You were born heterosexual, the same is with homosexuals.      Who in the right mind would choose to be gay and discriminated?      It doesn't make sense, get over it.
20090304170744AAKyz8a	Society & Culture;Religion & Spirituality	Does the level of education among some frighten you at all?	I mean, clearly not all creationists are the same, and some know what they are talking about, but people like this:       http://answers.yahoo.com/question/index?...       ... words cannot express the sadness it brings me...      What about you?
20090304170733AALnNOy	Society & Culture;Religion & Spirituality	Will you accept my roses...?	= ).   .
20090304165919AAunUVw	Society & Culture;Religion & Spirituality	How are catholics NOT christians?	ever since coming on here i have heard that catholics are not christian when through out my life i have been taught otherwise
20090304170308AA5jmc3	Society & Culture;Religion & Spirituality	Atheists: Do you think that all people are basically good as opposed to the christians who think we're evil?	N/A
20090304172152AArXhOK	Society & Culture;Languages	I've honestly never heard anyone use the word?	Cotillion.   I've heard OF it and know what it means, but I've never heard anyone say it.   Where do they say it, because it's apparently not in the south! Ha :D
20090304170709AArZVAd	Society & Culture;Religion & Spirituality	Whats my purpose in life????????	N/A
20090304170245AAYTS8L	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	How do you know you're gay?	I am 18 years old, ever since i can remember i've always checked girls out, been in relationships with girls, had sex with girl and never once though about being gay because it didn't feel wrong, i enjoyed being with the girls. Now i am suddenly questioning my sexuality. Is this just a phase that people go through?
20090304170523AAREI3E	Society & Culture;Religion & Spirituality	Hahahahahahahahaha Kent Hovind?	Meet Kent, he is a creationist. And he believes that the world was covered in water because of the flood. In the flood, a 200x200x200, -300 degree celsius ice meteor struck the world,falling from infinite , after breaking into pieces first. Due to the magnetic fields, most of the pieces hit the top and bottom of the Planet, creating cold giant cold spots, now known as the north and south poles, freezing the mammoths standing up.      Hmm, now lets disprove that. to escape the earth's gravitational well, you need to be traveling at 10km/sec. This of course is 300x the speed of sound. This is also the velocity that an object falling from infinite to the earth's surface will gain. Now a object needing to escape from the Sun's gravitational well needs to be traveling at 30km/sec, or 900x the speed of sound, that's New York to Los Angelos in 2 minutes . The meteor would need to escape from the sun's gravitational well to get to Earth. Now it turns out, a -300 degree celsius object traveling at 900x the speed of light would gain 10000 degrees celsius of heat. Now, something traveling at 900x the speed of sound, at the temperature of 9970 degrees celsius hitting the earth would certainly not make "cold spots" and it wouldn't freeze the mammoths where they stand, it would incinerate them. Now to calculate the amount of energy one ton of water would release hitting the earth at 900x the speed of sound, you need a base, in a recent experiment, a 1/3 ton object struck a meteor at 300x the speed of sound, releasing the equivalent amount of  energy as 4.5 tons of TNT, now something weighing 1 ton moving at 900x the speed of sound would release the equivalent amount of energy as 200,000 pounds of TNT.      Kent, you just got P0WNED.            Please comment on what you think of the mathematical ownage.
20090304170702AAO5FVC	Society & Culture;Religion & Spirituality	Did the German feel bad about the Holocaust?	I need to get some background knowledge about the Holocaust for this project I need to do.  After the Holocaust did the Germans feel bad about not doing anything for the Jews? If you can help thanks!
20090304170747AAQbYgw	Society & Culture;Religion & Spirituality	What was Jesus doing during the Holocaust when millions of Jews were tortured and murdered?	N/A
20090304172237AAfdITz	Society & Culture;Languages	How do you pronounce man??	Its Romanian for 'Hand' and I want to know how to pronounce it. It was in Shadow Kiss by Richelle Mead
20090304181025AAcLyQK	Society & Culture;Religion & Spirituality	A question on Buhdism...............?	Right now I am a Christian (Lutheren) however I kinda am think about becoming Buhdist.  I like the whole after life idea, and the chanting.  If you are Buhdist can you tell me how you like it? and some pro's and con's.
20090304174144AAWa2Gq	Society & Culture;Religion & Spirituality	If we found evidence that the Founding Fathers of the US were Muslims, atheists and pagans...?	...would that change anything about how the Constitution should be interpreted?      I'm trying to understand this ongoing "debate" in this section on whether or not the Found Fathers were Christians, and why the heck that would even matter.
20090304180629AAl0NbM	Society & Culture;Religion & Spirituality	Creationists, why do humans have vestigial organs?	Like the appendix or the wisdom teeth or goosebumps or the coccyx or the plica semilunaris (the pink thing in the corner of your eye - leftover from a third eyelid)      Why do we have non-functioning organs if god supposedly made perfectly?  They are obviously left over organs that devolved as their need diminished.
20090304180603AAusVGU	Society & Culture;Religion & Spirituality	(Lol, deleted last time. The walls have ears!)?	(Let's travel back to WWII) What if Hitler met a Aryan (Blue eyes and blonde hair) looking boy but he was Jewish? (Somehow happened, and hypothetically) Would he kill or leave him be? What would happen?   >_>   Deleted last time. o_o;   Oh, spiritually speaking.   HAH! sorry..
20090304174714AAakg8F	Society & Culture;Religion & Spirituality	Where can I purchase a soul?	I don't have one.      A couple of good Christians told me I have lost it. Even though I am certain I never had one to begin with, and I believe I was born deficient in the soul part of my body/mind/spirit/universe/slash/slash. Where can I purchase one close to my home? Is there a reliable online department store I can use?       Also, is it ok to steal the soul of someone else who has already purchased one, but no longer uses it?
20090304174410AAuqlf6	Society & Culture;Religion & Spirituality	Did you know that the original story of Moses...?	was based off of the true life of Sargon the Akkad? His mother put him in a basket in the bullrushes and sent him down the river where he was found by an Akkadian Princess. He was the first person in the history of man kind to create an Empire. His empire lasted for 2 generations and stretched from the mouth of the Euphrates and Tigris to present day Jordon.      What do you Christians think about that? The bible isn't very original.
20090304173441AAUSuqo	Society & Culture;Religion & Spirituality	Are there any people........................…	christians that used to be atheists but converted to christianity ( or most likely converted back to christianity because most atheists start as christians ) in R and S right now. and to the other atheists that used to be christians or some other religion, what age did you start losing your faith in your god
20090304173624AAKDsdT	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Do you think that someone of my age lgbt?	Im 17,   & I'm wondering;   Do you think someone as young as I,   could experience true love?   for older users;   Do you think we usually just experience   puppy love in our age group?
20090304181105AAIxLnk	Society & Culture;Religion & Spirituality	The Number 19 Coincidence?	Has anyone experienced anything like the movie The Number 23, with any number?    For about 4 or 5 years the same thing has happened to me as in the movie. Even before it came out, am I just crazy? or does this really mean something in the end?
20090304172549AAUhrI3	Society & Culture;Religion & Spirituality	When there is pain and suffering, where is God?	First of all, I am a Christian, but now I question my faith and my belief.   I need insights.   My late boyfriend was a Christian as well, but he committed suicide two months ago. When he suffered, where is God.   When I am suffering from the pain of losing him, where is God? Who can answer me this
20090304180229AAWqHnQ	Society & Culture;Languages	How do I become pimp?	Not to be an actual pimp but like a verb, pimp..you know what I mean.
20090304180118AAEhbIJ	Society & Culture;Religion & Spirituality	Christians: What are you going to do?	When intelligent life from other planets finally make themselves known on a global scale? Wouldn't that obliterate your religion?
20090304175645AAUOmYS	Society & Culture;Religion & Spirituality	Does the Roman Catholic church teach that Muslims are also saved? I read in the Catechism of the Catholic Chur?	Church that Muslims are also granted salvatio nbecause they believe inthe God of Abraham. Is that true if you are a sincere Muslim does the RCC teach yo uare saved? Just wanted clarity on the official position.
20090304175650AAUSLoH	Society & Culture;Languages	How do you type the spanish n?	I know you have to use control and a 3 digit code but how exactly to get it to type i don't know.
20090304181233AAesoIl	Society & Culture;Religion & Spirituality	What is the religion where you believe in god but you do not believe he created the world.?	N/A
20090304201804AARokVa	Society & Culture;Religion & Spirituality	Christians where is the word strive and try in this scripture?	Matthew 5:48   Be ye therefore perfect, even as your Father which is in heaven is perfect.      Since 99.9 percent of the church says strive or try. I want you to point out the words strive or try in the scripture above.       Proverbs 35:5-6   5   Every word of God is pure: he is a shield unto them that put their trust in him.   6   Add thou not unto his words, lest he reprove thee, and thou be found a liar.   Deuteronomy 4:2-3   2   Ye shall not add unto the word which I command you, neither shall ye diminish ought from it, that ye may keep the commandments of the LORD your God which I command you.   3   Your eyes have seen what the LORD did because of Baalpeor: for all the men that followed Baalpeor, the LORD thy God hath destroyed them from among you.   So keep adding and subtracting from the word of God and you won't have to worry about non-believers going to hell by themselves.    Matthew 7:22-23   22   Many will say to me in that day, Lord, Lord, have we not prophesied in thy name? and in thy name have cast out devils? and in thy name done many wonderful works?   23   And then will I profess unto them, I never knew you: depart from me, ye that work iniquity.   This is the very reason my children will not be raised or taught around church folks who are taught within the four walls.
20090304194211AAyArsR	Society & Culture;Religion & Spirituality	How do you think God feels about all he sees at 6075 years after Adam, how much better is mankind?	God could have wiped out all on earth at any time, but he    has not done so.   In all this time in the bible, there has been a few good men.   Just think about how many decent people there were when   the flood came to wipe out earth wide violence, year 1656.   Abraham is not surrounded by anything God could look   down upon and be proud of at 427 years after year 1656.   When Moses dies 470 years later, there have been a few   good men, but not the majority as Joshua establishes a   way for law enforcers to get a start as Judges, and 480   years later 1Ki.6:1, Solomon is third king and has 36 more   years, there will be 18 kings, and 14 generations more to   Matt.1:1-17, in the New Testament at 1st coming of Jesus.   So how different is it at 2009 years after bible years ended?
20090304200026AAjNJ0R	Society & Culture;Religion & Spirituality	Does the act of *thinking* or fantasming about something against our moral values make us bad?	Or is it only truly wrong when you actually DO what you are thinking?      If we think about something that we would actually never do, but in our head gives us pleasure (like wanting to kill someone, or something like that)?
20090304194000AA1kdta	Society & Culture;Religion & Spirituality	If academic journals were replaced by youtube videos, how quickly would the world collapse?	N/A
20090304190412AAto32X	Society & Culture;Religion & Spirituality	Is fear an important part of life?	N/A
20090304194451AAZxjrJ	Society & Culture;Religion & Spirituality	Do you think the earth will become hell once the sun explodes?  Some believe the earth is hell already?	N/A
20090304191754AAHkBO2	Society & Culture;Religion & Spirituality	Why do atheists have low birth rates?	 http://en.wikipedia.org/wiki/Demographic... 
20090304200104AA6Iw9p	Society & Culture;Religion & Spirituality	Christians? Have you ever felt a little frisky after reading a chapter from the bible?	Is this a normal thing that can happen to anyone?
20090304185751AAySMpz	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	I think my uncle might be gay?	my uncles had girlfriends before and all and hes great and funny but theyve all ended and hes single right now, ive been wondering for a while about the fact he might be gay but i dont really know how to find out and all, im bisexual and i know how to ask if its a friend and all because its not as weird and awkward as it would be to ask my uncle, does anyone have any ideas?
20090304194821AAQ8XIC	Society & Culture;Religion & Spirituality	An earlier question just got me thinking...?	Do animals have sex to reproduce or because it's pleasurable? Do they understand that sex leads to offspring?      I know it's off R&S topic but it relates to the earlier question...
20090304201919AAe7Zxd	Society & Culture;Religion & Spirituality	Does anyone really think they haven't been indoctrinated?	It's a classic accusation many people throw at the religious people but are there really any non religious people out there that truly believe they havent been indoctrinated by their societies, cultures, families, media, education, etc etc?      Why is indoctrination used as a bad term?      Is it wrong to indoctrinate children to eat their vegetables or to not tell lies?         Don't we pass on our societal values and traditions thru indoctrination?
20090304181422AANJjc5	Society & Culture;Religion & Spirituality	How do you break the spell of curse ?	N/A
20090304201910AA5BrIo	Society & Culture;Religion & Spirituality	At your most spiritual, how do you feel?	N/A
20090304183118AAuSKxQ	Society & Culture;Religion & Spirituality	Are you preparing for the changes that are ahead in America?	What kinds of things are you doing?
20090304194503AABoHjT	Society & Culture;Religion & Spirituality	Does anyone know any good Bible verses about comfort?	Me and a friend exchange Bible verses every night. Its just something we both like doing. It helps us in our faith. For some reason God is asking me to find some good verses about comfort. I think that my friend may need some. But unfortunatly I really don't know any. If any of you have any that you think would help, please let me know. It would mean so much to me.      Thank you and God Bless.
20090304202500AALzBsr	Society & Culture;Religion & Spirituality	If the Catholic Bible has "extra books" to it, then why does the Bible I read have only the 66 books?	I'm just trying to understand, because I never knew this until about 2 weeks ago from Y!A   Isn't there something in the Bible regarding "ADDING" to or "TAKING AWAY" from the Bible.      I'm a Christian, non-denominational, and as I understand it, I thought Catholics were too (Christian)      Please enlighten me.  And please don't call me stupid or ignorant.   I just want to know, please.
20090304181545AA22b4q	Society & Culture;Religion & Spirituality	Anybody know why Christians were that gold "Tee" on a chain around their neck?	N/A
20090304190710AAPrCDu	Society & Culture;Religion & Spirituality	Why does my grandson think God has a southern accent?	N/A
20090304185721AAUOaEh	Society & Culture;Religion & Spirituality	What would be a good birthday present for an Evangelical TV Preacher?	N/A
20090304191443AAFP7Yk	Society & Culture;Religion & Spirituality	If two Mormon missionaries rode up to your place on bikes and knocked on your door, what would you do?	N/A
20090304195347AA9LkRS	Society & Culture;Religion & Spirituality	Is brainwashing children the only way churches get new members anymore?	N/A
20090304202549AAmlEbK	Society & Culture;Religion & Spirituality	Where in the bible does it say sex is for marriage?	and can you quote the exact thing it says thanks?
20090304193911AA2sdp1	Society & Culture;Religion & Spirituality	I need help with religion homework?	heres the question. List the five sorrowful mysteries of the Rosary. Then write a petition that you could pray after reflecting on one of these mysteries. all i would like is the petition please!!
20090304195632AAMEwPt	Society & Culture;Religion & Spirituality	Why did Obama disclose to our enemies that we are leaving Iraq 2010?	N/A
20090304182641AAA7mzE	Society & Culture;Religion & Spirituality	When does lent start and end this year? (i'm catholic)?	could some1 give me the exact date?
20090304200209AAxN4ye	Society & Culture;Religion & Spirituality	Are we close to the end of the world?	N/A
20090304201641AAkNHy9	Society & Culture;Religion & Spirituality	Is it wrong for me to wear a hijab to school as a non-muslim? (I think I might convert oneday)?	This is kind of hard to explain but in a nutshell: I have a muslim friend who recently came to my school from Egypt. Her first day of wearing her hijab was filled with teasing and extremely rude comments. The very next day I noticed that she was not wearing her hijab and when I asked her why she simply told me that she didn't have the heart to wear one anymore. So me and another friend did a lot of research on the Islamic culture (it's quite beautiful). We decided to wear hijabs to school so that our friend could start feeling more comfortable wearing hers...and it worked. The only problem now is that I find that I love wearing it and my dad says that it's weird and tells me that there are better ways of getting attention....(note: I'm not looking for attention). I just want to be myself and I feel like myself when I wear one...maybe I'm just confused. help please!!!!
20090304222323AAVE7I1	Society & Culture;Religion & Spirituality	Why did God hate Esau?	It seems like He hated him from the beginning.  That doesn't sound like a loving God.      Malachi 1:2,3   Romans 9:13
20090304222339AALIAbX	Society & Culture;Etiquette	How to deal with NASTY people at work??	We have a new lady starting at our office, she's in her mid 40's.  She has only been here two weeks, at first she was really nice, overly nice in a way.  Then she started getting snobby and bossy, telling girls younger than her (like me) what to do all the time.      Everyone here is equal, there is no boss, expect for the Team Leader who is currently away.  Then she started getting really nasty and snappy.  She threw a massive fit because the printer wasn't working one day and screamed and walked out of the room.  She just walks around like she is too good and is above everyone, plus she always has this SOUR look on her face.  She never says hello to anyone when she starts, I just find her really rude, negative and offensive.      I've already reported it to the Team Leader who is away but what else can I do for myself that can help me deal with her, besides talking to her.  Thanks guys.
20090304224929AAaxief	Society & Culture;Religion & Spirituality	What's the difference between a religion and a conspiracy theory?	They all have their own 'evidence'
20090304222721AAXFDM3	Society & Culture;Religion & Spirituality	Religionists...if being of the GAY is wrong, why would god make it so much fun to watch 2 chicks together?	Come on, admit it...even if you are utterly repulsed by homoerotic acts, you can't help but keep looking at two hot chicks going at it and eventually wanting to join in.
