20090307160135AA84YER	Society & Culture;Mythology & Folklore	Do you Yahoo,, Or have you been Yahoood, or Do you Google or Have you been googled?	Who is watching you
20090307160212AABcohe	Society & Culture;Languages	What does the word (off) mean in turkish?	N/A
20090307160227AANNUOP	Society & Culture;Mythology & Folklore	Mythology: what is a nereid? what do they look like? are there any common characteristics expected in them?	N/A
20090307160223AApzf6c	Society & Culture;Other - Society & Culture	Billie Jo Spears and Britney Spears, are they related?	I saw this video on YouTube and was wondering are Billie Jo Spears and Britney Spears related?       http://www.youtube.com/watch?v=XpA0oPR_E... 
20090307160302AA01BaW	Society & Culture;Religion & Spirituality	What is the Latter Day Rain Movement?	I know of a church that has some of its foundations in the Latter Day Rain movement, but I dont know much about this, and its implications if any on Christian faith and church life experience.
20090307160113AACanTP	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Do You Think My Friend Who Is Half Italian And Half Cuban Can Pass For An African American ?	Her mother is Cuban and her father is Italian.    http://img166.imageshack.us/my.php?image... 
20090307160213AA7MNGv	Society & Culture;Languages	Help i need to speak koran?	help cant speak korean help plaease i have nothing to do
20090307160225AA53RQ7	Society & Culture;Etiquette	Is it ok to hate this guy?	WHY do i hate Terrance Marshall so much, the guy makes my skin crawl, i would love to see him die a slow and painful death, so slowly he can feel the maggots eating him alive!      The guy he crippled has to live with himself for the rest of his life while terrance walks around with his uni degree paid for by us tax payers because they didnt want to release him into nothing???? WTF, what about the guy he crippled? He's got nothing and no-ones insurance covered him? The state wont pay for him to get a uni degree?       The British justice system? More like the British piss take system, reward those who tresspass agianst us!
20090307160253AAHDfb5	Society & Culture;Religion & Spirituality	Would you rather get baptised or not before you died?	N/A
20090307160440AAPozTA	Society & Culture;Other - Society & Culture	Did anything good happen to you lately?	I met a guy online yesterday and he's really cute. He lives nearby and asides from that, he just seems like such a great guy. Of course i haven't met him in real life and i've barely talked to him but i've been fantasizing about him already and it is just really... good :)   What's your good thing?
20090307160339AAe7Xyc	Society & Culture;Religion & Spirituality	Is it considered hate when Jehovah's Witnesses keep going door to door ?	N/A
20090307160722AANcIVt	Society & Culture;Religion & Spirituality	What do you think true happiness is?	N/A
20090307160356AAgnUmE	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Why do so many people on this section think that stereotypes are far from the truth?	Im not saying that any stereotype is true about everyone or that a stereotype applies to 90% of the people its about. However in general stereotypes sure as hell dont apply to only 5-10% of the people they're about.      I mean really, does acting like stereotypes are completely false really make them go away? Has Political Correctness really gone that far to where people are now in denial about tendencies among their groups? Instead why not acknowledging them and doing something about it like reaching out to your community and letting them know what kind of image the public has of you? If you're an exception why not make yourself known?
20090307160444AACdykN	Society & Culture;Mythology & Folklore	How can you tell if you are Gifted?	Okay, this will sound insane, but how can you tell if you have been gifted with a power? I think I have, with water, air, and earth. I also am good in the paranormal range- I hear ghosts sometimes, and I have preminitions more and more.    (It used to be like i'd have one, then a year later it happens. Now it's like I have one, and a day or two later it happens)    They usually come in bursts up to a month long. They usually happen in my sleep. It'll sometimes go crazy, then it will calm down, then go back to crazy ect.    Please, I know it sounds crazy, just have an open mind. I am just curious. It may be possible, all you people who dont believe, you dont know everything.   Thanks!   ~Megan
20090307160401AAThQJV	Society & Culture;Community Service	Volunteer "jobs" for my 14 yr old  daughter this summer. Any  ideas.?	N/A
20090307160406AAGB8av	Society & Culture;Languages	What does " (sp?) " stand for/ mean?	I really don't know this stuff.   I see people use it all the time, but I have no knowledge of the meaning... or abbreviated meaning.    Help?:
20090307160728AAFf63k	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	LGBT: random 25's!   (:?	1. Where were you 3 hours ago?           2. Who are you in love with?              3. Have you ever eaten a crayon?              4. Is there anything pink within 10 feet of you?              5. When is the last time you went to the mall?              6. Are you wearing socks right now?              7. Do you have a car worth over $2,000?              8. When was the last time you drove out of town?              9. Have you been to the movies in the last 5 days?              10. Do you smoke?              11. What was the last thing you had to drink?              12. What are you wearing right now?              13. Do you wash your car or let the car wash do it?              14. Last food that you ate?              15. Where were you last week at this time?              16. Have you bought any clothing items in the last week?              17. When is the last time you ran?              18. What's the last sporting event you watched?              19. What is your favorite animal?              20. Your dream vacation?              21. Last person's house you were in?              22. Worst injury you've ever had?              23. Have you been in love?              24. Do you miss anyone right now?              25. What is your secret weapon to lure in the same sex?
20090307160740AABbEz8	Society & Culture;Other - Society & Culture	What's the worst thing to find on a plane?	Id say to reach into the seat pocket in front of you and find an already used vomit-bag...
20090505184412AAXldOn	Society & Culture;Religion & Spirituality	Spiritually speaking, i have just adopted a fellow R&Ser?	As some of you may know, Lime Lime Lime all of the Time was in desperate need of a marsupial. So, being the stand-up bandicoot that i am, i adopted him. Now he has a pouch all to himself!    http://answers.yahoo.com/question/index;...    Well, my questions are:       What fellow R&S user would you like to adopt?   What would you name or rename them?   Would you be abusive to them?   How would you punish them?   Would you make them choose your religion or lack thereof?       And remember, i hate being taken seriously, so make it funny! Adopt away R&S!                                   -your friendly succubi bandicoot
20090307160844AAw5oCx	Society & Culture;Religion & Spirituality	Are there any psychics who can answer my question for me?	His birthdate November 13th 1984 in sao paulo brazil   My birthdate september 5th 1985 at 8:00 a.m. in shanghai china      For best answer please give me dates... and on a scale of 1-10 how strongly you feel about each date.       a) When will I see him again?    b) how long will it last?   c) Can you give me tips on getting him and keeping him?   d) Is he obtainable for the long term?   e) When will we marry?    f) Tell me SOMETHING, ANYTHING so that I know your real   g) Why did he cut me out of his life?   h) Who is Thais M
20090307160847AAwZmfN	Society & Culture;Etiquette	DUMB DUMB Board Member.  How can I avoid her being re-elected?	Out little HOA has a 5 person board. One of these members has been on the board for 8 years straigh. It's not a good thing. She has won by default. Nobody else would challenge her and once again she is voted on.       This year was different. Instead of having Priscilla being our President again, we opted for another leader to change things around.. In doing that we are no previe to the fact that Prissy has kept many unknown charges and pay out to vendors and didn't share this with the board. It's against the rules and its an issue. Examples? She told a plumber to go ahead and complete a project and didn't notify us, until after it was done. Our laws state these things MUST be voted on. Tonight I found out she has been paying a vendor for monthly service and we did not know about this, nor does the half wit able to tell us what she was paying them for.       How can we get the dumb one voted off the board when homeowners are so apathetic.. Prissy will be voted back on again unless we are able to get the neighborhood involved and get more candidates...       Really I would like some ideas on how to not have her win again...
20090307160905AA4kQwK	Society & Culture;Religion & Spirituality	Why do Christians see other religions as pagan?	When they perform their own voodoo type rituals.
20090307160825AAqfBcK	Society & Culture;Holidays;Ramadan	Ramadan: i just read a question on here and i decided to ask the same?	i got engaged to this man when i was 14 (i'm 17 now), and i really loved him,   when i returned to the U.S. all the love faded away, we argue EVERY single time we are on the fone, i cant remeber once were we had a normal conversation and i cant marry him.. he is a very self-centered and doenst care about me. my parents truly love this guy and i can just break it off. i'm suffereing a depression becuz my father set a wedding date on june 18, and i dont know wut to do.. i KNOW we wont last.          wut do i do?
20090307111836AAMqiwb	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	I ended my friendship with one of my best friends?	We are both in our 20's and we've been best friends since 2001. We were really close for about 6 years until I told him that i'm gay and everything just changed. He started spending less time with me and when I would call him most of the time he would ignore my calls. This morning I invited him out to breakfast and he agreed to come. We ate talked a little bit but i had to get out what was on my mind and i pretty much told him that our friendship is over. He broke down in tears and kept asking why was I doing this to him and that he has always loved me and that he still does. I explained to him how much he has hurt me by ignoring me like I'm no one and that I can't take it any more. I then paid for our food and kissed him on his cheek and said my last goodbyes and left. He's been calling me non stop asking me how could he get my forgiveness and that he'll do whatever it takes to be a better friend. He also admitted that he cut me off because of the fact that I am gay but said he didn't want me out of his life and defiantly didn't want to end our friendship.       Was this a valid reason to end a friendship over?
20090307112022AAgfNGl	Society & Culture;Etiquette	When someone asks you what you believe to be a stupid?	question, you bite your tongue, what would you really like to say to them.  Give me a question they ask, and how you would really like to answer it.
20090307113001AACsKHt	Society & Culture;Holidays;Hanukkah	What is the mathematical  equation for how many candles  are lit on Hanukkah?	..?
20090307111637AA0QSpX	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Would you go to town on ur own?	im kinda intimidated by all the gangs if im on my own?
20090307112219AADv7aH	Society & Culture;Etiquette	Help with Envelope Etiquette?	I have just entered the field of personalization and I have a question about address's on envelopes. So I have the parents invited and only 2 of the children, not all 4 of the children. Does it go like this:   Dr. and Mrs. John Smith   Allison and Hannah   34 Huckleschnuckle Street      OR      Dr. and Mrs. John Smith   Miss Allie and Miss Hannah   34 Huckleschnuckle Street      Thank you so much in advance!
20090307113159AA223ic	Society & Culture;Languages	Could somebody please translate this into German please? No online translation it never workds thank you.?	It’s going through somewhat of a revival. Afrikaans my grandfathers language on the other hand is sadly dying. Although spoken by around 6 million native speakers compared with the welsh language something near 700 000 speakers the language is loosing ground.
20090307113329AAaVSvp	Society & Culture;Languages	Ich brauche hilfe bitte, Could somebody translate the text below into German? No online translation though?	The main reason for this is the black government which is doing so much to promote the native languages and English that Afrikaans is being completely ignored. Most Afrikaans speakers are bilingual and therefore can speak English or a black language. Most people above the age of about 30 have a rudimentary knowledge of the Afrikaans due to the schooling system but this is not so these day’s
20090307101028AAd5lHr	Society & Culture;Holidays;Ramadan	Have you ever gotten a crush with a user here?	Be honest! Yes/No. No need for names!
20090307112229AAmZRfZ	Society & Culture;Languages	Help with the reported speech?	Hello everyone!   I would like to ask a little help changing some sentences into the reported speech. Please help me, it's urgent:      1) I am 25 years old. I was previously employed in a British shipping Company and my employers considered me to be very capable”.      2) “Can you tell me where I can find the ship-chandlers?      3) "You must decide what you want to do with the nautical almanacs.”      4) "I tried to ride a bicycle but I fell three times. So I stopped trying"      5) "He waited for you yesterday at the ship till eight o’clock, but you did not come. He thought you would come later, so he left you a message"      6) "I expect to hear some news tomorrow. I’ll tell if I do"      7) "I’ll try to be on time tomorrow. I’m sorry I forgot to come yesterday"      Thanks everyone!
20090307124217AAetZFT	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	What Newspapers do you read?	I posted this a while ago but too late in the day to have many English people respond, so Brits would be appreciated, as well as other countries of course :)      I was just wondering, which one do you read (bear in mind I only know about the major American papers so if they are less well known internationally a little description would be appreciated) and if you don't where do you get your news from.      I would imagine that most of the people in LGBT would read fairly left wing/liberal papers, however at the risk of incurring your wrath I myself am fond enough of reading The Daily Mail (no puns please :P) though I also enjoy the Sunday Times.      Thanks for reading this Q, and double thanks with sprinkles on top if you answer.
20090307120752AA0ee12	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	LGBT Poll: Bisexual or half gay/half straight?	This is a very controversial question! As many gay and lesbian are still not trusting bisexual people, like my friend who called them half gay or half straight.      I personally believe people can be bisexual, and I don't mind to date any, even though I know the stories around bisexual. But I think love and loyalty is about the person, not their sexual orientation.      btw, I'm gay.
20090307123237AAY8onU	Society & Culture;Languages	I need to find my name in another language.. helppp?	My name is Angela.   I want to find my name translated into Japenese Kanji.   If anyone could help, itll be very appreciated. =]
20090307115630AAqUr7l	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	What do lesbians have in common?	I know most gay men have many in common with straight women. But what about lesbian women? And who do they mainly have in common with?
20090307121731AA52nEz	Society & Culture;Languages	What do these chinese characters mean in English?	 http://s152.photobucket.com/albums/s185/... 
20090307124119AAQXITt	Society & Culture;Etiquette	Where do you believe etiquette towards women originated from?	By etiquette i mean "ladies first", opening doors, pulling out chairs for them etc.      Unbiased answers only please. That means you chauvinists, feminists and Christians. :)
20090307115051AAEaaBw	Society & Culture;Etiquette	Am I weird because I just want to work, and not party?	I don't like going to parties to much, and I really like doing homework...am I weird?
20090307115537AAU7K1T	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	What are your favourite Madonna songs?	Mine are...      Into the groove   Papa don't preach   Like a prayer   and Jump
20090307115430AAXBfZH	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	How can my wife best feminize my appearance and behavior?	N/A
20090307114359AAjSeK6	Society & Culture;Languages	What is wrong with this phrase in french?	I used the verb devenir many times on a french essay in passe compose and my teacher marked it worn and wrote Use etre and make the past participle agree... here are the sentences please help.      "Lily est devenu tres triste."   "Elle songes son devenu cauchemars!"
20090307122631AAC45Sv	Society & Culture;Languages	How to go about this !?	right i seen this boy 1 night i was walking up this dark ally way and i seen quite a tall boy he put his phone light on me and said my name i asked who it was and he said him name it turned out to be one of my best friends when i was younger that night he walked me home and we cuddled. one of his mates seen us and he went back and told his girl friend that we started kissing ect so  on the monday i went to school and his girlfriend pushes me and so i pushed her back but i didnt no that was his girlfriend anyways she says to me y did you kiss my boyfriend i asked her the name of her boyfriend and she said his name i explained what happend and that was the end of that !   but then a week later she pulled me up and started shouting at me so i fliped and started shoulding back and anyways evrey time i see her she shouts EHHHWWWW ! meaning me but its only when shes with her friends but when shes away from then she just gives me the eavils and i swear iam going to hit her but theres a chance if i do hit her she might try get me or my family members jumped by other people what should i do ?????
20090307115925AA2hi5n	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	I don't think I am gay as I am married, but I am curious to know what it feels like?	I am in my late 30's and would like to know what other people think
20090307122114AAmwd80	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	The thought of having sex with another man gives me an erection butI do not find men attractive in general?	I am married, 39 and would like to know if others have similar feelings
20090307121032AAwP4nf	Society & Culture;Mythology & Folklore	Are fairies real and where did they come from?	Fairies are real.But what do you think?If you think it's true where did they come from.I'm 10 and believe in faires.THEY EXSIST!
20090307121303AAkEgqG	Society & Culture;Languages	What does Atu Ankh Amen mean?	I think it might be Egyptian.  Can anyone help me out please?
20090307122254AARvopV	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	I'm not sure If I am Bi-Sexual.?	Hi. I'm a 20 year old male and I'm not sure if I am Bi-Sexual. I have always been attracted to girls but recently I've been looking at some guys differently. I'll see an attractive guy and I'll like to look at him sometimes I'll catch myself taking second glances. I've never had any sexual dreams of men nor do I masturbate to the thought of men but I am so confused because of that attraction. I'll just think to myself, "That guys kind of handsome". I looked at gay porn to see if I would be aroused but instead I felt scared looking at it (thinking I might enjoy it). However, I did think some of those guys in the porn were handsome. I'm so confused because of this attraction and I'd like to know if anyone else is going through this or has and if this is the beginning stage of realizing you are Bi-Sexual. I've read that many people know from an early age who they are attracted to but I can't remember ever being attracted to guys back then.      On a side note this second-guessing of my sexuality started when some people thought I was gay because I have not had a girlfriend yet. I felt they saw something in me that I wasn’t aware of.      Thanks.
20090307131637AAurIxg	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Who is your favourite artist?	Mine is John Constable- Such beautiful paintings
20090307130904AASyfZF	Society & Culture;Religion & Spirituality	Christians: how do we know if prphets out there are false or not because Bible says there will be many in end?	days?
