20080516170935AAilPZX	Travel;New Zealand;Dunedin	?Si Me Dice Que Se Viene, Debo Ponerme Felz?	Y recibirlo? =P
20080612215256AAmHN9J	Travel;Argentina;Buenos Aires	En argentina puedes encontrar un trabajo de medio tiempo siendo mexicana?	Pronto estudiare alla en las ma?anas, y me gustaria entretenerme en las tardes por alla, en algun lugar... haciendo lo que sea =) !!! Creen que pueda trabajar alla?! Eso si, si es muy dificil por el papeleo... yo creo que no!!! pero que piensan ustedes si se puede ir a estudiar y a trabajar?
20081003213945AAUrPoU	Travel;United Kingdom;Other - United Kingdom	Hello , I would like to move to Scotland . ?	I am native american and wondering how the Scottish feel about someone like myself . Plus I don't want to live in a big city but not to far away from civilization
20080622154809AACf6Qx	Travel;Travel (General);Other - Destinations	Quelle est l'ile lointaine la plus chouette que vous ayez visité ?	J'aimerais l'année prochaine me rendre dans un lieu chaud, une ?le de rêve peuplée de gens différents, de plages de rêves, d'une végétation magnifique, d'une faune rare, de temples, de lieux à part, de sites naturels encore préservés, un endroit dépaysant, accueillant, paradisiaque, décontracte, lointain et où la vie semble plus simple....   Un lieu où la vie est aussi peut-être moins chère qu'en France où tout me semble devenu "interdit, payant, règlementé à l'extrême et ultra-consommable" Un endroit où l'on a envie de sourire en voyant de petits riens tous simples se produire sous nos yeux ... ;)))
20081005085758AA1yPXW	Travel;Canada;Other - Canada	How many days should you spend in Niagra falls Candian side ?	i would like to Toronto as well and i have about 10 days in total, and do you need a hire car for toronto or is the public transport system better.
20081010162628AAlwQ8o	Travel;United States;New York City	Is new jersey a good place to ?	i live in colorado and want to move and i thought new jersey would be good so is it?
20081024183803AAZrb4k	Travel;United States;Los Angeles	Is the Playboy Mansion open to public for visit?	I have oversea friend to visit LA. Of coz I will bring him to those usual attractions such as Disneyland, Hollywood [I got them all] but I think visiting this Playboy Mansion could be special and interesting. Is it possible? Do they have a website?      Also do you suggest me anywhere UNUSUAL to visit other than those you see in tourist book?
20081026092856AABN6GB	Travel;United States;Other - United States	My friend came from usa amd he told me that about his experience of usa. it didnt sounded pleasant.?	my friend came from usa amd he told me that about his experience of usa. it didnt sounded pleasant. he had lived in usa for 3 years . he told me that in usa i used to see so many people on whose face smile didnt came  for 1or sometime 2 yrs . life is very hard in usa. he used to ate anti depressants tablets to remove his frustation .is it true . iam also trying to go and settle in america. should i go after my friends experience??
20081101040738AAfIVRw	Travel;United Kingdom;London	Lewis hamilton in the pits?	why is it that everytime (pre race) the camera focuses on hamilton, do they have to show he's ugly dad as well, why don't he just stay at home. 
20081112001529AAC9ijQ	Travel;United States;Other - United States	Are American cities safer than Chinese cities?	America is among the countries that have the highest crime rates while China is the opposite.   But some people said they felt safer living in America. What do you think is the reason and what's your opinion on this?
20061103124433AAJBW87	Travel;Other - Destinations	Em que cidade/estado você mora?	Tem vontade de viver em outro lugar?
20061104114954AAbT7Cp	Travel;United States;Miami	Estou precisando saber o endere?o do porto do Rio de janeiro?	N/A
20070124025830AA1LENG	Travel;United Kingdom;London	Ist man deutscher Staatsbürger wenn man in Deutschland geboren ist?	N/A
20070126024813AAA1VLr	Travel;Travel (General);Other - Destinations	Pourquoi les grandes puissances du monde n'acceptent pas l'utilisation du passeport du monde comme passeport.	Mr GARRY DAVIS un ancien acteur de Broadway et le pilote de bombardier de la deuxiéme guerre mondiale qui a renoncé à sa ci-   toyenneté des Etats-unies en 1948 pour vivre en tant que citoyen   du monde,en est l'initiateur,créateur et le prémier à l'utiliser pour pouvoir voyager partout dans le monde sans distinction.Bien qu'en l'appliquant ,il a brillé par des arréstations dans des pays ou il se rendait.L'autorités de service du monde qui en est le distributeur, offre même un avertissement spécifique au sujet des pays ou le passport ne fonctionne presque jamais:Le canada,la France,l'Allemagne,la Suisse,la Grande-Bretagne,et les Etats-unies.Je veux savoir pourquoi ces grands pays du monde n'accéptent-ils pas l'utilisation de ce passeport du monde ainsi que d'autres documents tels que :carte d'identité du citoyen du monde ,carte de naissance du monde ,visa de sortie du monde , et résidence du monde.J'ai bésoin des plus amples détails là-déssus.
20070201211956AAOKDgl	Travel;Africa & Middle East;Other - Africa & Middle East	Comment se passe la vie dans la republique democratique du Congo?	Au niveau hygine, scurit, cout de vie.
