20090203060738AAYW8A2	Travel;United Kingdom;London	Where can me and my mate (both 18) find a cheap 2 bedroom flat in London?	Preferably within 20 minutes of Stamford Bridge Stadium, SW6...?
20090220084151AABIFQ4	Travel;United States;Honolulu	How far away from Virginia is the town of Vertchighna?	In miles or Km I don't really mind.
20090203060007AAsFlZa	Travel;Ireland;Other - Ireland	Is it easy to get a job hairdressing in ireland?	N/A
20090219165422AAUvcd9	Travel;Canada;Toronto	"We Will Rock You" March discounts?	I could swear that I have heard/read of $28 tickets for all of March to celebrate the shows birthday but I havent been able to find anything online regarding a discount code to use online.      The only one Ive come across is "ROCK28" but that doesnt seem to work.      Is there such a promotion or am I just dreaming it?   And if so please tell :)      Thanks
20090203055554AAXjgZ0	Travel;Asia Pacific;Philippines	How to save the last dance?	N/A
20090203052425AA6Dzc4	Travel;Asia Pacific;Malaysia	Is Money everything,is once u have Money everything can be solve and automatically u will feel happy?	i am very confuse over this
20090203052117AAwnTBe	Travel;Asia Pacific;Thailand	Are there any thais use to ask Lottery number from Kumanthong and nangwak?	Can Kumanthong give us lottery number to bet on
20090220052215AAlxF0A	Travel;Asia Pacific;Malaysia	Are u still obsessing about a past relationship?	That absorbs all of your attention and has you wondering if he/her will come back. be honest...
20090220083733AA9MJmS	Travel;Caribbean;Trinidad & Tobago	No Faye Ann Lyons?? (Stupid characters)?	My friend's daughter asked me to do a research on some soca stars Faye-Ann being one of them.      I decided to use the wikipedia for the info.  I got Bunji, Machel, KMC but when i entered Faye-ann nothing came up, only that her name is mentioned in the bunji article as his wife!      Nothing on her, now thats an outrage.  She is one of the many woman icons in this country that is encouraging young womens-to-be to strive to actually be somebody.  She is pregnant, always in the spotlight and getting a set of critism about having a career and being pregnant and is dealing with it the correct way by making a name for herself and not giving a fart about what people have to say.      What do you think about this?
20090203054534AAYI3Uv	Travel;United States;New York City	Section 8 Real estates in Nyc?	does anyone know any real estates in NYC where they accept section 8 ?
20090220065104AAjOK1D	Travel;Asia Pacific;Malaysia	If you are a believer in second chance then how about a third chance, the last and the final?	Or what something that doesn't deserve a second or a third chance
20090220062455AAUO4k9	Travel;Asia Pacific;Malaysia	What counterfeit or fake good do you buy.?	N/A
