20081128133108AA52xi8	Travel;Mexico;Guadalajara	?donde puedo tomar clases de baile en guadalajara?	salsa, merengue, etc
20090220165734AARL6Xk	Travel;United States;San Antonio	How is life in San Antonio?	N/A
20090220162523AAQ6zhN	Travel;Cruise Travel	Best places to hook up on a cruise?	anyyy suggestions?
20090220155518AAaHjC5	Travel;Mexico;Other - Mexico	I need to call mexico, Do i NEED a phone card?	I need to make a phone call to mexico, I never have done this b4 lol, but i need to know that if i have free long distance do i still need a phone card? i think i do but im not very sure.
20090220161904AAVDfaL	Travel;United States;Orlando	Where can i find playboy shoes/clothes in orlando, florida?	looking for playboy clothing in orlando florida especially shoes ??
20090220124224AAskGwr	Travel;India;Other - India	Cooking schools in BANGALORE india ?	i really need to join a cookery school...please tell me some other place than MANJUS COOKING CLASS   i hope ull help me !!!
20090220163017AAixO2h	Travel;Asia Pacific;Japan	How many hours is on a plane from Manchester(England) to Tokyo(Japan)?	Please answer i want to go on holiday to japan but was wondering how long the flight would be, Please could you also give me details on what Tokyo is like if anyone has been there Thanks
20090220165844AAWOp0f	Travel;Europe (Continental);Turkey	Can you transfer from a Community college to a normal college in Turkey?	Like from a community college in usa to a college in turkey
20090220180627AAz5byz	Travel;Other - Destinations	Going for vacation!!? HELP!?	My friend lives in Connecticut, she just moved there, and I am visiting her by air and I am scared. Never done this before, and my dad said when you here 4 beeps you are going to crash....   Now I am really scared!!!!!!!!!!!! help!!
20090220180918AA97oHt	Travel;United States;New York City	Whats the best/cheapest way to get from philadelphia to nyc or newark,nj....i was thinking bus or train?	N/A
20090220181932AArVDtb	Travel;Caribbean;Jamaica	Beaches Negril Resort Question about saftey?	i am going to jamaica this summer to the beaches negril resort and I was wondering if it is safe in jamaica? i have been reading a lot of things about jamaica and a lot of them are saying that jamaicans are not nice to tourists and stuff! also if you have ever stayed at the beaches negril resort are there any really fun activities there to do for kids and teens??
20090220180027AAXvc0h	Travel;United States;Orlando	Are there any bakeries in Orlando Florida that deliver?	I'm need to get a cake but I can't drive, are there any bakeries in Orlando that can deliver??
20090220185738AA0h3UQ	Travel;Australia;Other - Australia	What does America think of Australia?	N/A
