20090220072746AAPSwYl	Travel;Brazil;Other - Brazil	What you of U.S.A. find of Brazil?	e what you more like or hate here in Brazil.
20090220072819AAsICeO	Travel;Australia;Other - Australia	Does anyone know what qualification an NVQ Level 4 is equivalent to in austrailia?	N/A
20090220072843AAKexL4	Travel;Cruise Travel	Cruise ship bakery:  anyone ordered a cake for a group?	I was thinking of ordering my sister's wedding cake from the on ship bakery.  I've never ordered a cake before b/c it seemed crazy--all this free food why pay?  Have you ordered a cake from a bakery?  For how many people?  How expensive was it?      I'm going on Holland but from my last several questions I've gathered no one here sails Holland so the line doesn't matter.  Just a rough pricing estimate for a group will help a lot.  Thanks!
20090220072903AAbjQcV	Travel;Australia;Hobart	Is Tasmania dry? is there limited water? and annual bushfires like the rest of Australia?	And also if you can answer these following extra-questions:      1- Is there drought in tropical places like Cairns?   2- Why is 21% of Australia's land covered by forests if the country is that dry?
20090220073054AADDrF0	Travel;Air Travel	How much time do you  need for connecting flights with separate  tickets?	I will be  traveling from Brussels  to  Lubbock this summer, but those tickets are incredibly expensive. I have found a really cheap ticket to Dallas, and even  if I buy a ticket for Lubbock it is still about a  100 euros cheaper. I was just wondering how much time I would need to connect  my flights, since  I would  travel with 2 different airlines, and I would have to buy both  tickets from a different website. I assume that my  luggage would be  checked in to Dallas, and that i'd have to check it  in again, but i'm not sure. I'm  not  even sure whether it is possible to do t his. Could you  please help?
20090220073931AALVHN4	Travel;United States;Washington, D.C.	Places to go in/around Washington D.C.?	Me and this girl are planning on hanging out next weekend. I have only lived in the Washington D.C. area for about a year, so I'm not too sure whats up here to do, especially in the city. I know there's plenty, just have no ideas. I'm 16. Cant drive yet (sucks), but we have both already independently visited all the Monuments and White House and stuff. What are some off the Smithsonian Museums we would enjoy. or some other stuff that you would recommend?  thanks
20090220074259AA50lEo	Travel;Air Travel	Are you allowed to listen to iPod's on planes yet?	I'm going to Majorca in the summer and I cannot live without my iPod...does anyone know if they are allowed on planes yet?
20090220074838AAM3WUq	Travel;Asia Pacific;Singapore	Study tour to korea,where can I know about it in singapore?	I would like to have a month study tour to Korea on june 2009. can you suggest me where can I find agent/center that related to korea study tour?I;m indonesian but I'm willing to pay to transit to Singapore if necessary.I'm 16.
20090220074039AAjwO42	Travel;Africa & Middle East;Saudi Arabia	If i have a saudi iqama, can i drive for 3 months from the date i land with an international driving license?	Or is it mandatory to have a local license if i have the iqama?
20090220074230AAHPrhT	Travel;Africa & Middle East;Saudi Arabia	Do you have to wear head scarfs in saudi Arabia?	Im going to do Umraah  ( if any of you know what it means)   Im happy im going there, first time.   But i was wondering if you have to wear head scarf's were ever you go?      E.g: Airport,shopping centre, dining.            Thanks4answering' (:      x
20090220074337AAcWHub	Travel;United States;Honolulu	Nice and reasonable tour to Kailua beach, please tell me?	We are going to visit Kailua and Lanikai beaches next month.   Please tell us how we can get there smoothly from Hawaii Prince Hotel Waikiki near Ala moana Shopping Center.   I thought we could use The Bus for only 2 dollars to get there, but my friend says it will be a hectic and time-consuming trip.   If it's so difficult to get there by The Bus, then do you know a reasonable nice tour to the beaches?      We are thinking of visiting Hanauma beach the next day, too.
20090220074822AAlkOaH	Travel;Asia Pacific;Thailand	What are some good places to stay in thailand...smaller, cheaper hotels or guest houses...?	I want to avoid the big (and small) chains and preferably stay where I can interact with some different people.
20090203124851AAq0T8p	Travel;United States;Other - United States	Did you know theres a hell in Michigan?	There is a city in Michigan name Hell
20090220075947AAgXzDa	Travel;United Kingdom;Other - United Kingdom	Slieve Donard questions...?	Is it safe and worth climbing Slieve Donard in February? And how do we get from Donard Park car park to Bloody Bridge carpark? Is there any bus going there in the winter time? Or is it safe to walk along that coastal road? And how much time will it take?
20090220080255AAn1y8Z	Travel;United States;Orlando	Where is a good place to go in Flordia, PLEASE HELP!?	I'm soon to be taking a family trip to Florida, but I have no clue of where to go and what to do. My hotel is on International Drive, so if there's any good restraunts/shopping malls/entertainment please let me know :)
20090220075235AAzeZFv	Travel;United States;Phoenix	Phoenix or Los Angeles?	which of these two cities u prefer more and why ?
20090220080348AACqmRs	Travel;United States;Orlando	Is there a shuttle from International Drive to Beach?	Does anyone know if there is  a shuttle from International  Drive in Orlando to a Beach on the ocean? Me and a group of four friends will be taking a trip to Orlando for spring break, and would love to see the ocean and spend a day at the beach but are flying in and will not have a rental car.
20090220075307AAGzSKK	Travel;Africa & Middle East;Other - Africa & Middle East	How has the International Criminal Court helped in Uganda?	N/A
20090220075535AAh4hS6	Travel;Europe (Continental);Greece	What is the Colossus of Rhodes?	N/A
20090220075120AA6SyeZ	Travel;United States;Boston	I'm in Manchester, NH and want to visit the N. E. Aquarium in Boston, can I get there by public transportation?	I've only been to the N.E. Aquarium in Boston, MA once and want to go back again.  However, I do not drive or have any family for transportation.  Can I get their using public transportation?
20090220075302AAaoCeJ	Travel;United States;Chicago	Whats the scratchwin numbers for Feb. 19, 20, 2009 for the Chicago Sun-Times?	N/A
20090220075825AAShaIl	Travel;Australia;Other - Australia	I'm planning a trip to Australia in June, what do I need?	I just got a passport a day ago and I have whats called an ETA.  Are there any other documentation I need to enter the country because I don't want any surprises waiting for me.
20090220075940AAie5bH	Travel;Mexico;Other - Mexico	Playa Del Carmen/Mexico vacation...what did you forget?	I am going to Mexico on the 4th of March and want to know what you forgot on your vacation. "oh crap I forgot the ____"    Also I am staying at the Grand Sunset Princess Resort...anyone ever been there?
20090220080251AAcK0GL	Travel;United States;Other - United States	Nice destinations in North Carolina mountains?	Some friends & I are planning a day trip to the mountains in North Carolina (we live in Greensboro, NC), and I was wondering if any one had any suggestions about good destinations for such a trip. Thanks in advance for your help!
20090220080303AAZ4vrJ	Travel;United States;Honolulu	Best way to get to the "road to Hana" in Maui?	I would be leaving from 2575 S. Kihei Road, Kihei, Maui, HI 96753, the Banyan hotel. Should I drive around the top of the island or the bottom? Which would have the best views?
20090220080319AAg74hS	Travel;Ireland;Other - Ireland	What are some of the best colleges in ireland?	how are they compared to colleges in america?
20090220080749AAdnScM	Travel;India;Panaji	What is the dialing code for goa?	im going to the phoenix park inn resort - the whole number would be great but if you only have goa's dialing code that would be helpfull too!
20090220080750AAGzufI	Travel;United States;Miami	I am going to Miami/Fortlauderdale for one day, Sunday. I am taking a friend who has never been?	What can we do in just one day. I was thinking of Miami beach and Las Olas. My friend wants to go to the mall down there. Any suggestions. I'd like to make this day worthwhile.
20090220080842AAUfMIo	Travel;India;Pune	I am looking for a tiffin service provider in kalyani nagar, pune?	N/A
20090203124903AA2DOqm	Travel;France;Other - France	I have  a french boyfriend who wants to invite my 17 daughter in france how can my bf help her .?	my daughter is from the philippines and she wanted to go to france for a short visit. my french bf wanted to get her what he will do about this? please help thanks
20090203125128AAXG1sZ	Travel;United Kingdom;Manchester	Manchester orchestra song ??? ?	the manchester orchestra used to have a song on there myspace player that ive never heard anywhere else !! .. i dont know the name of it either.   but it was on there around summe 08 maybye abit before that, im not sure.   does anyone have an idea what this song could be??   its very slow
20090220081404AAqsZlO	Travel;Asia Pacific;China	Best roast pigeon in Causeway and Central?	Can anyone recommend restaurants in Hong Kong serving great roast pigeon in Causeway and in Central?  Preferably not so expensive.
20090203130222AAftqjv	Travel;Europe (Continental);Greece	Have the Greeks invented anything in the last 2000 years?	I have been trying to find something for over a week now with no luck.      Any ideas?
20090203125750AAJkKL1	Travel;United States;Miami	What is the cheapest way of me and my other 3 friends get cheap accommodation in Miami?	Me and 3 friends are going to Miami on holiday in April. We are going to stay there for 2 weeks and we were looking to stay in a hotel but i think renting a flat may be a lot cheaper than staying in a hotel.      Does any one has any other suggestion of how we could find cheaper accommodation in Miami for 2 weeks? Estimate me the prices when you suggesting accommodation please.      10 points for the best answer.
20090220081841AAbHzft	Travel;Ireland;Dublin	Postage times between USA and Republic of Ireland?	What is the postage time for a parcel to be sent between the USA and the Republic of Ireland?   Thanks in advance!
20090220081021AAUZ0lM	Travel;Asia Pacific;Malaysia	As a student in Malaysia,i would like to know,what is your to-do-list/activity on your weekend?	N/A
