20090222144140AALxPqH	Travel;India;Mumbai	Do there exists any car ferry between Mumbai-Karachi?	If, what’s the name and can I find it on Internet?
20090222144241AAVxJ5o	Travel;Caribbean;Bahamas	Coral Towers Atlantis Hotel?	I'm going to stay at the Coral Towers at the Atlantis resort over spring break. Anyone who has stayed there, are the rooms nice? what are the accommodations and what is the condition of the hotel? do you have any pictures? if you do, leave them in your answer   thank you so much, 10 points best answer!
20090222144459AAiT6YU	Travel;Italy;Other - Italy	Is it unusual for an Italian man to be 1.91 meters tall (6 feet 3)?	Thanks:)
20090222145621AA7qWzc	Travel;United States;Other - United States	Where should me and my friend go on a trip thats pretty cheap to stay but still nice & a beach?	so my friend is graduating HS and i'm 20 and shes 18. She & my mom both work at american airlines and we can get free tickets. shes never been to the beach, so i want to take her to a beach here in the US and maybe go snorkling. where would be a good place, thats kinda cheap to stay for a couple days. any ideas for a fun trip?
20090222145326AA2RCpn	Travel;United States;Other - United States	What's the weather usually like in myrtle beach around the end of may?	N/A
20090222145722AAogCsp	Travel;United States;Los Angeles	What is there to do in Santa Clarita Califorina?	a friend and i are going to califorina next week and we want something to do while we are there. we are going to be staying in Santa Clarita. what is there to do around there?
20090222145319AARqrYk	Travel;United Kingdom;Other - United Kingdom	How do u get from Aylesbury to Swindon using public transport?	What trains or bus do i take to get from aylesbury to swindon?
20090222145502AAaSu2o	Travel;Air Travel	First time on a Airplane soo i have a little questions lol?	Ok im going on my first airplane some time in april. Im going to gulfport ms. its not a vaction im moving there with my boyfriend whos in the navy Since its my first time i really dont know whats going to happen so bare with me here are some question i need to know. and btw im new to this whole yahoo answer thing soo take it easy on me lol      1) I have a son when i leave he'll be around 3 months. I have to take his formula which is liquid form. It wont be open at all it will still be in the cans am i allowed to bring them?      2)I have some make up thats liquid its cover up but it dont pour out you have to press the top down. and also i have 3 bottles of purfumes I know its like no moer than 3oz i think but there are 1oz. the others im not too sure if i can bring since there like 189ml.      3)Since i have a baby am i allowed to bring his baby things like sampoos, baby lotion, etc.       4) How much will it cost for luggage?      5)Im scared sinceless im freaking out cause i hear about all these planes crashing. how often to they crrash i hear its safe than most transportion.       6) Umm will my luggage get lost im mainly worried about my sons pack n play its a combo and has his basnet hooked to it.       7) Im buying my ticket online for a bagin since im doing that were to i get the tags that go on my stuff?      I think thats about it sorry for so much questions and such i asked many people n they either dont know or remeber n **** n i look online and theres not really much info that i am looking for.       thanks (:
20090222150518AAQ4mSd	Travel;Africa & Middle East;Egypt	What happened at Houssein Square yesterday night?	I read this question:  http://answers.yahoo.com/question/index;...  . And I got worried. Please tell me.
20090222150811AAcqLji	Travel;United Kingdom;Other - United Kingdom	Why do Brittish people do this?	I know this guy from England and whenever he says something to me on facebook at the end he writes an x or sometimes two x's.   But I looked at his wall and everyone he talks to does that also.   So if you don't get it they'll be like "Hi. How are you? This tea is bloody fantastic. xx"   What does it mean and why do they do it?
20090222150235AAxAa2B	Travel;United States;Houston	77067 is in what part of houston texas? Is is uptown, downtown, inner loop, etc?	what area is zipcode 77067?
20090222150251AAEEQqH	Travel;Africa & Middle East;Lebanon	Wut r da most common .....!!!?	wut r da most common lebanese names for boy & gurl   & is " ABBAS " a common name for lebanese guys   & is " KHILAILAH " a popular name for Lebanese gurlz      LOVE U ALL ;DD
20090222150812AAs3QPK	Travel;Canada;Halifax	Can I watch tv from Halifax on the net live stream? not pre-recorded.?	N/A
20090222150516AA8IDhM	Travel;Asia Pacific;Philippines	Was there a blackout sunday in tacloban city?	february 22
20090222150502AAj9ukD	Travel;Air Travel	Why do only 4 F-18 jets fly over sporting events?	This may be a stupid question, but why do only 4 F-18 jets fly over sporting events. The formation they're flying in looks like there's supposed to be 2 on the left, 2 on the right, and the jet in the middle.
20090222150600AAL2jvZ	Travel;United States;Other - United States	What are some interesting places to stop between WI and TX (im taking a roadtrip)?	This spring break my friends and I are taking a road trip from wisconsin down to Texas and are wondering if there are any fun, interesting places we could stop by on the way.
20090222150657AAJDeNJ	Travel;United States;Other - United States	What do you like about BRISTOL, VA ? or not like?	I am contemplating a move to Bristol, Va. We found land we like & have been there only to visit for a few days. I am looking for any pros & cons you may have!!! Also, are there many sunny days or are the winter months gloom & doom? Thanks!
