20090222160117AAckd5W	Travel;Caribbean;Jamaica	Is it good idea to visit Jamaica in September?	I heard that there was alot of hurricanes during this time
20090222160105AAoVTwJ	Travel;Latin America;Costa Rica	What is Costa Rica's Race?	answer aysap.
20090222162050AA1igNm	Travel;Asia Pacific;China	What contributions were made by the han dynasty?Why are they important?	I am doing a report on ancient china and i need help with this please help!
20090222162914AA6HuOp	Travel;Europe (Continental);Other - Europe	Is the Ukrainian gov't similar to the gov't of the US?	Please help!      Is the Ukrainian gov't similar to the gov't of the US?? If so, in what ways are they similar?   Thanks in advance/
20090222163003AAnVPAj	Travel;United States;New York City	Where is the safest neighborhood in New York?	Hi! I′m traveling to New York for studies. I′ll study at 101 Murray street and also at 216 East 45th Street. I′m looking for places to stay, specially furnished apartments but I′m worried about which place should I choose. So I ask you all: Where is the safest neighborhood in NY? I also would like to know if New Jersey (the mercer county) is too far from the places I mentioned above. And just one more question: Is New Jersey more safe than New York? Thanks all!
20090222163008AAALmmC	Travel;Africa & Middle East;Other - Africa & Middle East	Africa: How many days it would take from Lawra (Ghana) till Tombouctou (Mali)?	Considering we are talking about a container, its velocity would be 50km or more.   Without counting on pauses.
20090222163017AAMED7a	Travel;Europe (Continental);Other - Europe	How much are these Mavericks tickets worth?	I recently won two dallas mavericks tickets vs. Washington Wizards for the March 7th game. I have absolutley no need for them, but was wondering much they're worth. The seats say "Platinum Club" sec: suite 1207/ row:B/ Seat: 4 and sec:suite 1207/ Row:C /seat 1. Anyone know?
20090222104516AAdXQRo	Travel;Canada;Quebec	Is it possible to drive from Los Angeles, Ca. to Montreal Canada in a small car? are there enough paved roads?	Should I drive or go in a plane instead?      Any advice would be much apprciated it. Thanks!!
20090222132611AACbMEx	Travel;United States;San Diego	What time does the tour de  califronia end?	N/A
20090222105834AAwpa0B	Travel;Europe (Continental);Belgium	Are there any good underground (indie, avant-garde,etc.) venues in Bruge, Belgium? (Brugge)?	My wife and are from Minneapolis(USA), and will be on a europe trip in May. Just wondering if there are any good local-scene venues. Any kind of music will do(punk rock, house, folk...just unique.) I only mention indie/avant-garde for some frame of reference. Not looking for arena or mainstream-type venues. More of an underground thing. Thanks!
20090222114551AAw7Zye	Travel;United States;Sacramento	I'm moving to south Sacramento and kinda worried about the flooding?	im moving to south sac by mac road and consumers river college do u know anybody that live in that area that got flooded out. my second question is do anybody knows when was the last time homes got flooded in that area.
20090222130529AAiwGH6	Travel;United States;St. Louis	Any opinions on Pueblo Solis in St Louis, MO?	N/A
20090222135608AAMmArs	Travel;United States;Other - United States	Need an ID for greyhound bus?	Ok, I am 16 and I need to travel across the open road. I need to go to go on greyhound to visit a relative because I am a little scared of flying. But I recently lost my ID and I NEED to leave tomorrow. I have a school ID but it doesn't have my age. Do I need to convince my mom to come with me to buy a ticket or what?      sources would be great and no one ranting about flying please?
20090222142718AAO5lvh	Travel;Caribbean;Dominican Republic	Inexpensive GSM phone rental in Dominican Republic?	What is the most inexpensive place to rent a GSM phone for use in the Dominican Republic?  Orange seems to be the dominant carrier there.  Bringing a local GSM phone from Canada to DR seems to be quite expensive - both on voice calls and SMS.
20090222162905AAH4fQM	Travel;United Kingdom;Brighton	What buses do I need from the bottom of Carden road to get to the Marina?	Going there tommorow for a meeting at 1.20pm. Thanks.
20090222164016AARpaDB	Travel;Cruise Travel	Carnival or Royal Caribbean for teenagers?	What is the difference (I will be going on either Carnival Valor or Liberty/Freedom of the Seas)? I don't know if I really want to go to the clubs (is that bad? I guess I just expect to meet people on deck or by the pool). Do either have their own place for teens only (not the clubs really, but separate pools or something?). Which do you think is the best for meeting other teenagers and having fun? Thanks.
20090222163559AAPRrUx	Travel;United States;Los Angeles	Where is the cheapest place to live in Southern California (Los Angeles)?	and how much do you pay monthly for rent in a small apartment?
20090222163112AAoFArq	Travel;United States;Orlando	What is the temp. in orlando lately?	hot? cold?    what do you wear?
20090222161518AAo51fr	Travel;United States;Boston	What are some physical characteristics of Boston?	thanks =]
20090222163124AAB1f6r	Travel;United States;Detroit	Who was worse Grahmholm or, Engler?	Both of them did some considerable damage to the state of Michigan.
20090222160257AA52Vgc	Travel;Canada;Other - Canada	Questions about Newfoundland & Labrador?	What is the weather like? Temperatures in summer & winter? Day & night? Does it rain often? Storm often? & what are some pros and cons of living in Newfoundland & Labrador? thanks!
