20090307150306AAJIE7Y	Travel;Caribbean;Cuba	Which countries allow cuban citizens (living in cuba) the least expensive visa or do not require a visa ?	If a cuban citizen, currently living in cuba, would like to visit/travel into another country, which country would be the easiest and least expensive to travel?
20090307150900AADddZm	Travel;United States;Los Angeles	Better chance of getting a tech job in santa maria or hollister, ca?	N/A
20090307150520AAQrlF8	Travel;Germany;Other - Germany	How is it possible that one asks a question and giving himself a BA?	I just stumbled over this. My friend Rick alias Fenris, Wulf, Johnny Tsunami, Wiyldstar, Diane made it possible can anybody give me a tip how to do this ?: http://answers.yahoo.com/question/index;... 
20090307150633AAooVRt	Travel;Other - Destinations	Where is the best place (country/city) to live right now?	Well, I live in New Zealand and as of late the economy is really bad here and can't get a job.   Also it's starting to get quite boring here as well - there's not much you can do here just on a Friday night apart from the usual bar/club in town.   I'd like to hear your suggestions as to where in the world is the best place right now to live... and why.      Thanks
20090307150500AApS8I1	Travel;Asia Pacific;Japan	What does this mean in japanese?	hi, there is a short song in japanese that I really like. Can you guys please tell me what it means? All I understand is hanakuso=boogers (yummy)    http://www.youtube.com/watch?v=YKVAOGWVI...       thanks in advance
20090307150614AAfuowR	Travel;Africa & Middle East;South Africa	Whats a name of South Africa  village ending with a P?	four letter words
20090307150618AArY0Rf	Travel;United States;New Orleans	Why are FQ sidewalks still a mess?	I go down to NOLA evey few months and it's still dangerous walking around.
20090307151409AAmGdqX	Travel;United Kingdom;London	Where would you go to see a councellor?	What kind of building, like, an office or what? I man, I can't just put:   And forty-five minutes after that when I was getting off the third bus outside the building, can I? No.      Where do you go?      [x]
20090307151037AAZUBcG	Travel;Air Travel	Tips on flying to Europe as an unaccompanied minor? please helppp?	ok so i am 16 year old and i will be flying from New York to Greece alone!    can you give me some tips and tell me how its going to be?   I am afraid that i am going to get lost in the airport,because last time i went to Europe with my parents we had to go all over the airport and i just dont want to get lost and miss my flight.    So can you please help me?
20090307151227AAbWj7c	Travel;Travel (General);Other - Destinations	Best way to travel to london by  car?	is it best to travel so far then catch the train or tube
20090307152723AAaQRdE	Travel;Asia Pacific;Thailand	Why did Emma go to Thailand?...?	To Bangkok      (Sorry I know its lame)
20090307152032AAicIyf	Travel;Air Travel	Whats the best airline to fly with?	what makes them the best?unfortunately i don't have much experience so cant say
20090307151722AAkHP7U	Travel;Canada;Other - Canada	Where can i eat in Canada for only 6 bucks????And how much will it cost?	N/A
20090307151705AAQrX3Q	Travel;United States;Other - United States	I am trying to figure out how long it would take to drive from Orange County California to Waco, Texas ?	does anyone have an idea ? It would be greatly appreciated :)
20090307152222AAogRc3	Travel;United States;Other - United States	I have my heart set on Louisville, Kentucky?	I know a fair bit about Louisville but not local information.    I would just love it if all you local Louisvilleians(?) out there could tell me about your city! What do you love most about it? What do you hate about it? What are the dodgy areas? What are the people like? Any stereotypes? Is there any quirky fact of place that you thinks really great? I would love to hear anything you have to say!      Thanks!
20090307152944AAvrs0R	Travel;Travel (General);Packing & Preparation	Which of these travel suitcases if big enough for a 3 day trip?	25+10 litres of space:    http://direct.tesco.com/q/R.203-7090.asp...       45+10:    http://direct.tesco.com/q/R.203-7875.asp...       65+15:    http://direct.tesco.com/q/R.203-0685.asp...       Thank you.
20090307152750AALXF7d	Travel;Europe (Continental);Other - Europe	Mobile phone in spain/england?	this summer i am going for 6 weeks to spain/england. i need a cell phone there, especially in spain for 5wks. i have the verizon lg envy 2, here in the usa. should i use the verizon plan in spain? is that the easiest, cheapest way? or other companies that are cheap in spain? does vodafone or orange have good plans/pay as you go? i will be using the phone for local and in emergency cases, international calls. help please!!      thank you!
20090307152331AAQh9YE	Travel;United States;Other - United States	Fun things to do in Portland, OR?	i am going to Portland, Oregon from April 3rd-April 12th. What are fun things to see and do there?      *for 2 parents and a 12 and 11 year old children
20090307152503AA6lh9N	Travel;Travel (General);Other - Destinations	Northwest Airlines help and opinion?	how do u like it? how many carry-ons were u able to take? how was your the flight in general?         thx!
20090307152253AAVywM5	Travel;United States;Phoenix	What are the dollar movie theaters near phoenix AZ?	N/A
20090307151708AAE9aHP	Travel;Asia Pacific;Japan	Can you tell me the names of some restaurants in Osaka, Japan that serve an American-style breakfast?	I need to know for a project. And please don't mention any fast food restaurants.
20090307154835AAGQBaL	Travel;United States;Other - United States	Am I a yuppie?! Details!?	Ok, so i work in IT/Computers, have 2 associates college degrees, live in a good neighborhood, drive a 2008 bmw335i, i live in California(born and raised), and i dress professionally every day for work, like in blazer jackets and dress pants and im 22 years old
20090307154538AAepGmM	Travel;Travel (General);Health & Safety	What countries are Right hand drive?	Or if it is a shorter list, In what countries do they drive on the left?
20090307154307AAi5mye	Travel;United States;New York City	A question for New Yorkers?	I know like every other place there are people that are A Holes, but other than that will New Yorkers be very welcoming to me if they know I'm on vacation and I'm from California.
20090307153125AAYTzrW	Travel;Other - Destinations	How do maids know when to enter a hotel room?	I'm just curious because when I leave a hotel room and come back everything is fixed like the bedding's. How do they know that were not there?
20090307154611AAzw812	Travel;Asia Pacific;Japan	Any sites that can translate english into japanes characters?	If not, can you reccomend another resource.      Thank you
20090307153437AAZTRsY	Travel;United States;Other - United States	A website where i can get discounts on hotels?	im going to san antonio and i need a hotel in between sea world and fiesta texas. I need a website where i can get discount on hotels  a trusted website thanks!
20090307153521AAvHfM5	Travel;Asia Pacific;Japan	Japan vs. America. What is better?	What does American have that Japan does not?      What American things are better than Japanese things?
20090307084839AAc1vbn	Travel;Africa & Middle East;Saudi Arabia	Those we call "palestinians" are jst arabs whose forefathers conquered Palestine.?	It′s a historical fact;Palestine had been conquered by arabs from Arabia in the 7th century,under Caliph Umar.What right do they have to demand a state in the land they conquered?
20090307153448AAWU9eL	Travel;Air Travel	What do you consider a good airline fare?	i think that in the mid $200's are very good. what do you think? also: i just booked an economy class seat on Northwest Airlines for $293. and: did i get a good deal.      *my flight has 1 stop and is from Pennsylvania to Oregon
20090307154213AA6KnAu	Travel;Travel (General);Other - Destinations	Where sould I spend my vacation this year?	N/A
20090307154816AA5JjO7	Travel;Asia Pacific;Japan	Movie- Casshern In US?	Has the movie Casshern been released in america already? i kinda recognize the cover on the movie.. but im not sure.. its the one with utada's song in it? btw.. is it in japanese w/ english subs?
20090307153400AAXyfMk	Travel;United States;Other - United States	Meeting Room Rentals. I am looking to rent temporary meeting rooms or office space in Seattle and Portland?	Can anyone help me find local meeting space for rent in the Seattle and Portland area. I am looking for an hourly meeting room rental or temporary office space in Seattle or Portland to hold offsite meeting locations. Thank you.
20090307153344AAzhd5U	Travel;Africa & Middle East;Egypt	Interesting facts on Egypt?	What are some/ any interesting or fun facts on Egypt??
20090307153534AAJhO8T	Travel;United States;Other - United States	Milwaukee, Wisconsin Question- Can anyone tell me what is on 901 west kilbourn?	N/A
20090307153816AA0dXDg	Travel;Air Travel	My first time taking a plane..?	Next Tuesday, I am taking a plane for the first time from San Antonio to Jacksonville.   I already bought my ticket, and earlier i checked how the weather will be in the states I'm flying through.   Most of them said thunderstorms.    Will that affect my plane ride?   I'm really nervous, because I'm going all by myself, and I've never ridden a plane before, so yeah. D:
20090307153933AA3kld2	Travel;Caribbean;Jamaica	Is Couples Negril all inclusive resort a swingers resort?	My husband and I are planning a trip to Couples Negril in Jamaica.  I have heard from a friend that this could possibly be a swingers resort.  We're just not into that kind of thing, and would like to know what we're in for before we get there.  Thanks!
20090307153956AA9Ac5l	Travel;Europe (Continental);Netherlands	Anne frank huis in Amsterdam?	Since I can't take video.. Can I buy a DVD tour or something of that nature at the museum store?
