20090307160756AAGF99E	Travel;Canada;Other - Canada	Do some communities in Canada still use the glass milk bottle system?	Where they pick up the glass bottles? Or at least are sold in glass bottles? Thanks.
20090307160741AAuOXEh	Travel;Caribbean;Trinidad & Tobago	Some places or thing trinidad tobago that begin with a,b,c and d?	N/A
20090307160752AAO95oQ	Travel;United States;Houston	What is seating in the pit like  at the Cynthia Woods Mitchell  Pavillion in The Woodlands  Houston, TX?	I'm going to see NO DOUBT there in May and I wanted to buy the closest seats possible. I bought seats in the Pit during a pre-sale. Im about 5' 2", and I know it will probably be standing room only, so I was wondering if I'll be able to see!!!??? Has anybody had seats there before??
20090307160823AAAeKVU	Travel;United Kingdom;Other - United Kingdom	When does the clock go forward in the UK/?	I read something on Yahoo about the clock going forward in the US tonight. Does it go forward at the same time in the UK?      As I'm travelling at the moment I forgot about it being that time of year. Please, someone help me not to miss my plane or whatever...
20090307105641AAvuYkR	Travel;United States;New Orleans	Why the battle of new orleans heppen?	N/A
20090307115718AAv5nEw	Travel;United States;Other - United States	At what time people usually have lunch and dinner in the U.S.A.?	In Italy we have lunch at 12.30/1.00 pm and we have dinner at 7.30/8.00 pm
20090307125004AAbcIDt	Travel;Air Travel	What is the airplane in the world?	what is the Nameof the plane and Airline?      Thank you !
20090307134517AA6KkC9	Travel;United States;Other - United States	What college is near panama florida?	N/A
20090307140843AAMxiPr	Travel;United States;Other - United States	Moving From England To America?	I am currently 14 living in the Uk, And when i am older i really want to live in U.S.A and i asked my dad and he said you wont be able to unless you have a skill,I am %100 confussed about that.   can someone tell me what i need to do if i wanna live in the usa when i older and what skills i need
20090307141444AA2XFww	Travel;United States;Other - United States	Can i get cell phone service on ossabaw island, ga?	N/A
20090307142245AAO9GEA	Travel;United States;Cincinnati	What are the best salons in Cincinnati, Ohio for curly hair?	I am an african american woman and I am trying to find a salon in Cincinnati that will do a good texturizer.
20090225071209AAx4lia	Travel;Caribbean;Trinidad & Tobago	Looking forward to Barack Obama's visit to Trinidad?	We've had the King and Queen of Spain visit this month, in April we will see President Barack Obama for the Summit of the America's and then in November Queen Elizabeth of England should be here for the Heads of Goverment conference. Do you expect lots of people from the other islands will come to T&T to see President Obama up close?
20090225071212AAc72Vh	Travel;Asia Pacific;Korea	If you've been to (south)  Korea...?	How are they to foreigners? I know that the Japanese have very mixed feelings about them and they never really accept them, and I know that Korea has even less foreigners, so how do they treat people generally? I heard they're very nice, I'm just wondering though, because I really don't wanna feel too alienated but I REALLY want to go to Seoul some time.
20090225074450AAdb1C8	Travel;Asia Pacific;Korea	Good Kpop bands/music?	I love Jpop and my friend says Kpop is really good and I'm interested in it so anyone suggest some good Kpop bands and music? And also where you can get it cause iTunes has absolutely no Kpop
20090227083925AAO9W2i	Travel;Asia Pacific;Malaysia	Who would win between a silat master and a muay thai master?	N/A
20090225054146AAwgLlS	Travel;Asia Pacific;Malaysia	Why do human blink ..?	N/A
20090225052733AAUfb3U	Travel;Asia Pacific;Malaysia	What does 'in the blink of an eye' mean?	i thought human blink wit 2 eyes?
20090225062016AAdXEDO	Travel;Asia Pacific;Malaysia	I wonder, are rabbits really vegetarian?	then why do my rabbit keeps biting me really hard?    or is it just a love-hate relationship? lol
20090225044757AAu3klK	Travel;Europe (Continental);Greece	Is there any connection between Hydra and Hydrant?	I do know what Hydra - the always rejuvenating and famous monster from the Greek Mythology and the water Hydrant.      But what is the connection between them two?   Or is it just coensidence?
20090225073741AAGlvnY	Travel;Asia Pacific;Malaysia	Do you buy cake/bun after 8pm, way you will get half price for it?	N/A
20090225074856AAHoP6o	Travel;Asia Pacific;Malaysia	Why when Westerner speak Malay it sounds like a 5 year old kid.It sounds very soft like sissy?	Example in Malay we pronounce Z as Zet but in English their pronounce it as Zee
20090225074506AAiyMrk	Travel;Asia Pacific;Malaysia	Why the British favorite word is Bladdy instead of baldi,?	N/A
20090225074828AAlON4j	Travel;United States;Dallas	Who has good museums Dallas or Fort Worth?	N/A
20090227084444AAqJlOq	Travel;United States;Chicago	Hotels in downtown Chicago?	Are there any nice hotels in downtown Chicago that would let an 18 year old check in? My mom is planning on booking a room for me and a friend this summer. We're both 18
20090225063128AAIWxPL	Travel;Asia Pacific;Malaysia	Men with b**bies are they consider s*xy.Ladies do you feel jealous when looking at those Sumo wrestler chest?	and wish you could have like those.
20090225063345AAURdWX	Travel;Asia Pacific;Malaysia	The Chinese invent Shoalin Kung Fu, then why not Shoalin Sutra?	N/A
20090225061746AAGW7tY	Travel;Australia;Melbourne	AUSTRALIA .. TIPS?? please?	I am going tO Oz the 10thmarch, hoping to settle in Brisbane.. I feel like I have nothingorganised for it , but is there any tips anyne cna give me with jobs, accomadation,. what clothes to bring , anything at all would be really appreciated???       thanks
20090227084707AAJFhd5	Travel;Asia Pacific;Philippines	When you guys see a...?	...middle-aged white man with a young girl that looks 20, what do you guys suddenly think?      When I walked around in the Philippines with my dad (I'm 15), a lot of people think we're married... or other things... which I don't think is funny!      Do a lot of you think of the same way?
20090225074502AAlBPpH	Travel;Australia;Other - Australia	6 month backpacking trip to Australia?	I am going to Australia for 6 months.   I am planning on bringing $7000.00 (Canadian currency) with me.   Will that be enough?    I will be staying in hostels, and living very cheap.   Also how much are flights to Aukland from Cairns or sydney?   Thanks!
20090225052352AAMJYxd	Travel;Asia Pacific;Malaysia	Are those Datuk Gong shrines setup near Tanah Perkuburan Islam(Malay Cemetery)are more powerful?	i mean more powerful than those setup at other place
20090225055317AAQcFDd	Travel;France;Paris	Best matzoh ball in Paris?	Where can I get the best matzoh ball soup in Paris, and do they do take out?
