20081121064927AAIjtK4	Travel;Africa & Middle East;United Arab Emirates	DO you think that living in Dubai is great?	i mean include everything work and lifestyle ?
20090106041739AANmXCq	Travel;Africa & Middle East;Algeria	Vous reconnaissez-vous dans ce sketch d'Elie Semoun ?	lorsque vous êtes sur msn, ou sur d'autres forums comme yahooQR ...       http://fr.youtube.com/watch?v=UtHmUHmsVe...       lol
20090105093617AA4VzMb	Travel;Africa & Middle East;Israel	Comment isra?l peut-il se ridiculiser de la sorte?	comment cette bande de sionistes tente de se foutre de la gueule des gens,mais en réalité ils se foutent d'eux-mêmes!?   -ils parlent de processus de paix,alors qu'ils massacrent des enfants.   -ils disent qu'ils se trompent de cibles en attaquant les mosquées et les maisons de civils.(alors qu'on le sait tous,si isra?l veut détruire un point précis,il est certain qu'il ne commettra aucune erreur,alors qu'ils arrêtent avec leur débilité en disant qu'ils se sont trompés de cibles!!)   -ils sont évidemment champions de la manipulation,et font d'un seul blessé israélien une montagne.   -ils commencent leur attaque terrestre,en tenant pour prétexte,je cite:"nous voulons uniquement restaurer la paix,ma?triser la situation,blablabla" ps:et ceci en tuant des gosses la 1ére journée,ah oui j'avais oublié que tuer des enfants et des bébés faisaient partie de la paix...      plus ridicule,tu meurs...
20090105113043AAnjTcs	Travel;Africa & Middle East;Israel	Comment certains peuvent être aussi...simples d'esprit?	dire que le HAMAS sont des terroristes parce qu'ils défendent leur territoire OCCUPE et dire que les sionistes ne font que se défendre contre les roquettes,c'est ce que j'appelle de l'idiotie pure et simple.      qui occupe le pays de l'autre?qui massacre des enfants dans leur PROPRE pays?qui fouille des hommes alors qu'ils sont dans LEUR pays?pour info: la PALESTINE est aux palestiniens,que ?a vous plaise ou non.
20090104120804AA3xcZY	Travel;Africa & Middle East;Israel	Pourquoi isra?l ne reconnait pas....?	que ce qu'il fait n'est pas une guerre ,mais un GéNOCIDE???      on peut dire que c'est l'espèce la plus lache qui n'ait jamais existé,      bande de ssionistes,soyez maudits
20090102111129AAbplHb	Travel;Africa & Middle East;Algeria	Comment des êtres aussi néfastes puissent exister?	eh bien dis donc,je reviens après quelques jours et en jetant un petit coup d'?il je trouve des conneries...vraiment ceux qui sont en train de pourrir la rubrique,vous ne valez vraiment rien,à votre place j'aurais honte,mais bon je crois que vous n'avez même pas de conscience,certains sont en train de mourir en Palestine sous les coups des sionistes maudits et vous ,vous trouvez le moyen d'insulter et dire des obscénités.   un conseil:allez vous acheter une conscience et une dignité.
20090108082422AAqhbNU	Travel;Africa & Middle East;Israel	La vérité dérange t-elle à ce point les criminels?	suite à ma question posée sur le COURAGE des palestiniens,cette dernière a été supprimée.   devinez le motif?: non conformité à la charte d'utilisation(sans aucune autre explication,comme d'habitude),mais ce serait plut?t non conformité à la charte des criminels.      le courage des palestiniens dérangerait-il à ce point là les laches sionistes?pourquoi la vérité dépla?t autant à certains?
20090107040245AAMXItf	Travel;Africa & Middle East;Israel	Pourquoi cette bassesse flagrante?	une guerre est supposée être entre deux parties adverses,alors pourquoi cette inégalité?pourquoi ne pas laisser les palestiniens s'armer de la même manière que les israéliens(ou au moins la moitié) et les laisser faire cette guerre,et là ,on verra qui va gagner?!!...      car pour le moment,ils ne sont pas à égalité,entre les israéliens avec leurs armes modernes et performantes,et les palestiniens avec des fusils et des roquettes.(wawww,l'égalité)..   cette guerre est injuste,les deux c?tés n'ont pas les mêmes "outils",est ce parce qu'ils savent que les palestiniens ,avec leur rage,leur courage et leur foi,n'en feront qu'une bouchée de ces sales sionistes,qu'ils ne les laissent pas s'armer?      ps: si les palestiniens étaient armés du quart de ce qu'à isra?l,je peux vous assurer que les sionistes auront une très bonne raclée(comme en 2006!!)
20090110120438AAISe7V	Travel;Africa & Middle East;Israel	Comment?vous avez dit "intensifier"?	isra?l déclare vouloir intensifier ses attaques,les 829 morts ne lui ont peut être pas suffit?et après ce simple d'esprit(pour rester correcte) d'Olmert parle de PAIX !      je n'ai encore jamais vu de tels criminels,c'est la pire espèce qui existe,...      que pensez-vous de ces dernières déclarations?
20090109062135AAwpZeb	Travel;Africa & Middle East;Israel	Qu'attendent les guignols qui servent de dirigeants aux pays arabes pour mettre fin aux...?	relations commerciales et diplomatiques avec l'occident?   boycottez bande de laches,vous avez le pétrole et le gaz,alors faites pression,pour une fois dans votre misérable vie,AGISSEZ,prenez des mesures,faites quelque chose de bien,pensez à autre chose que vos intérêts et votre pouvoir.   cessez toute relation avec les U.S.A qui n'ont même pas voté lors du conseil de sécurité,et après vous allez les serrer dans vos bras et les accueillir avec un grand sourire?!!Honte à vous,vous n'êtes pas des hommes,mais des L?CHES,aucune dignité,aucune conscience      plus de 783 morts et 3200 blessés,....
20090112055058AAYaGjO	Travel;Africa & Middle East;Israel	Que pensez-vous de ces paroles tellement....?	Perez:" ce que nous avons réalisé en 16 jours,nul ne l'a réalisé en 16 ans dans une guerre contre "le terrorisme"  "      qu'en pensez-vous?      (les ....... veulent dire absurdes,"pour rester correcte" )
