20090225101213AAS8M2R	Computers & Internet;Hardware;Monitors	Cylindrical box around the monitor cable?	Hej!         Whats the cylindrical boxes on both sides of the monitor data cable ends?
20090225101218AAWlO93	Computers & Internet;Security	Wireless connecion virus or malware..?	My wireless connection isn't loading as well as it used to on my laptop... It takes about 2 mins ... It all happened when I I installed a new HP printer...       Do i have malware or a  virus that can cause this. I have norton and it says that i don't have a virus.. I don't think norton has malware protection...   What exactly is malware????   If i do have malware are there any free websites to download it from..   Please give the link thanks!!!!!
20090225101248AAN9YFG	Computers & Internet;Hardware;Desktops	Advice between to refurb. computers on Tigerdirect.com?	Hi, and thanks so much for looking, I am looking to buy a PC and looking on Tigerdirect.com their refurbished pc's Gateway FX4710-EB802A   VS.  HP Pavilion Media Center m8425f  and i am looking for advice between the two and also should i get a 1080P or 720P monitor because is there alot of 1080p content online like fox, cbs youtube etc. or is it worth saving the money?
20090225101230AA2klOq	Computers & Internet;Internet;MySpace	How do I change my Myspace age?	Ok. I turned 13 today and I know that 13 y/o's are allowed on myspace...You just have to make your page private. But for some reason it won't let me change my age to 13 because it's under 18!! So please don't be like,    "It's against the rules."   Because my friend is thirteen and it says so on her page.    So, any really big myspace geniuses...Do you know a code to change your age? thanks a MILLION(:
20090225101243AAMYJDg	Computers & Internet;Security	How do I find out if my daughter sent a package?	I need to know if my daughter sent a PS 2. I have the address it was sent to, the date it was sent, but it hasnt arrived. She claims to have sent it. Can i track it at the post office?
20090225101257AAgcJiO	Computers & Internet;Internet;Other - Internet	How do you setup transparent bridging with FreeBSD and PF?	I run a linux vps hosting farm and would like to establish a transparent firewall between them and the world. I heard that you can do this with 3 NIC's , FreeBSD + PF (Packet filter). Does anyone know how?
20090225101254AAysJlh	Computers & Internet;Software	Photoshop animation problem?	I've got Adobe Photoshop CS3, full version. I heard that ImageReady was discontinued, and a lot of people now recommend Fireworks or something. I don't really want to spend a hell of a lot of money on that. My flash trial ended a longgggg time ago. When I try animating with what I've already got on Photoshop, it fails. I go on a the second frame for example and try to draw something different from the whatevers in the first frame, but they both change the same automatically. Like, say I drew a tree in frame 1, and I then drew a flower in frame 2, frame 1 would show the flower and the tree that was originally in it would be gone.      I kind of do want to animate with photoshop, but if there's a program anywhere that allows you to do friendly gif animations of pixel drawings that are also compatible with transparency, that'd be awesome.   But I bet theres no such thing. D:   ><   Or, if theres a way to fix that frame problem thing I have in photoshop - that'd also be great. :3
20090225101322AAiuBL6	Computers & Internet;Hardware;Add-ons	How do you load your ps2 eye toy as a windows vista webcam?	i have a windows vista and a black namtai eye toy from a few years ago. is it possible to use this as a webcam? and what do i have to download?
20090225101341AAIULrI	Computers & Internet;Security	AVG - Resident Shield Alert - Infected?	hello      i came back to my pc after about an hour, when i left it was fine, when i returned this message was on my screen       http://i644.photobucket.com/albums/uu163...       i've selected them and pressing either remove buttons doesnt seem to do anything      am i infected ?    or   has avg cleared and fixed the problem ?   &   what to do ?      thanks      jack r
20090225101454AAyNIzg	Computers & Internet;Other - Computers	My computer takes along time to open up pages. What can I do to make it respond faster?	My computer is slow in respond to commands is there anything I can do to make faster
20090225101606AAierY3	Computers & Internet;Internet;MySpace	Please helpp?>? myspace layout problemm???!!10 points for best answer!?	okay so i put a layout and wrote an about me and my song and sometimes it comes up but usually it dosent,, whats wrong??? please help me      its suppost to be like this : (might not work)  http://profile.myspace.com/index.cfm?fus...       and it keeps coming out plain. please hellp?
20090225101517AAN3yi4	Computers & Internet;Software	Any music producers (Pro tools, etc...) who can help me with my songs?	I have quite a few songs that i have made on my own but i have been getting like an artist's block. I suck at mixing, i use Pro Tools but there is just so much work that i get over whelmed and i just want to move on to my next song. is there anyone who i can send my Pro Tools files of my songs too or just some of my mp3's to and they can help me in mixing, or give me ideas? Im not trying to get all big and famous, i just love music so much and want to make some clear tunes, not scratchy you know? I just dont want anyone to take any of my songs, so i would probably like a signed agreement, but it could be something like how Postal Service worked. one guy made the beats and mailed them to the other artist who then put the lyrics in etc.., lol, myabe something like that. thanks
20090225101611AAA9bMD	Computers & Internet;Internet;Other - Internet	Paypal question--where do payments go?	If i'm selling on ebay and someone pays by paypal, and i have my paypal linked to my bank account, will that money go directly into my bank account or is it somehow in some type of paypal account then i have to transfer it over or something??      thanks
20090225101526AAguYVS	Computers & Internet;Security	How do you create a jail in FreeBSD?	I run a small linux vps hosting cluster in canada and would like to create a jail on the host server to run several critical services. Does anyone know how to do this in FreeBSD?
20090225101638AAQ8GFB	Computers & Internet;Software	How do you type in this PDF document?	 http://www.cra-arc.gc.ca/E/pbg/tf/t661/t...    This is the link to the PDF. Is it possible to type on this on the computer?
20090227115624AA8qJ0u	Computers & Internet;Software	Help with command line work?	how do i delete a folder in command line? and how do i go back a step in command line? many thanks
20090227114415AAH9Y4i	Computers & Internet;Software	FULL, FREE Screen-Capture software for the Mac?	I have a MacBook, with version 10.5.5. I would like a software that will record an area on my screen and WILL ALSO RECORD SOUND.   Also, it needs to be free.   I don't want a free-trial...gets annoying.   Also, anything that, in the final product, it will say something like "Unregistered" or "Software X" in big letters, blocking view of my video, I do not want.   If it's minimal and in the corner such as in "Unregistered by HyperCam2", if you know what I'm talking about, that's fine. As long as it's a minimal.      Most importantly, I NEED it to be a full-sized version with no watermarks on the final video, at least.   Thanks!! :)
20090227115454AAAZKxv	Computers & Internet;Software	Limewire connection problemsss!! please help!?	okay sooo limewire works great for me till like just last week.. i seriouslt cannnot figure it out !! i turned off every firewall i can find.. norton and vista has it own little personal one like idk whatelse to try!=[
20090227113648AA6YBA9	Computers & Internet;Software	Using label flash with ulead movie factory?	I have a toshiba that came with ulead movie factory. When I click on make a label in the program it will go there and I see add image. But when i browse for pictures none will show up and I cant load them? whats the problem has anyone done this before??
20090227125411AAcJpFf	Computers & Internet;Software	Where can i get a free activation code for microsoft office 2007?	my trial period is almost up and i really need it for coursework.   just wondered if anyone had any ideas for sites?   please it runs out soon, thanks for all input.
20090227125722AAqCeaJ	Computers & Internet;Software	Is there any way that I can get my computer clock to synchronize with the internet everyday?	I already have my computer's clock set to synchronize with the nist.gov official U.S. time online, but it only does this about twice a month. By the end of the month my clock is off by about 6 minutes. Is there any way to set this up for an everyday synchronization? I use Windows Vista.
20090227120938AAoHw6Y	Computers & Internet;Software	How come my Windows Movie Maker pauses and slows down every time?	This is the first time I've used it, really... I've opened up my movie but when it plays it's always really slow and keeps pausing and eventually it freezes. Please help!
20090227121118AA5FC8s	Computers & Internet;Software	Poll: What Operating system do you use?	windows (98 - vista)   Linux ( what distribution)   MAc OS   solaris   BSD   Other ( which one)
20090227121414AA41ij4	Computers & Internet;Software	Updating windows photo gallery?	can someone please tell me how to download updates for windows photo gallery in Vista Home Premium, thanks in advance,  jumblesale.
