20070105184240AARJBRE	Consumer Electronics;Cell Phones & Plans	Where is the cheapest place to buy MOTORAZR V3 replacement covers?	My dog chewed up my cell, and it works fine but is just ugly at the bottom.
20070123142143AAXoOYR	Consumer Electronics;Cell Phones & Plans	Can anyone recommend a programme to convert mp3 files to mmf files?	N/A
20070117135606AA0ioVq	Consumer Electronics;Cell Phones & Plans	Is a cell phone w/4 megapixel VGA camera good?	N/A
20070114121037AAfs8nI	Consumer Electronics;Cell Phones & Plans	Si tengo un celular movistar??	y es de tarjeta  yeinmediatamente k paso la fronterakon usa se kambiaa t-mobile puedo recibir y hacer llamadas o no y solo kambia por ser parte de la kompania?????
20070113131901AAkAtX8	Consumer Electronics;Cell Phones & Plans	How can i make my mom buy me the sidekick !?	i realy want it and i want my mom to pay for half of it! how can i make her buy it.? please help me because i want it so bad!
20070113151450AALBiif	Consumer Electronics;Games & Gear	Am i the onley person that thinks that playstation 3's are a dum thing to buy?	N/A
20070115131604AAuSawt	Consumer Electronics;Cell Phones & Plans	What is the best cell phone?	and please DO NOT say the RAZR or chocolate....the razr has a sucky camera and the chocolate always calls people when its in my pocket
20070117132924AAa8s15	Consumer Electronics;Cell Phones & Plans	CAN I PUT A PREPAID CINGULAR SIM CARD IN ANY CINGULAR CELL PHONE.?	N/A
20070118051903AA7mz27	Consumer Electronics;Cell Phones & Plans	Where to buy Sony Ericsson W900i in Singapore?	hi,      Im looking for this phone "Sony Ericsson w900i (White color)" Anyone know where can i buy it? Any Mobile shop out there selling this model?   If its a second hand, i would want a mint condition one.       I cant seems to find it. I heard they don produce this phone any more. Is there a problem with this phone during the production?      thank u!
20070120142615AAYFDbA	Consumer Electronics;TVs	What is 1080p Digital Processing?	I want to buy a new Panasonic Plasma (specifically the Panasonic TH-58PX60), and it says that it has "1080p Digital Processing". So does this mean that the TV is full HD?
20070202070017AAVbgOC	Consumer Electronics;Games & Gear	Im looking for a history to Sony and Playstation 3?	N/A
20070129035951AA2dIYn	Consumer Electronics;Games & Gear	My psp will not read a disc but it reads two other discs. What is wrong?	i am trying to play midnight club on psp   i tested it with midnight club, lords of dogtown movie, atv offroad fury, and thrillville. Thrillville and Atv offroad fury work, the other two do not.
20070125131857AAdqgKE	Consumer Electronics;Cameras	Best small macro digital  camera?	i need a small slim camera that slides in to my pocet also is realy good a takeing macro pics with out the extra lens
20070201171137AAoNKJs	Consumer Electronics;Music & Music Players	How do i tansfer the songs from my ipod 30gb to my frind's itune?	hi,i want to transfer the mp3 songs to another itunes? how do i do that thx
20070403095816AACAXl3	Consumer Electronics;Cell Phones & Plans	How to record phoneline conversation?	Hmmm... well me & my friend are going to 3 way with some guy friend of ours.   and we gunna make him sing.... any way i can record it ?   And i try puttin it on speaker, and recording it with a recorder.....don`t work so well.       is it depends on the type of phone i have?   and does the LG chocolate have that?
20070316123004AAIavoC	Consumer Electronics;Cameras	How can you tell if an xd card is type H or type M if there is no label?	N/A
20070311000150AAqXdns	Consumer Electronics;Music & Music Players	I need to switch over my Ipod and ITunes library to my new computer......?	I need to switch over my existing IPod and ITunes music and video library  from my older PC to my new PC, but  am experiencing problems. Is there some sort of program I could download to assist me in the conversion?
20070318025802AAbpZiZ	Consumer Electronics;Cell Phones & Plans	Can anyone tell me what's the song used in the Sony Ericcson W880i commercial?	It goes " I want you to know you make me happy, I want you to know you make me sad......."
20070321154706AAwlKuF	Consumer Electronics;Cell Phones & Plans	Is myspace for Cingular if I text myspace to 386 is it free? Or does it cost per month or something???????????	I really want it because somtimes its not my day on the PC and I need to talk!
20070428092757AAUbBAM	Consumer Electronics;Music & Music Players	Is there a fm transmitter for ipod nano that works on car AND home stereos WITHOUT running off ipod battery?	I have a new ipod nano and want to buy an fm transmitter that will work on both my home and (older, cd-playing) car stereo.  I don't want one that runs off of the ipod battery.  So...is there a model that will both plug into my car's power AND also plug into a wall socket at home?  Or, if I buy a car version with power adaptor, can I buy a separate home wall charger and plug them both in at the same time?  The nano only seems to have one place to plug in 'extras' (aside from the headphone socket) so I'm assuming one can't plug it into two things at once.  Suggestions??
20070429210036AAoRB6A	Consumer Electronics;Cameras	How can i retrieve photos from SD card that i accidentally erased in my camera?	I have a cannon power shot s3 IS camera and i accidentally hit some button that erased all my pics can any body help me get my pic back?
20070304104700AARbauL	Consumer Electronics;Cell Phones & Plans	Why does my Cingular phone say "off network"?	I want to find out how to fix it because my friend said somthing about analog. Idk if this is true or how to fix it and im scared that it will mess up my phone. My mom's phone wich is on the same network as mine also says this in place of where it usually says cingular on the menu page.      please help!!!!!
