20090226095650AA2F77W	Consumer Electronics;Games & Gear;Nintendo Wii	I need wii help!! Please help!!?	How can i transfer wii game data from one sd card to another and give me a precise guide
20090226095651AA77k0R	Consumer Electronics;Cell Phones & Plans	Where can I buy a motorola c261 tracphone?	N/A
20090226095802AAsWP7n	Consumer Electronics;Music & Music Players	PLEASE HELP ME!!!How to use Cucusoft YouTube Mate for an IPod Touch ?? I don't get it !!!?	Ugh Im 12 years old i dont get it.    I want to put youtube videos on my ipod touch and i already dowloaded CucuSoft YouTube Mate and i dont get how to use it .    I would ask my brother or Dad but none of them are here at the Moment.    PLEASE PLEASE HELP ME I WANT YOUTUBE VIDEOS ON MY IPOD TOUCH !!!!!   Also if you know anything that easier that i can dowload for free that would be appreciated .    THANKS IN ADVANCE !!!!
20090226100645AAJDKVW	Consumer Electronics;TiVO & DVRs	Streaming Nextflix through TiVo--subscription required?	Obviously, I know that I will need a Netflix subscription. My question is: will I still have to pay the monthly TiVo subscription fee if I only want to use the box to stream Netflix movies, and not cable?      I'm pondering getting rid of my cable service, and just using Netflix and iTunes (via I-TV) to buy the content I want, since (like most people) I probably watch 2% of the crap that my cable company streams to me.      I'm aware that there is a Netflix-only box, but I already own a Tivo. If I can use it for this purpose, I'll keep the Tivo box. If I have to keep subscribing to Tivo, howerver, it would be more economical in the long-term to buy the Netflix-only box for $100.      Thanks in advance!
20090226100649AA0Ec4o	Consumer Electronics;Games & Gear;Xbox	Xbox guitar hero help?	Okay i js got a guitar for my xbox 360 and it doesnt seem to be connecting and i tried pressin all the buttons, can you help???
20090226100643AAL4kRp	Consumer Electronics;Camcorders	Should I buy this camcorder?	I can get it for $200 though it usually sells for around $700.   Brand New, used like twice.       http://reviews.cnet.com/digital-camcorde...        http://www.amazon.com/JVC-Everio-GZ-MG40...       Should I get it?
20090226100622AA5FG7Y	Consumer Electronics;Music & Music Players	If you bought a new ipod touch and it had dust under the screen would you return it for another one?	N/A
20090226100936AAJBBrM	Consumer Electronics;Cell Phones & Plans	Is there an upgrade coming to where iphone will have live tv and picture and video text because china has them?	also will att activate them china iphones that have them features
20090226101044AA9b1ic	Consumer Electronics;Music & Music Players	How do i get my videos int2 itunes without any dwnloads?	N/A
20090226100856AA1IBN3	Consumer Electronics;Games & Gear;Nintendo Wii	Does anyone have mgs4 for the wii?	if u do can you give me tips?
20090226100914AAIjTut	Consumer Electronics;Games & Gear;Xbox	Cant connect to xbox live!!! Help?	Ive got wired internet and it fails the ip address and i dont want to do it manually cos it naffs up my internet help!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20090226101059AAjENpU	Consumer Electronics;Other - Electronics	Does anyone know how to clear up murky water in a lava lamp?	I have a 52oz. lava lamp that just arrived, i was exited until... murky water, it's probobly because it was shipped wrong, on its side or something. Anyways, does anyone know how to fix it?
20090226101317AAQI4P9	Consumer Electronics;Music & Music Players	Whats the smallest GB?	i'm thinking of getting an Ipod touch. Whats the smallest GB? the smallest i've seen is an 8GB. are there any smaller ones?
20090226101112AAX1RpI	Consumer Electronics;Games & Gear;Xbox	Halo 3 spartan officer achievement?	In Halo 3, I currently have 91 Exp, and I'm a lieutenant grade 2, I really want the rogue helmet. It is the last helmet I need. Could someone please help.
20090226101908AAnzRNL	Consumer Electronics;Music & Music Players	Where can i download music comlpetely free?	i want to download free music for my ipod without having to download an extra program... anyone know where i can do that?
20090226101121AA1UO5H	Consumer Electronics;Games & Gear;Xbox	How Do I Fix This Microsoft Points Error On Xbox Live?	Ive bought 2100 Microsoft Points from HMV i try to redeem the code and it comes up with this error         cant retrieve information From XBOX live.   Please Try Again Later      Status Code :80169D94      i googled it tried to find out some answers all i got on forums was "ive got this too please help" or something along that lines
20090226101122AAzOeFi	Consumer Electronics;Music & Music Players	I downloaded songs onto my itouch from itunes and transfered them to my itunes on the computer..?	all the songs transfered to my computer itunes fine, but they came off my itouch and I cant get them back on when try to sync it up.. they are still on my itune on the computer but how do i get them back onto my itouch? (hope that makes sence)
20090226101605AAZRt2j	Consumer Electronics;Music & Music Players	Could I just keep the iPod Touch on all the time as if I had an iPhone?	N/A
