20070125134528AAH28ID	Yahoo! Products;Yahoo! Answers	How come none of the celebrity users of Yahoo! Answers ever answer any of our normal mortal questions?	Is it cause they have a superiority complex?
20070126210026AA69CXi	Yahoo! Products;Yahoo! Answers	Do i get a cookie if someone stars my question?	if not then what does it do if any thing
20070131094052AAeuZsg	Yahoo! Products;Yahoo! Widgets;Login and Security	Voltou aquela chatice. Você responde em português e quando a gente volta, está em inglês. Viram?	N/A
20070201110911AARI1mv	Yahoo! Products;Other - Yahoo! Products	After downloading yahoo games,why is the 'playnow' button not working?	I recentlty downloaded the trial versions of Be trapped and dynomite...When I click the play now button nothing is happening...the other two buttons are working just fine...and I don't     know how to report this bug to yahoo...please help...by the way I am able to open few other games...
20070131024823AAtphON	Yahoo! Products;Yahoo! Answers	Is there any clone of answers.yahoo.com?	N/A
20070203141930AAYMtO2	Yahoo! Products;Yahoo! Answers	Can you get two violations for the same question???	I asked one question and that question got deleted. Then I got two violations for it. I lost 20 points..=(.
20070130112052AAQEJgq	Yahoo! Products;Other - Yahoo! Products	How do you add %'s?	N/A
20070202191954AAGZEXn	Yahoo! Products;Yahoo! Answers	How do i put a paper on here? It is longer than 1000 characters?	I have seen some people post paers here longer than 1000 characters. Mine is 859 words how do i post that
20070202204700AARAxWl	Yahoo! Products;Yahoo! Answers	Can u delete a question after it is resolved???	Is there a way to delete a question after you have already posted it and it has been resolved?
20070206055034AAG1tb1	Yahoo! Products;Yahoo! Answers	Ma perchè non funziona questo servizio?	vediamo se la cancellano.........me l'hanno cancellato mi viene da ridere...come post simili   hehehehehe      perchè non funzioni answers?
20070203210722AAPe8x5	Yahoo! Products;Yahoo! Answers	If I beg and plead, would you please give me a STAR?	My question is, how can I ask you to give me a star to my question?  I would really appreciate it.
20070205134519AAQdmMd	Yahoo! Products;Yahoo! Answers	If somebody tries to click the "Thumbs Down" on my questions, it doesn't work?!?	People can't give me a thumbs down until I reach the royalty of level 2? Madness!
20070215102136AA2UN7b	Yahoo! Products;Yahoo! Answers	#2 I would like to know the ages of persons answering questions. ANSWER?	i am a 10 thanks guys.
20070302191723AAKR7nK	Yahoo! Products;Other - Yahoo! Products	Yahoo E-mail ?	My friend had sent me an e-mail with the id "billgates@microsoft.com" & he is not telling me the idea to do that.   He told me that it is called as e-mail masking.   Plz can anyone tell me how can do that ?
20070304170529AAT78Jr	Yahoo! Products;Yahoo! 360	My avatar???	i dont want the avatar thing i want my picture up there and i have a 360 account but where it gives you the option of no picture 360 or avatar it wont give me the option of my 360...it says get a 360 now...
20070218230653AAKOU53	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	My messenger wont go to system tray, and i dont want it up all the time?	i unchecked keep on top, but it wont go away
20070222060821AAaskQi	Yahoo! Products;Other - Yahoo! Products	Why this failure notice comes?	N/A
20070222222234AA65bx7	Yahoo! Products;Yahoo! Mail;Problems with Service	Why am I receiving 'Server Error' when I'm checking my email?	Also, since this has happened I've also experienced that as i get in to my email (yahoo) it's a blank mail box, ie no messages received sent...etc. like as if i've never used it before?  Are these two activities related?
20070224082736AAZrJqI	Yahoo! Products;Other - Yahoo! Products	Free unlimited sms sending worldwide?	N/A
20070305233652AAVot8s	Yahoo! Products;Yahoo! Messenger;Problems with Service	How can i sinout from mobile device in yahoo messanger?	N/A
20070306124233AAJWeo6	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	I need help, please....!!!?	i want Download-messenger hotmail 8.7(windows live messenger), but i can't,..    i don't know how can i do that, ....
20070311153907AAbpNhN	Yahoo! Products;Yahoo! Mail;Problems with Service	Is Yahoo e-mail down? Can't get into it.?	Is the server down on yahoo's e-mail?
20070311154050AA9ZKRV	Yahoo! Products;Yahoo! Mail;Problems with Service	Is server  http://us.f543.mail.yahoo.com/…   down?  can't sign on.?	internet is working and can access on another address.  after entering password, it says that  "internet explorer cannot display the webpage".
20070311154107AAk804Z	Yahoo! Products;Yahoo! Mail;Problems with Service	When I try to get into my email I cant get in?	N/A
20070311160013AAAC0iu	Yahoo! Products;Yahoo! Mail;Problems with Service	I am having problems viewing my email?	I can log in to my account info but not my email
20070312100831AA7smDe	Yahoo! Products;Yahoo! Answers	Ich habe ein paar Vorschl?ge für Features in Yahoo!Clever.Wo kann ich meine Ideeen hinmailen?	N/A
20070417165959AA2QtMY	Yahoo! Products;Yahoo! Answers	Cuantos matrimonios se han forjado ya en YR?	en todos los foros hay gente que se conoce y llegan al matrimonio, aunque este es relativamente joven no iba a ser menos.   tendremos dentro de unos meses bebes Yahoó?   ? solteros animaros !
20070425194522AAExdZ4	Yahoo! Products;Other - Yahoo! Products	De um modo geral em porcentagem como voce classificaria as perguntas e as respostas feitas aqui?	De uma porcentagem para cada uma para perguntas e outra para respostas ok!?
20070413185841AAYZWxz	Yahoo! Products;Yahoo! Answers	?Quisieras que te respondieran como tu quieres y tu no lo haces?	Es como una cadena, porque si yo no lo hago esa persona no va a recibir lo que yo tambien quiero.      Hay muchas personas que no responde n directamente a la pregunta reponden cosas que no tienen absolutamente nada que ver.      En resumen: LO QUE SE QUIERE ES INFORMACION QUE VALGA LA PENA
20070414223931AANzOjA	Yahoo! Products;Yahoo! Answers	?Cual es la preguntamas estupida que ha visto en yahoo! respuestas?	Hay unas que hasta risa dan
20070402201208AATgEom	Yahoo! Products;Yahoo! Answers	What about my answers?	N/A
