20090219223741AADRKKP	Yahoo! Products;Yahoo! Messenger;Preferences & Settings	When i change my avatar picture the display is still the same and it doesn't change?what will i do?	i cannot see the new display image on my avatar when i change it
20090219223904AAQtLf7	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	Windows messenger history?	recent
20090219233438AARsWGw	Yahoo! Products;Yahoo! Answers	Why isnt my questions that i asked not showing up for?	I posted an question and i dont see it posted and why is my question not posting for
20090219231937AA1xQr0	Yahoo! Products;Yahoo! Messenger;Preferences & Settings	Can anyone tell me why my windows messenger shows me available but shows me offline to my other contacs.?	N/A
20090219235036AAesYxd	Yahoo! Products;Yahoo! Answers	How many violation notices has your account endured without getting "suspended"?	Seems like some people can receive loads of violation notices and not get suspended, while I usually only got 2-3 and then it's all over and back to setting up another account.      Also what's the weirdest thing you got a violation notice for? I got one once just for saying "kalamazoo!"
20090220004748AAy8ZGO	Yahoo! Products;Yahoo! Mail;Address Book & Calendar	Contact number for bt?	please can someone provide me with the telephone number for bt one which allows me to actually speak to a human being instead of an automated arsehole.x
20090219232918AAdN5TB	Yahoo! Products;Other - Yahoo! Products	Yahoo help anyone....?	where can i delete the questions i have asked??
20090220001700AA95Xyc	Yahoo! Products;Yahoo! Answers	How can I get my own picture on my display instead of my avitar?	On yahoo answers.
20090220003220AAQcH2R	Yahoo! Products;Yahoo! Messenger;Voice Calls	Where can i download yahoo messenger 8.1 for free?	i accidentally delete my yahoo messenger
20090219230905AAyH1e7	Yahoo! Products;Yahoo! Mail;External Mail (POP)	When I send maassage this masg don't show this pop up. why?	N/A
20090219231114AANnTOr	Yahoo! Products;Yahoo! Mail;Accounts & Passwords	How do I deleted deleted deleted?	my yahoo account, since the mail I using is from a friend
20090219233949AAUzUsr	Yahoo! Products;Yahoo! Messenger;Voice Calls	How to call free from yahoo mesenger?	N/A
20090219235550AAph953	Yahoo! Products;Yahoo! Mail;Accounts & Passwords	Im signed up with two different email address.  One is working find the other, the other isn't?	The one that works is change@pacbell.net. The one that isnt change-links@change-links.org, goes through a Web page.  Email sent directly, but not through the Yahoo group works fine.  The reactivitions report can be sent but does not come back to me, nor does it work.   This just started today.
20090220000154AAmU8qD	Yahoo! Products;Yahoo! Messenger;User Profiles	How can i locate a yahoo friend by name monsurat yekini?	N/A
20090220001440AAtytP2	Yahoo! Products;My Yahoo!	How to get rid of the m.www.yahoo page just back to www.yahoo?	i hate the m.www.yahoo.com (my yahoo) i like the original can i change this?
20090220002101AAdXEhL	Yahoo! Products;Yahoo! Mail;Accounts & Passwords	I have 3 yahoo Accounts. how do i go from one to the other?	is it ok for me to have 3 accounts?
20090220003636AAy9pVx	Yahoo! Products;Yahoo! Groups	How i unsubscribe from yahoo groups?	N/A
20061011201757AAcKBCR	Yahoo! Products;Yahoo! Answers	Is there any way to...?	put your avatar on the Yahoo Mail Beta??  I really miss my avatar being there!!!
20061114120212AAuob2o	Yahoo! Products;Yahoo! Answers	Why you answer the questions ? what it gives you ?	N/A
20070425110746AAVPRKU	Yahoo! Products;Yahoo! Answers	Qué haces mientras llueve?	N/A
20070128220701AANbks3	Yahoo! Products;Yahoo! Answers	Can someone explain in detail how you get reported/get violations on Yahoo! Answers?	This may seem like a stupid question that I could look up but I'd like to know from your experiences...
20070425104144AAa8VOP	Yahoo! Products;Yahoo! Messenger;Accounts & Passwords	Que hacer para tener un matrimonio o noviazgo feliz?	N/A
20070819212834AAngjJb	Yahoo! Products;Yahoo! Answers	Why does it subtract points on my account for asking a question on Yahoo! Answers?	N/A
20070505224421AAjzjwS	Yahoo! Products;Other - Yahoo! Products	Help with Avatars?	I am trying to find the download button. Does anyone know where it is? I know that I was able to do this once because I use my Avatar as my pic on myspace, but now that I've changed it, I want to change it and now can't find the download button!! Thanks!! Brianna
20070310212921AArWMin	Yahoo! Products;Other - Yahoo! Products	No month,day,year.on main yahoo.pages--why??	N/A
