20080308021313AA2Q39G	Education & Reference;Homework Help	Do you have an outline of an A* monologue for fiction and non fiction, its for my coursework :)?	Non fiction out line of what to include, and fiction and non fiction.Thank you
20080530044742AAsqRyw	Education & Reference;Other - Education	How do you go to school?	responda essa pergunta de varias maneiras em ingles
20080705015228AAHJml8	Education & Reference;Higher Education (University +)	Need honest comments....what do you think of my marks?	hi please tell me sincerely what do you think of my degree marks. should i be disappointed? does it reflect badly on my ability?   1) 65 Credit   2) 72 Distinction   3) 76 Distinction   4) 82 High distinction    5)78 Distinction   6) 80 High Distinction    7) 63 Credit    8) 64 Credit    9) Pass    10) 91 High distinction    11) 68 Credit
20080616184407AAxV8gm	Education & Reference;Homework Help	?Que es el hilo conductor?	N/A
20080624171907AAUWyjU	Education & Reference;Studying Abroad	Traduccion de una  frase al ingles?	no usen ttraductores online porfa      "Esto es para que no me olvides, y decidas regresar"
20080624172045AAn4xs7	Education & Reference;Homework Help	GANA 10 PUNTOS!! AYUDA URGENTE!<<<<<<<<<<<<<a?	AYUDA pasado ma?ana tengo que entregar el triptico de el PROYECTO DE CIENCIAS!! lo malo es que no se que hacer por eso no puedo entregar es triptico ayuda!! denme una idea de un proyecto barato-facil pero que tenga ciencia o fisica    PORFA!!!      sino dejenme la pagina del proyecto plz!!!
20080706090631AA3j791	Education & Reference;Words & Wordplay	Please answer this?	most people know what s.w.a.l.k mean 'sealed with a loving kiss' well does anyone no what d.e.r.b.y means because someone wrote it at the end of a letter. thanks for all your help :)
20081008162720AAVvPWC	Education & Reference;Other - Education	Will I get left back if I fail gym?	I'm in the 10th grade. There are 4 marking periods in 1 semester and I failed the 1 marking period, I was wondering am I gonna get left back for this, and can I still get into good colleges???  I'm really worried. 
20081016155459AAb4W9u	Education & Reference;Words & Wordplay	Can I use 'a Cloud of Smoke' to Describe Cigarette smoke ?	Or a Pillar of smoke ?
20081101071549AA4VW8t	Education & Reference;Higher Education (University +)	Will I make it into Indiana University-Bloomington, just applied?	GPA-3.65 , 24/157 in class   Rigor of classes: Honors english 9, 10, ap literature, Psychology, Honors bio, chem, Calculus, Physics, Sociology..   Sats LOW i know :( 1410/2400 this is why im freakin out   Extra Activities- Track freshman/sophmore year...cross country sophmore year....soccer junior year...15 hours of service for my church..indiana resident.I am also going for nursing so maybe that will help because male nurses are in demand
20061002110126AALVpus	Education & Reference;Higher Education (University +)	Felony college?	i  am 22 yr old college with a felony for robbery when i was 18 i am thinking about dropping out of school because i think with a degree and the felony i wont get a good job am i right for thinking this
