20090307160728AA7I1C8	Education & Reference;Words & Wordplay	What is your faovrit name?	mine is rachel
20090307160744AAnGQAd	Education & Reference;Standards & Testing	How do I study for a test?	I have a genetics exam on Friday, but I don't know how to study. The teacher sends us power points but each one is over 40 slides. How do I pick out which things are important?
20090307160740AAa5lEe	Education & Reference;Homework Help	LESLIE'S JOURNAL by ALLAN STRATTON?	Does anyone know what the main character's (Leslie) last name is?
20090307160908AAiBGGA	Education & Reference;Homework Help	Creative title to my essay?	it's about water pollution...i really can't think of a creative title
20090307160824AANJyiI	Education & Reference;Homework Help	What was technology like in the 1950s?	I need to find a picture to represent technology in the 1950s.   does anyone have any sites to point me towards that explain   tech. in 1950s and have pictures?
20090307160830AAPXYRd	Education & Reference;Homework Help	What are cliff notes?	Yeah.. its kinda all up there ^^   :)
20090505181502AAzh8Hy	Education & Reference;Homework Help	I need help on American Government...?	I'm not asking for an answer to my essay question.*   please read all of this to understand...      This is my essay question or watchu call it.   ----------------------------------      In an essay of at least two well-developed paragraphs of eight to twelve sentences each, compare and contrast the major groups of people that typically support the Republican and Democratic parties.   Be sure that the words and ideas that you use are respectful to both political parties!   A frequent problem with this question is that students "blast" or "demonize" one party, while "praising" the other.    In your role as a student, it is important that you show respect to both parties views, even is you personally disagree with them.       ----------------------------------      ...Well here's my question I have to ask.      What are the major groups of people that typically support the Republican and Democratic parties?      just incase anybody can help me by giving me a page number...   The American Government book i'm using is from Holt    http://ecx.images-amazon.com/images/I/51... 
20090505192710AA0UP3l	Education & Reference;Homework Help	I need to paraphrase this for Romeo and Juliet and its due tomorrow but I don't understand it, please help?	Rebellious subjects, enemies to the peace,   Profaners of this neighbor-stained steel-   Will they not hear? What, ho! You men, you beasts,   That quench the fire of your pernicious rage   With purple mountains issuing from your veins!   On pain of torture, from whose bloody hands   Throw your mistempered weapons to the ground   And hear the sentence of your moved prince.   Three civil brawls, bred of an airy word   By thee. Old Capulet, and Montague.   Have thrice disturbed the quiet of our streets   And made Verona's ancient citizens   Cast by their grave beseeming ornaments   To wield old partisans, in hands as old.   Cank'red with peace, to part your cank'red hate.   If ever you disturb our streets again.   Your lives shall pay the forfeit of the peace.   For this time all the rest depart away.   You, Capulet, Shall go along with me;   And you, Montague, come you this afternoon.   To know our father pleasure in this case.   To old Freetown, our common judgement place.   Once more, on pain of death, all men depart.            Yeah we have to like paraphrase each line and it sucks =/   Please help me?   This is Prince Escalus's speech.
20090307113724AAlSuaG	Education & Reference;Primary & Secondary Education	Public Speaking Classes?	I am looking for an adult Public Speaking Class. A few years back there use to be Classes or more like meetings where adults could get together and present speeches. Its more like a meeting where everyone kind of sits around and gives advice on what you could impove on? I know it was a big thing a few years back... they hold these meeting all over the united states? Any ideas? There was a certain name that people called them
20090307110647AABj5pk	Education & Reference;Quotations	Explanation of confucious qoute "have no friends not equal to yourself"?	N/A
20090307120629AAEhN5m	Education & Reference;Homework Help	Homework help! ten points?	1. Explain how judicial review works as a check against Congress.                                 2. What are some roles that the president plays in the U.S. government?                                 3. What is the civil service and how do people join?                                 4. What is the president’s cabinet and what is their responsibility?
20090307115224AAOL2hA	Education & Reference;Homework Help	Can you name a US president that was a rhodes scholar? 1st right answer wins?	can you name a US president that was a rhodes scholar?      Was it Bush?      Im stuck.      please help.
20090307114254AACsd4x	Education & Reference;Other - Education	How are you able to...?	how do you write a mission statement?  what things should you include in one?
20090307120734AAGVPoJ	Education & Reference;Homework Help	What symbolizes The Trail of Tears?	I need help on my ss homework; i need four objects to help describe the event of The Trail of Tears. Just around the house objects. Plz Help! It is due monday.
20090307115043AAMGtK1	Education & Reference;Homework Help	How did the various social forces of the 1920’s and 1930’s lead to greater national government involvement in?	help please! thank
20090307122630AAML1xc	Education & Reference;Words & Wordplay	Is there a better word than the word gotten?	my sentence is ..my work has gotten busy    but it sounds so juvenile and not professional sounding.
20090307123527AADA6mB	Education & Reference;Primary & Secondary Education	Help Me Please >> Year 9 Options ! :S?	Hey I Have To Hand In My Year 9 Options Sheet In On Wednesday {11thMarch} And I Need Help .   Im Confused Because I Want To Take Geography But Some TOpics In Geog Is Really Boring ANd For History Its The Same [Ive Already Had Mii Taster Lessons]    And Also For 1 Option Block Its Set Out Like this:    Buisnes   French   History   Media   P.e [GCSE]   And Mi Option Choice For This Bock Is French But I Have To Add A Reserve CHoice And i Dont Want To Do P.e Or Media nd For History I Might B Choosing That In A Different Block    SO Im Not Sure bout buisness          HELP ME PLEASE!!
