20090227102847AAILVOP	Education & Reference;Special Education	Ntse!!!!when is the ntse result for class 8 first level of this year coming out for the state of orissa?	when is the ntse result for class 8 first level of this year coming out for the state of orissa?
20090227103437AAy4JxA	Education & Reference;Other - Education	This is going to sound weird, but....?	I live in a double at college with a roommate.   I brought hall cough drops to school with me, but i didnt like them and havent eaten any since.   One day we lost the remote to the tv and i saw 1 cough drop wrapper on the floor under my bed near the heater. I thought it was weird because i hadnt eaten any. A week later I dropped something off my bed and noticed that there were at least 15 cough drop wrappers all ripped up near the heater! I asked my roommate if she was eating my cough drops and she said no she had her own (a different kind). We asked anyone that has been in our room in the past week if they had eaten any cough drops and they all said no. We though maybe they were falling out of the radiator? But then I was folding laundry and putting it away in my bottom drawer of my dresser. There were 40 hall cough drop wrappers just laying all in my clothes in the drawer. Most of them were in the corners of my drawer all bunched up on different sweatshirts. I was really freaked at first, but took all my clothes out and there was nothing in the drawer other than the wrappers and 1 uneaten cough drop. Whats even freakier is that the cough drops are put away in a drawer that shut up. We thought maybe some sort of animal was in the room (my roommate got bit by something the other day when she was sleeping) but the cough drops are shut in the drawer and the cough drops are opened on both ends (something an animal cant do?). Does anyone have any ideas what might be eating these cough drops?
20090227103742AAHjBd6	Education & Reference;Home Schooling	Drivers ed in North Carolina for homeschool?	how do i take the course? Does anyone know on one online that is DMV approved?
20090227104142AAiTAYU	Education & Reference;Standards & Testing	GCSE art??????///????	what do u do in it, what are the differnt categogries and to you get to choos what you want to do
20090227104405AAqUDuq	Education & Reference;Standards & Testing	Maths GCSE on tuesday...?	please can you help with some good revision tips ?   I am really rubbish at revision & maths so i am in deep water :/      also - have you got any methods of calming nerves during the exam ?      thank you xx
20090227105648AAmOrJ2	Education & Reference;Financial Aid	Where do I look for grants/scholarships for LPN school?	SORRRRYYYYY!!! Hit the wrong key! I wanted to add: yes, I've done FAFSA and have asked my school/college's financial aid departments and struck out. This is why I am putting this question to Yahoo!Answers. I've tried Tylenol and searches on the internet with dead ends and advertisements for other schools.  What I need are scholarship websites or places that actually give grants or specific places to put in applications. Many thanks for your thoughts so far, but I need more. Thanks again!
20090227105058AAwabBe	Education & Reference;Home Schooling	I want to write a report any ideas?	I want to write a report any ideas?   I am homeschooled I get to pick what I want to write. I need some ideas.   I have done Socialism, Communism, Abraham Lincoln, and Thomas Jefferson.   More ideas the better!   thanks
20090227104408AADu4nF	Education & Reference;Other - Education	Does these colleges accept g.e.d?	so im going for my g.e.d due to health issues and a surgery that messed me up in my freshman/sofemore year im going to be 17 in april.   im a fast worker  i can pretty much get my work done so i plan to be done soon.      im looking at Uuniversity of florida  /University of tampa./university of south florida. maybe some ine california.      could i get in?      if i finish my ged by 18 could i start looking into colleges?
20090227110619AAycYoh	Education & Reference;Primary & Secondary Education	Should I stay in school?	I am a junior Econ major right now, and will be a senior at the end of the semester.  However, for the last two semesters I have felt like dropping out and just working for a while until I want to go back to school.  All of my friends and my brother, all seem to know what they want to do for a living and I have no idea what I want to do.  I really hate school, and am sick of doing around 4 hours or more of homework a day, only to have more assigned the next day.  I just feel helpless, like it does not matter what I do or how hard I work because I am just going to have more work the next day anyway.  For my money situation, I currently just have enough to barely make it til the end of the semester and then I have to find a job to pay for next yr. (I have already been looking for employment now), but the job market is so terrible right here in MT that I don't even know if I will find a job this summer.  Both my parents would be extremely upset if I did this I already know, but I am just not interested in school anymore, I mean they already picked my major for me, I wanted to major in History because I find it interesting.  I went to the career fair on campus yesterday and talked to some employers (Wells Fargo, NW Financial, .etc..) about Finance positions and the more I learned about working for those places, the more I realized that I dod not want to work in any Economics related field.  I also talked to US Customs, and the Border Patrolm and their jobs sounded fun and like something I would not get bored from.  The Border Patrol did not require a college degree, and paid more than the Banks and Investment firms did too.  I really just feel like doing that instead of going to school because the recruiter said that some of the agents do attend school, albeit 1 class at a time, but you still are going to school nonetheless.  Also, if I can't find a job this summer I won't be able to be in school anyways since I will be out of money and FAFSA is just out to screw the middle class and claims that my parents have $13,000 just lying around for me to go to school, which is crazy since I am paying for my own school.  My parents can't afford this because they still are paying off their house, saving for retirement, paying car loans, and I am sure there is more.  Anyway, what do you all out there think I should do?
20090227110932AAySKXI	Education & Reference;Other - Education	Sites to get writing reviewed by people?	Are there any sites where you can upload writing and have people review/comment on it? And would such a site protect your writing... would it be copywrited so that no one can steal and use it as their own? Thanks.
20090227110434AACZEgB	Education & Reference;Primary & Secondary Education	What academic school clubs are/were you in?	What academic school clubs are/were you in?
20090227111656AAa2ncN	Education & Reference;Home Schooling	Homeschooling myself?	I got into some trouble at school so my mom took me out and she's starting to get rly busy so we don't have that much time to do alot and I don't want to fail 8th  grade so any sugestions on homeschooling myself or wat do I do
20090227112241AAZUCss	Education & Reference;Financial Aid	Anyone know a site for a grant that isn't going to end up costing me membership fee?	i just need some extra cash to fix up this foreclosure home i bought and i see all these things that people say they can find the same programs that these cd scams offer, but what are those sites????
20090227110517AA9IFN8	Education & Reference;Primary & Secondary Education	Interview questions?????????????????????…	Im in 7th grade and im interviewing a 7th grade teacher for the newspaper what questions do i ask?
20090227111645AAmh9an	Education & Reference;Other - Education	Need email address for Maura Lehr, LCSW at Payne whitney westchester division?	She is the director of oupatient clinic
20090227112547AA8vgnl	Education & Reference;Financial Aid	Step-to-step directions on getting SAR report & not summary?	Can someone walk me step by step on how to get the SAR report from fafsa online, rather than the summary form. I need the actual report, and I can't find it on FAFSA's website ( I have a pin # and everything already). Thanks so much
20090309183045AAV5lx6	Education & Reference;Homework Help	What messages are communicated in ads?	N/A
20090309184718AAoVOaH	Education & Reference;Words & Wordplay	What kinds of words are you not allowed to end sentences with?	N/A
20090309184316AAuupRD	Education & Reference;Homework Help	Please answer if you are VERY smart or grade 8+. its a challenging question!?	NOT HOMEWORK!!?   JUST WONDERING!      Why is life expectancy in the world richest countries can be twice as high as like expectancy in world poorest countries. and PLEASE EXPLAIN!      my answer: i think its because they have more health care so they live longer,      i would probably FAIL with this answer! can some 1 please give me a one that is 100% right!   plz and thanxx
20090309183550AAs2xwJ	Education & Reference;Words & Wordplay	What does this quotation mean?: "No man is free who does not command himself."?	N/A
20090309183730AANG1g4	Education & Reference;Words & Wordplay	Do you think that the more young people text messages their ability to spell correctly decreases?	N/A
20090309184453AAJ6DwO	Education & Reference;Homework Help	What does Henry V say on his speech on st. christmas or crispins day?	i need a summary on his speech that he makes on that day, try to explain speech in your own words so i can understand. thanks   10 pts for best answer.
20090309184943AArTAJz	Education & Reference;Homework Help	What is a brief example of a planned funeral?	for health i have to plan a funeral for hw and im lost
20090309183923AA52m7t	Education & Reference;Homework Help	I dont know what to write for this!?	i dont understand what to write for the linear equation on #13.   the link is below.       http://my.hrw.com/tabnav/controller.jsp?... 
20090309183030AAHQYTv	Education & Reference;Words & Wordplay	What the hell does Colloquial  mean and how can i use it in a sentence?	N/A
