20070424094336AA1aGyY	Arts & Humanities;Philosophy	Do you have to fight for every opportunity or do things just fall into place?	I usually have to fight.
20070426033422AAupZgH	Arts & Humanities;Philosophy	Should we hav a positive attitude but if we sometimes negative attitude only works?	N/A
20090203131307AAMC31S	Arts & Humanities;Books & Authors	Books like League of Extraordinary Gentlemen?	I was just wondering if there were any books out there like the movie [or comic] League of Extraordinary Gentlemen.    For those who don't know what it is, a few famous characters from books [Captain Nemo from 20000 Leagues, The Invisible Man, Alan Quartermain, Tom Sawyer, Dorian Gray, etc.] get together and fight some bad guy.     I don't want to read comics though.   Also, something like V for Vendetta would be fine.    Thanks for the suggestions.
20090203131151AATuoUg	Arts & Humanities;History	When did the battle between Pulitzer and Hearst begin & what happened after attack on u.s. battleship Mainin?	A.Their battle began in 1892; They wrote negative articles about President William McKinley   B.Their battle began in 1890; They published political cartoons   C. Their battle began in 1883; They demanded President William  McKinley’s resignation   D. Their battle began in 1896; They called for war against spain
20090203131233AA97niO	Arts & Humanities;History	How were the native Americans treated by the settlers of North America?	Give specific details please.
20090203131029AAmGi8n	Arts & Humanities;History	How did African Americans help shape our national identity through music and literature?	N/A
20090203131345AAqIiAr	Arts & Humanities;Poetry	I found this, and I'm not sure when I wrote it, lol?	Oh,         in my madness I sank to the floor        and without the comfort of you to land on,        my head thumped upon the wooden floor.   Dear,           my heart, Break is not for all eyes           so if I may, please hold your uttering tongue           for my laughter may fill your ears, but it does not fill my heart.   Ahh,          without your heart thudding next to mine          my days seem all-too silent          and my glassy eyes cloud further    Hmm...              these occurrences that make me see no light               hold significance later in an uninspiring way              because my hum-glum way of wording bores you   But alas,                I may worry about your heart becoming too dulled                and deflating from lack of love and inspiration                I'll worry while you boast my heart, Break.
20090203130955AAhK1Fc	Arts & Humanities;Books & Authors	So whats the story on the amittyville house horror? what are all these legends?	N/A
20090203130958AAIWyPd	Arts & Humanities;Theater & Acting	A good face for an actress?	i would like that someone give me his email, because i would like to send my photo , cause i would like hear from you , if i had a good or interesting face to became and actress.   hm?      please.   mary.
20070508090922AARPk2B	Arts & Humanities;History	What was the basis of the plessy v. ferguson case?	N/A
20090203130906AAEt6nx	Arts & Humanities;Philosophy	What are some simple things that have changed your perspective of the world?	for my english class i have to write about something that has happened to me or that i saw that changed my views on something. my teacher said that it would be best not to write about death, divorce, or moving because they are so difficult to convey through words, but to stick to something simple (it doesn't have to be really simple, though). i'm 14 and although i have had things that changed my perspective before, there are none that i really feel are powerful enough to write an essay about. so i just wanted to ask you all if you've had any experiences like this, just to give me an inspiration.      thanks :)
20090203131048AAeL5T7	Arts & Humanities;History	Did The Allies see World War One ending ending so quickly?	So we all know that World War One didn't end in total victory as world war two did. The Kaiser's forces were still fighting on outside of Germany when the armistice was called (I don't know about the other countries).      So... My question is because of the whole less then complete victory situation I outlined above, were the Allies surprised by how quickly world war one came to an end?      This is particularly pertinent to the central powers entering the Russian Civil war to reverse the treaty of Brest-Litvosk, as I'm writing an essay. Sources much appreciated thanks
20090203131151AA9rIy7	Arts & Humanities;Other - Arts & Humanities	Tips for advertising a teen magazine?	My friend and I started a teen magazine last year at our library for kids interested in writing, but we're having trouble getting people to join and/or come to the meetings, any suggestions? Also any suggestions for our format would be appreciated cause its pretty lame right now.
20090203132033AAu3J0P	Arts & Humanities;History	How did imperialism play a role in the relationship between North and South Korea?	Also, did kim Jong Il threaten to use nukes recently? Was Bush worried?
20090203131839AAqHz9L	Arts & Humanities;History	Why was Constantinople renamed?	Istanbul after the Muslim armies conquered the city?
20090203132455AAepojv	Arts & Humanities;History	Who knows stuff about world war 1?	i've been trying to find out the answer to this question EVERYWHERE its stressing me out ): i have noo idea.      i need to make a cause and effect chart for this question:   Causes & effects of Russia's involvement in WW I. What was the implication of their involvement on both U.S. & Europe? Were they involved during the entire war? Why or why not?      please help   thanks
20090203132559AAD8oje	Arts & Humanities;History	Name me please some interesting episodes involving mercenaries?	I mean guys with weapons that fought for money.For instance,I heard of the episode,where they were payed by a Henry VII of England's enemy,who attemted to overthrow Him to get the kingdom for himself.He payed some german mercenaries,collected in Holland, who,after joining his invading England army,greatly increased his chances to become the king of England himself.Where can I read such stuff online?
20090203131632AAJiAbH	Arts & Humanities;Books & Authors	Who has read Eragon, what did you think?	N/A
20090203132015AAdLoUd	Arts & Humanities;Performing Arts	Need Help with my guitar?	I'm so pissed with my guitar,when i play it and pluck the sound is like a maracas shaked very fast what's the problem with this a please give me a solution
20090203132345AAp3S8q	Arts & Humanities;Dancing	Cheerleader Workouts?	Hey want to try out for the Middle School Cheer leading team but I don't know a lot Of Gymnastics so im going to to start a gymnastics class so if you have any advice n how to make the team and how to do a back tuck,back handspring, and Jumps(etc)      Also if you have any advice on what kind of exercises and stretchs i should do everyday to build muscles and etc you know         If you have anything mean to say dont even bother commenting!!!!
20090203131722AAe2ok9	Arts & Humanities;History	What political, social, and economic contributions did women make to American society in the 1920's?	N/A
20090203131749AARqVRC	Arts & Humanities;Theater & Acting	What do you need to do yoga?	Ok, In my acting class, my teacher game me a script and we had to use props and expressions to show where we are. The script is simple and it's just saying hi and stuff. Me and my partner's setting is two friends doing morning yoga. My prop list is...   - yoga mats   - coffee cups    - music   Anything else I need?
20090203131842AAMaxBr	Arts & Humanities;Books & Authors	Help Writing a love storie?	so i've wrote the end of a storie IF YOU CAN CORRECT ME OR WRITE IT BETTER plz do it since english isnt my language       [HERE IS THE FIRST PART]      'Padma is a lovely young washing maid who works and lives in a beautiful palace. One day the evil King Rajarshi sees her in the palace and summons her before him. He announces to her and the entire kingdom that in three days they will be married. Padma is horror-stricken and runs crying into the garden. The young garden-tender, Paresh, sees her crying and asks her what is wrong. She looks up into his face and they fall in love at first site. They quickly devise a plan to escape the palace before the wedding is to take place. Unbeknownst to them, the King’s chief advisor, Vatsal, has overheard their plans and attempts to warn the king! Will they escape in time or will Padma be forced to marry the evil king?'          [the part i wrote]   The king has found out their planes, He arrests Paresh and force Padma to marry him or Paresh will be killed. Padma agrees in a hearbeat, while Valtsar is mocking Paresh. She walks to the church with a beautiful white and long dress, tears rolling down her face. She stands infront of the king and as the wedding starts she begs the king to let Paresh go, and let him find his true love. The king completly ignores her and continues with the wedding. While he takes a gold ring with a big crystal rock and puts it in Padma's finger, Pashma strongly opens the doors of the chruch and says "Padma, i've found my true love, but im letting her go, im letting her be happy" Padma desperately runs to pashma and hugs him. The king with anguer sends his guards to kill Pashma and Padma, but they dont obey.    (idk how can i end it lol , i just need like 2 more lines or one)
20090203131457AAFtqXS	Arts & Humanities;History	What was the population of jews before world war 2?	also, what was the population of jews after the war
20090203131601AAJEcwi	Arts & Humanities;Books & Authors	Where can I download ryan leslie?	Where can i download the song "how it was supposed to be"- ryan leslie?? i want the rock version, like in his video. with the guitars and such. i looked on limewire and couldn't find it. is there any other place i can download it for free?
20090203131842AAhhPIl	Arts & Humanities;Performing Arts	What's your favorite electric guitar?	and what color?
20090203132217AAwPbI0	Arts & Humanities;History	What came first- Marbury vs. Madison or Treaty of Louisiana Purchase?	I think both were in 1803 but i need to know which exactly happened first. Thank you so much!
20090203132219AAwrzkg	Arts & Humanities;Philosophy	What are questions I could ask about world hunger?	I have an assignment and I need questions about world hunger. So you don't need the answer.
20090203132251AA6Z0R5	Arts & Humanities;Books & Authors	Twilight, New Moon, Eclipse and Breaking Dawn?!?	What do the cover's mean? Like i know Twilight meant with the apple the forbidden fruit which was like resembled forbidden love and all..   so please help(:
20090203132355AASte1w	Arts & Humanities;History	Alexander the great criminal or hero? quick!?	we are having a debate in my ancient civ class and we need to chose one of the sides. i want to side with the criminal side because it looks like a fun challenge. and information or sourse that could help me?       Quick please!
20070514091451AAo3mho	Arts & Humanities;Books & Authors	Ron Weasley is Harry's worst enemy.?	True   False
20070530164039AAuweOB	Arts & Humanities;Books & Authors	Which of those is not a writer of the modern era ?	william wordsworth , dylan thomas , william butler yeats, or george orwell ??//      ? thanks 4 the answers
20070607230236AAGtGnR	Arts & Humanities;Philosophy	Why do you want to be a big star?  Someone almost everyone likes and respects?	What steps are you taking to become a big star today, tomorrow and such?  Is it true we all want to be big big stars like the counting crows would suggest?
20070525172912AAYES7T	Arts & Humanities;Visual Arts;Photography	Pictures with the white border around them....?	where do i go to get my pictures to print out with the white border around them?
20090203132733AAIlBM1	Arts & Humanities;Books & Authors	WHAT OTHER AUTHORS ARE LIKE STEPHINE MEYERS!!!?	Since i have read the book twilight i have been obsessed with the series. Im in to harry potter and things like that but i want something different that nobody else has heard of before. thanks!!!!!!!!!
20070508181310AAF3pHE	Arts & Humanities;History	Your thoughts?	How do you think the 1960's would have been different if he was not assassinated?
20090203132622AAQZIQB	Arts & Humanities;Philosophy	What would say life is all about? I don't really want to hear any old taboos but something worth while? ?	I'm trying to be positive but damn I just want to find some good key points that I can attempt to live by. thank you
20070512064201AAsS6mW	Arts & Humanities;Books & Authors	Does sidney sheldon's "if tomorrow comes" novel have a book 2?	N/A
20070517123144AAeRbXB	Arts & Humanities;Theater & Acting	I want to become a director or a producer What should i do?	i've always wanted to work in the film industry   but i've never had any experience in it   and i'm asking myself if i should go to a workshop or study in a college that offers about production   i'm asking u guys if u think it's worth the risk to enroll myself in sumthing?
20070517155412AAZasus	Arts & Humanities;Books & Authors	Amish book by wanda e brunstetter?	N/A
20070601190507AADzzie	Arts & Humanities;Books & Authors	Wat is the sequals to this book?	South Beach by Aimee Friedman and in order like 1 2 3 and so on thanxs
20080706105610AAItkYC	Arts & Humanities;Visual Arts;Drawing & Illustration	Why do you draw?	why do you draw   do you draw for   *fame/popularity   *love of drawing   *only for bf and gf   *boredom   *forced to draw   *for money         why do you draw       i mainly draw for   *fame/popularity   *love of drawing
20080408093328AAU82vT	Arts & Humanities;Philosophy	?Se debe morir por la libertad y por la democracia?	N/A
20080414120404AA9sI2X	Arts & Humanities;Books & Authors	?La sociedad necesita oir lo que dice un escritor?	N/A
20080516073955AAhjFcf	Arts & Humanities;Philosophy	?La vida es una poesia?	N/A
20070811085735AAxO7Za	Arts & Humanities;Poetry	Sentiste ????	Abre las manos, ?Qué ves? ?Nada?   ábrelas bien, ve bien.   Ves 5 dedos, si, y ?Que más?   La raya de la vida, 3 hijos, mucho dinero,   si si, eso dicen todos los taroteros, pero ?Qué más ves?   ?No ves el mundo? Yo creo que si,   por que he visto la forma en que tomas la tierra y la esparces en el aire, pareciera que fueras a crear otro mundo.      Muy bien, sigue viendo,   ?Ya viste esa nebulosa?   sale de tu dedo índice,   ahora sé por que no se?alas a la gente.   Lo que está en medio es una luna,   ?Cómo le hiciste para grabar tu nombre en ella?      Lo que se encuentra detrás de la luna son tus miedos,   ?Cómo los desapareces? muy fácil,   deja abro mis manos y abre bien los ojos,   ve detrás de las olas,   detrás de ese eclipse y de esa aurora boreal,   detrás de todo eso están mis miedos,   ?Ya los viste?   Ahora dame tu mano y apriétala a la mía.         ?Sentiste?   Han desaparecido      Esto lo encontre en una pagina de internet y me gusto y me dejo pensando..Se las paso para que la disfruten !! Saludos
20070708174255AAlDmaL	Arts & Humanities;Books & Authors	?Qué tipo de libros te gusta leer, tienes alguna recomendación?	A mi me gustan mucho los libros históricos, las novelas históricas, los libros de autoayuda, los libros de poesía, sobre arte, pintura, arqueología, antropología, filosofía de la ciencia.   Dime,? tienes alguno que recomendarme? Gracias por tus sugerencias y saludos cordiales!
20080209111139AAatVMT	Arts & Humanities;Philosophy	"dicen que". . . .? Es ya media mentira?	N/A
