20090128152649AA9OJF0	Arts & Humanities;Books & Authors	What is the house of night series about?	i want every detail like how many books what are the called what are they about etc.
20090128152911AAyPO4Y	Arts & Humanities;History	World war 1 question?	for a couple of bonus points for my us history class the teacher said to find who was the king and queen during that time period and im not sure but is it george v of the united kingdom and mary of teck?
20090128152842AA7KpzP	Arts & Humanities;Books & Authors	Naming characters in a novel?	i'm a budding writer in high school and i have an idea for a novellette/novelle. i have everything set in place except names for my characters. any useful tactics to go about this?
20090128152856AAec6mi	Arts & Humanities;Visual Arts;Other - Visual Arts	Mmkayy, colors for an outfitt?	what are some colors combos that would look good in an outfit?
20090128152907AALaSfL	Arts & Humanities;Performing Arts	What is a good scene for drama class?	I need to find a scene to perform with my drama buddy for drama. Please don't suggest any websites, they need to be from a book. And it has to be appropriate for 8th graders. Thanks!
20090128153016AAGxopg	Arts & Humanities;Books & Authors	I love holocaust books can anyone help me in finding some i might like?	I am looking for some holocaust books i have not already read. So far i think this is what i have read if i can remember: Yellow start by Jennifer Roy, Hana's Suitcase,Behind The Secret Window, I've lived a thousand years,elly or ellie, a stroy of a girl: Anne Frank. I love reading the books it is really sad but i can almost picture them happening in my mind i love those kind of books, any others like them that are very interesting?
20090128152951AA86ghN	Arts & Humanities;History	What did Samuel de Champlain do?	im confused im doing a project at school about him and i dont get it, did he find new france? did he find quebec?
20090128152938AAZ1xP4	Arts & Humanities;Books & Authors	Robert Frost and Nikki Giovanni?	pls tell me your personal response regarding why you like him/her and also their poems. how does it interest you?   why do you like his or her style of writing in poetry?   why is it that these poets interests you?      -just a question that needs to be answer for my project..hehehe i just need your opinion and true feeling towards them.   thanks. i will give you FULL points whoever answers reasonably.   again thanks so much ;]
20090128153012AAHxOH0	Arts & Humanities;History	Homestead act helpp!?	What was the historical circumstances that resulted in the homestead act and what influence of a geographic factor was there...and wat was the impact of government action on the u.s.
20090128153020AA4oTwf	Arts & Humanities;History	Which of the following was NOT a major cause of the French Revolution?	a) poverty   b) absolute monarchy   c) outbreaks of deadly diseases   d) lack of popular representation
20090128153421AAGyc3m	Arts & Humanities;Books & Authors	Anybody have a good Science fiction story?	I would like it to be a series with action.   Please no sappy junk!   Somethin really good that I can get hooked on!
20090128153241AAWWvwY	Arts & Humanities;Books & Authors	Do you like Twilight? ?	N/A
20090128153553AACBIGC	Arts & Humanities;History	Why did the U.S. entered the world war 1?	can u explain what happen? thanks
20090128153654AA75Wss	Arts & Humanities;History	Big wooden board with three holes in it for soon to be executed's head and arms.  Can't think of word for it.?	N/A
20090128153326AAkvcWC	Arts & Humanities;Philosophy	Imagine your self to be a Tree. What would you tell to the human beings from this position.?	N/A
20090128153355AAifb7T	Arts & Humanities;History	Was slavery the main cause of the civil war?	N/A
20090128153356AAxC84j	Arts & Humanities;Books & Authors	Twilight hardcover box set question?	Is it worth it to buy the twilight hardcover box set through amazon.com?   is the quality good and is it not that expensive?
20090128153458AArazfM	Arts & Humanities;Books & Authors	Does anyone know a personification example from the book Maniac Magee?	I need one example of a personification from the book Maniac Magee but I can't find any. If you can, can you please help me?
