20090203145206AA42TRN	Cars & Transportation;Car Makes;Mazda	How much would it be to tint my mazda 3 sp23 2005?	thanks for the help
20090203145318AAbXc84	Cars & Transportation;Car Makes;Dodge	Is there any car that just looks sick besides the dodge charger srt8?	theres the 300 srt8, challenger, and camaro, (the mustang not so much) but i'm looking for a car that looks faster and harder than the charger str8
20090203145329AApdkC8	Cars & Transportation;Car Makes;Subaru	How do field mice get into our 2008 Subaru forester?  We live in the country.  Dealer was no help.?	N/A
20090203145535AA4ZFxq	Cars & Transportation;Car Makes;Subaru	04 wrx ej20 turbo valve question ?	i got my car in the shop and the guy is telling me that i need valve lifters but then this other mechanic tells me that the 04 wrx dont use valve lifters so i dont know do they use it or not.
20090203145815AANDB7Z	Cars & Transportation;Car Makes;BMW	I Have a 2000 Bmw 328i that doesn't have a nav unit in it. If I can, How do I put a BMW in dash nav unit in?	I Have a 2000 Bmw 328i that doesn't have a nav unit in it. If I can, How do I put a BMW in dash nav unit in? My car has a factory CD player with radio and nothing else special. All the sites that I go to say that it is an upgrade for your older nav unit but my car has never had one. Any ideas?
20090203145920AAknkTu	Cars & Transportation;Motorcycles	The dealer i bought my honda ace 750 from said removing the baffles will not hurt my engine in any way. True?	N/A
20090203150317AAtYSEL	Cars & Transportation;Maintenance & Repairs	Burning/melting rubber smell?	Recently I've been smelling a burning/melting rubber scent coming from my 2003 Mazda 6. I haven't had any work done on it recently and all oil changes are up to date. What could this be? This ONLY happens after the car has been on for at least 30mins. I looked under the hood to see if any hoses were melted. Please help!
20090203151018AA4JjfZ	Cars & Transportation;Buying & Selling	I went to buy a car the other day and?	the salesman told me he wanted 8.000 for th car but i said no way i cant give you that for that car he said im sorry but i cant sell it any cheaper and i said you dont understand 8.000 os not enough for that fine car i do not want to cheat you like that i would not be able to sleep he looked at me strange but i made him take 9.000 for the car do you think i done the right thing
20090203150950AAKXUNZ	Cars & Transportation;Other - Cars & Transportation	I went to the Mercedes dealership and they offered me Auto Armor paint protection for my car. ?	Does anyone know anything about this? Is there some way to purchase this at a location other than the dealership? The dealership was charging $1500. Thank you
20090203150818AApEjO6	Cars & Transportation;Car Makes;Mercedes-Benz	I went to the Mercedes dealership and they offered me Auto Armor paint protection for my car. ?	Does anyone know anything about this? Is there some way to purchase this at a location other than the dealership? The dealership was charging $1500. Thank you.
20090203150943AA8tHyP	Cars & Transportation;Buying & Selling	Need info on completing a auto buy/sell agreement?	do you assist with money transactions concerning buying and selling a car from person in another country?
20090203150848AABd5VF	Cars & Transportation;Other - Cars & Transportation	Can a towing place really charge me money for storage of unwanted stolen vehicle?	the place that recovered my car  has a pending lien sale for my car.  the cost for their lien is over 1000 dollars.  i told them to keep the car because it was torched.  they insist on me paying the storage which is the lien even if i leave the car with them.  if i don't pay they will report me to a collective agency.  this is ridiculous,  why should i pay over 1000 dollars for stolen car that was torched, and i'm not getting it back.  ARE THEY FULL OF IT OR CAN THEY REALLY TAKE LEGAL ACTION?  i'm asking here because apparantly the cops dont seem to care and they did not try to help me.  the secretary even asked me (with a threatening tone) if i would rather ask questions to a police officer, so i just left very upset and sadened at same time.  please any info would be greatly appreciated.
20090203151642AATvMok	Cars & Transportation;Maintenance & Repairs	Lower core support rust =[ ?	Hi I have rust on my lower core support and I was wondering if there's a way to stop it or slow it down =[
20090203151635AAihgZl	Cars & Transportation;Maintenance & Repairs	How much does it cost to have a car key made?	I recently baught a 06 toyota corolla and wanted to make an extra key for it. I know if you have automatic doors that it cost more. Wheres the best place to get one made (cost wise or other). dealership or a locksmith?
20090203151448AA3ICtm	Cars & Transportation;Maintenance & Repairs	Problems with my 1999 Ford Expedition?	Ok so my problem is when i run it for awhile and then turn it off and for a couple minutes and then try to start it again it doesn't always start. I will turn the key and everything works  like the windows and the blower fans but the radio won't come on and the truck won't even turn over? Any help would be greatly apreciated
20090203151555AApUAwY	Cars & Transportation;Car Makes;Chevrolet	Dose anyone know what size and how many speakers there are in a 1985 I-rock Z28 Camaro?	Dose anyone know what size and how many speakers there are in a 1985 I-rock Z28 Camaro?
20090203152304AAqkCyQ	Cars & Transportation;Insurance & Registration	What do i need for my permit?	this weekend i am taking my drivers permit test. i have filled out the form i have to take to their office before i take my test. i have been studying for 2 weeks. is there anything else besides my brain and my form with my info on it that i need to take to my local driving exam center? :D
20090203152519AAIGwPp	Cars & Transportation;Other - Cars & Transportation	Is an Audi A6 more reliable than a Volvo S60?	I am looking at a roomy Sedan.  What would you buy an Accord, an A6 or an S60 or S80?  Safety, reliability and comfort are my main concern
20090203152328AAGHSq4	Cars & Transportation;Maintenance & Repairs	What is better horsepower or torque? ?	The classic debate....
20090203151825AAAplWt	Cars & Transportation;Car Makes;GMC	How do I change glow plugs on a 1996 GMC Suburban 6.5L Turbo Diesel and troubleshooting question. (10pts)?	I've changed the 4 on the drivers side but I don't know where the other 4 are at.  I'm going at this blind since I can't find the service manual anywhere =\    Right now my truck is having a real tough time starting, it just cranks and cranks, after it fires up and gets warm it will start easier but the next morning it's back to square one.  This just started recently and changing the 4 on the drivers side did not solve the problem. I'm hoping it's glow plugs but does anyone have any idea on what else it can be?
20090203152719AA5EzcO	Cars & Transportation;Car Makes;Lincoln	Why does 97 lincoln mark viii antitheft alarm when I use the key to open the door.?	I just got a used 97 lincoln mark viii. but when I use the key to open the door, the alarm will ring.
20090203151823AAySL3S	Cars & Transportation;Car Audio	Fi bl 12 or fi bl 15?	is the 12 loud enough  or do i need the 15?  i want something loud yet still somewhat musical. i listen to rap and r&b.
20090203152443AAVwrJW	Cars & Transportation;Other - Cars & Transportation	1 car for 2- possible ?	is it possible to trade in my nissan altima 2008 [only paid around (3000 DP + $500/month car note for 7 months) so $6500 altogether ] and instead get two cars & have two car notes? will a car dealership allow this type of trade in?   1 car for 2 cars basically?
20090203151827AAvp3jw	Cars & Transportation;Insurance & Registration	Towing company with claim issues...someone help answer my question?	hello everyone i need some help with answering a few questions.it would be best if someone who operates a towing business or works in a law office answers.i have a small towing company and i recently towed a car from a property.well i towed it for a flat tire.the guy came and picked his vehicle up and signed his ticket,and also left with the vehicle.the next day he filed a claim agaist me through his insurance company saying i damaged his tire on the vehicle.the property owner from where i towed it requested for my towing license number and insurance policy numbers.i told her i didnt have to furnish those so i faxed the license and insurance to her i covered up the insurance policy number but didnt cover the license.i wrote her a letter saying only she could view this yet she gave a copy of license numbers and insurance without numbers to the guy whom i towed his car.cant she get in trouble for this?what route should i take?someone please help me answer this question.thanks
20090203152017AAPNIyP	Cars & Transportation;Buying & Selling	What is a good used car for my 16 year old?	He's really fond of small-medium sized suvs' (interested in 1996-2000 ford explorers & dodge durango), my price range isn't very high (2000-3500$). If you know of a good reliable car other than an suv, I'd like to hear your input. Thank You very much.
20090203152627AAGUQ5W	Cars & Transportation;Other - Cars & Transportation	Do you have to change your picture when you renew your license?	N/A
20090203152956AAeLZFS	Cars & Transportation;Maintenance & Repairs	Which would sound the best with my car?	I have a 1999 chevy malibu.   It has a cold air, custom PCM, vibrant racing cat, an did a swap from the stock early model 3100 to an 04 grand am 3400      I currently have an 80 series flowmaster crossflow which is desigend for trans ams and camaros but fit perfectly on my car...      My question is would 2 tuner mufflers or cans sound better on my car then the 80 series. I cant seem to find a video that shows the sound so i can figure out if i want to do it or not.      I will be eventually getting headers and make it a true dual.      And if i did get tuner cans wat would sound the best (brand wise) on my car and how would it sound      Thanx
20090203152959AApS9vb	Cars & Transportation;Maintenance & Repairs	I need to replace the ignition in my 97 ford aspire? how do i take the bolts and pins off?	it has two bolts holding the whole ignition assembly on the column. but they don't have any way to turn them. the heads are rounded and there is no sort of way to stik a tool inside. how would i take it off? also the pins holding the ignition in the housing, do i drill those out?
20090203154853AACj5ok	Cars & Transportation;Maintenance & Repairs	On a '52 Ford Flathead, What causes the engine to die when running at higher RPM's? ?	I just put a new kit in the caruburetor which helped alot and installed a new mechanical fuel pump about a year ago. Only thing I changed from original in the fuel system is I installed a fuel tank between the frame rails and eliminated the one that was in the cab behind the seat.
