20090128210749AAF2URO	Cars & Transportation;Car Audio	What kind of door speakers ?	what kind of 6.5'' door speakers would go good with 2 kicker cvrs?   for around $100
20090128210912AAF1wbc	Cars & Transportation;Maintenance & Repairs	Air horn idea, will this hot idea work good !!!!!CHECK IT OUT PLEASE?	 http://www.youtube.com/watch?v=zsc3YMIU2...       Look at that video, this guy is using 1 single truck air horn and he is operating it with 2 direct driven electric compressors(the mini ones that you get in the horn kits from hella....those small barell type ones you get at the auto parts store) He siad it is working. And he uses 2...but will this really work good and do you see any disadvantages to it.   Im puttin it on my car. I want to get one grover air horn and use 2 of those lil compressors that he bought.   A real on board air system cost jsut tooo much..      Any suggestions , ideas or criticizms you can give on this project idea?   WIll it work?      thanks
20090128211026AAoGcWH	Cars & Transportation;Car Makes;GMC	I have an '08 3500 Duramax, does anyone have away around the DPF?	N/A
20090128211718AA8LM2R	Cars & Transportation;Boats & Boating	Where did the parts of a ship terminology come from (i.e. port, bow, aft, etc.)?	I'm reading a book about a doomed arctic expedition in the 1840s and I just wondering where the terms of a ship's anatomy for the left, right, back, front and others first came from?  Why is it starboard instead of right and stern instead of back and so forth?
20090128211323AAC8olA	Cars & Transportation;Car Makes;Dodge	How much does it cost to put a 3rd row seat in a 2003 dodge durango?	N/A
20090128211513AAdVufI	Cars & Transportation;Car Makes;Dodge	Thinking of purchasing a 2003 Dodge Durango. Y/N any comments?	N/A
20090128211609AAQLmjb	Cars & Transportation;Car Makes;Ford	Considering buying a 2003 Ford Focus, awesome condition. Good idea?	N/A
20090128211554AACwf0Q	Cars & Transportation;Maintenance & Repairs	What is the purpose of an egr valve on a cummins isx engine?	N/A
20090128211626AAfKly9	Cars & Transportation;Aircraft	How does an aeroplane land safely on the earth?	N/A
20090128211644AATuqXT	Cars & Transportation;Car Makes;GMC	Does A Saturn SL1 have a Crakshaft ?	N/A
20090128211713AALi9uk	Cars & Transportation;Other - Cars & Transportation	I bought a locksmith slim jim kit. I live in VA, is it illegal to keep with me?	N/A
20090128212806AAfPunV	Cars & Transportation;Maintenance & Repairs	Is it possible for a fuel filter to be a defect?	and how can u tell if ur fuel filter is working properly or not?
20090128212253AAcyfAk	Cars & Transportation;Insurance & Registration	How old do you have be to rent an RV, and do u need a certain class license?	me and my friends are taking a trip and we would like to know if there are certain specifications for the rental? does anyone know?
20090128212632AAWtOlz	Cars & Transportation;Other - Cars & Transportation	Are there any good tips for prolonging the life of a standard vehicle?	Like for example, I know not to ride the clutch.  Any other things I should know?
20090128213010AAUiQYi	Cars & Transportation;Car Audio	How is my system to all you people that know your stuff? lol?	i have a 2001 honda accord sedan.      head unit:  http://www.sonicelectronix.com/item_1177...       capacitor:  http://www.sonicelectronix.com/item_1357...       Amp: i have two of these one to each subwoofer     http://www.sonicelectronix.com/item_1179...       Subwoofer: two of these and they are in two separate ported boxes    http://www.sonicelectronix.com/item_5161...       i have 8 guage wire connecting it all and a distribution block spliting the power up to each amp.      let me know what you think about it and if there are any problems tell me or little things i can do to make it any better. thanks alot.
