20090220133731AAJWDO5	Pets;Dogs	How Cute is my puppy?	Here's my puppy... her name's Lexie. :D       http://s724.photobucket.com/albums/ww244... 
20090220133804AAYBxmI	Pets;Other - Pets	My Netherland dwarf rabbit always bites the other people in the family, but not me. Why?	I am the one that feeds my rabbit, cleans his hutch, plays with him, gets him treats etc. but I am not here everyday and when I am not here when other members in my family (mum, younger brother, 10, older brother, 16) go out to him my rabbit runs away from them and bites them if they go to collect his bowl or whatever. I know I take better care of him than them but it's got to the point where they won't go out when I am at sleepovers or staying at my dads, so I have to go home early in the morning to go feed him and give him his water. They think he is a evil rabbit where I find him very friendly. I have had him for three years and they have never done anything nasty to him but it's like my rabbit (Jet) doesn't like them. I need him to like them. Got any ideas either why he acts like that? Or how I can make Jet not snappy at my family? x
20090220133813AAd5qXh	Pets;Dogs	Rotty pooping blood!!!?	Before i start ill just say that my dog is already at the vet as Im typing this. But im stuck at work and Im so inpatient, I need to know whats going on....          my Rottweiler is almost 3 years old. Always been healthy eating fine... the night before last he was up crying in the night to go outside. He had diarrhea. This morning he wasn't as playful or energetic. He was throwing up and in his vomit was some white stuff that i assumed was flem... My husband and i assumed he had a stomach ache and went to work.. Husband got home to find blood everywhere, he took him out for a walk and he was pooping pure blood.. He said he lost probally about 12 cups...          My dog is at the vet now but has anyone every had this happen before. someone said parvo.. but this only happens in young puppies i thought?????                     one last detail ---- my husband was so scared that he rushed him to the vet without cleaning up the blood (understandable)    However, We also are pet sitting another dog and we have a cat. Im worried if my dog is sick could anything be passed through to my cat???    any thoughts on this
20090220133902AAHf73p	Pets;Dogs	Whats a good dog name!?	It is a snow white Lab. Is a girl view pic!    http://media.photobucket.com/image/labad... 
20090220133934AAAI0tJ	Pets;Cats	How many times does a cat stretch a day?	I just notice that cats...all cats domestic cats, cheetahs, lions, tigers, mountain lions, etc.....they all stretch a lot it seems like. People who own cats as well how many times have you seen your cat stretching?
20090220134037AAs3Vwd	Pets;Dogs	Does this mean I could adopt a dog from here?	Ok, so I wanted to adopt another dog. I already have a dog and he is really sweet and loving. He's great with other dogs and kids and just really loves to be around people. I wanted to adopt another APBT from the city shelter. I was looking on the "adoptions list" on petfinder and I was just surfing around.       I looked at the description of what they are and how they adopt out dogs. Here's a quote from the site..       Adopting a friend      "After holding our animals after the required hold period time, we team up with the Humane Society to provide adoption services. Humane Society represenatives select as many animals they can and these lucky animals are spayed/neutered and heartworm/feline leukemia tested, vaccinated and health checked. To adopt a pet from our lost and found list, please visit the humane societies website and complete a request form. An adoption counselor will contact you once the animal has been held for the require holding period and has been selected for adoption. Please understand that most of the animals viewable on our Petfinder site are strays and or/ abandoned, must be held by law for no less than five days. If you find a pet that you are interested in, please be reminded that it may not be available immedeately. "      Then I contacted them and I asked them if they adopted out any APBT's or APBT mixes. They claimed they adopt them out of the city shelter, but not at the humane society because they figured at the humane society, since that where most people go to when looking to adopt a pet in our city, people will not want to adopt them out and they would be taking up most of the space. So they decided that if anyone wants to adopt a APBT or APBT mix, they would have to adopt the dog from the city shelter.       Is it possible that I could adopt another APBT from there or should I adopt another APBT out of a Bully breed rescue ?
20090220134035AA82oHq	Pets;Other - Pets	Do you like Rabbits &/or Cavies(G-pigs)?	I certainly do! I don't think i could choose between them either,':)      What breeds do you own,if you do? Thanks very much,xxx
20090220134215AAjEeLC	Pets;Horses	What does the term "baby hunter" mean?	N/A
20090220134243AA8ZwCp	Pets;Dogs	How can I tell my friend that it's not ok to it smack her dog as punishment?	My friend and her fiance have had a Old English Bulldog (a puppy) for about 6 months now.  They hit her whenever she does something bad, and it pains me to see it.  I know it's wrong, but I don't want to lose her friendship.  Is there a nice way to tell her it's wrong?        I didn't say anything to her right away because it started out as a smack on the nose, but I saw her fiance throw her across the room the other day.  It hurt so much to see the look on the dog's face when that happened.  They also drag her by her collar and she chokes. It is so sad.  I consider all of this abuse.          Is there anything I can do to help this poor puppy, and still keep her friendship?       Thanks
20090220134351AAuybaS	Pets;Other - Pets	Should my bunnies teeth be clipped?	I have 2 rabbits that chew on wood and hay but i know their teeth always grow. Should they be clipped or filed? I know they would have to be put under but i recently lost a bunny because of surgery. They do not do well will anesthesia so im scared to do it. But is it necessary for them to have this done?
20090220134326AARvrbG	Pets;Dogs	Labradors exercise...HELP!!!?	Hi there...   i have a 5 yr old black lab thats a touch overweight i want to help her out by doing exercise with her what are some programmes and food diets i cann do with her??   Also she isnt very energetic because her weight we want her to be a more energetic dog so exercise is what wewill do please give me any ideas and websites tip anything you have thanks alot!!   :)
20090220134444AA8aIjR	Pets;Fish	Were can i sell a fish tank FAST?	some were special were they only deal with fish tanks besides ebay,recycler,cregslist   its a 75 gallon acrylic blue background with every thing,15 fish
20090220134556AAFlCpH	Pets;Dogs	What do you think of having a dog?	heey everybody ... i love pets so i'm thinking of having a dog, actually i like dogs soo what do you think?? what kind of dogs should we have for a familly have 5 children?
20090220134850AAXVOrJ	Pets;Dogs	Why do dogs sleep so much?	i understand why my 11 year old husky sleeps but why does my 4 year old pit mix sleep so much? boredem? just what doggies do?      ps. dont nag me on its because i dont play with him...im almost 39 weeks pregnant...playing is impossible.
20090220134741AA6kGde	Pets;Dogs	What could my staffy be crossed with?	i bought my staff from a couple he has no papers and they said he was a full staff and said they had seen both "staff" parents but when i went to see him he was very scrawny undernourished,i just wanted him to go to a good home,now i love him to bits.He is 17 weeks old 17 inches tall,people keep asking if he crossed with anything because he is rather long at 17 inches long "base of the skull to bottom".some people think he is crossed with a daxy because of his length?is this long for a puppy of this age?surely a daxy would be shorter?i don't mind what he is it would just be interesting to get some (serious) ideas.he also has very large paws and very distinct staff colours (brown and black brindle with a white chest patch) thanks x x x
20090220134706AAVjfY1	Pets;Dogs	How do I potty train my puppy?! (CHihuahua)?	Please Please Please Helpppp!
20090220135336AA0gRuU	Pets;Cats	Cat doesn't like to Jump?	My cat Tigger, the only female we have, doesn't like jumping. I find this rather odd. She will only jump up onto something if she can't climb up/pull her self up. She seems perfectly healthy, she's not in pain when she jumps (or doesn't show it at all) She has always been this way, and shes only about 5 years old or so.       Does anyone elses cat do this? Could it just be because shes weird (she is a very strange cat..) or could there be something wrong with her we aren't noticing?
