20061117132827AAXamPs	Dining Out;Germany;Other - Germany	Wann ist eine gute Zeit zum Weggehen?	Unterschied unter der Woche Wochenende und gr??e der Stadt?
20070531053202AAELLbX	Dining Out;Germany;Hamburg	Stra?enfeste in Hamburg?	Wann sind welche Stra?enfeste in HH?      Besonders würde mich der Termin fürs Bernstorfstra?enfest, Wohlwillstra?enfest und Schanzenfest interessieren. Oder ?hnliche.
20090205124627AA8pVBt	Dining Out;Fast Food	Poll: El Pollo Loco or Subway?	Which one do you like better?
20090205123759AAoU0xr	Dining Out;Fast Food	What is that stupid McDonalds chicken nugget website?	I saw and heard a couple commercials for it.  It's called nuggetheads or freaks or something dumb.  But I'm too curious as to wtf is on the site not to look.  Can anyone remember what it is?
20090205115836AAYuMnF	Dining Out;United States;Other - US Dining Out	Im going to a mexican resturant l8r. What can I order?	W/out over eating. i just want a snack type of thing.
20060813184507AAmNM7d	Dining Out;Italy;Milan	Qualcuno conosce discoteche a milano che fanno musica anni 80???	N/A
20090205114707AAGy6Yx	Dining Out;United States;Houston	How much do people make working at mcdonalds in houston?	its not that i want to work there, but im just trying to see how under paid i am....
20090205142117AAO5qgR	Dining Out;Fast Food	Yo quiero Taco Bell!!!!!!!!!!!!!!!!!!!!!!!!?	N/A
20090205095703AAHf4lh	Dining Out;Canada;Calgary	Looking for a fun place for 21st birthday in calgary for dining, maybe dancing.?	My daughter is celebrating her 21st. She is looking to go out in the evening with friends to a restaurant in Calgary. We  thought about "Seven" or Metropolitan Grill, but still not sure. Any ideas?
20090205095824AAgPyUA	Dining Out;United Kingdom;London	Whats the best club in london?	me and a load of friends (boys and girls) are planning to celebrate my 23rd in london however we all have different tastes in music and want to know if there are any clubs that could please everyone?
20090205100059AAA4XDv	Dining Out;United States;San Antonio	Valentines restaurant san antonio?	looking for a good restaurant to take the wife to.
20090205111224AA3kFc6	Dining Out;United States;Indianapolis	What jobs are hiring on the east side of indianapolis, indiana?	N/A
20090205114543AATqqyh	Dining Out;United States;Los Angeles	I just got my braces. so i was wondering if anyone knows of good places in santa clarita, ca with good food?	the food has to be soft!   and a good price!   and if you have any ideas on what i can eat that would be great!
20090205115018AAO2kR6	Dining Out;Other - Dining Out	Would you go to Pizza Hut for a 2nd date?	Would you choose to go to Pizza Hut for a 2nd date - if they are a vegetarian and like Pasta
20090205115545AAvuYFx	Dining Out;Fast Food	If G.W BUSH worked in kfc what would his first question to a customer be?	asked as someone from england
20090205115837AAKL2Fu	Dining Out;Fast Food	Why are most fast food meals unhealthy?	I'm not talking about specific ingredients or why people eat there, buy fatty foods, etc., but rather why are the options so limited?  There is no law of nature that says the faster the food the worse it is for you to eat.  What started the idea that fast food places MUST be all bad for you?  I don't see how speed and nutrition are directly connected.
20090205115958AAlyufW	Dining Out;Fast Food	Arbys corporate number?	N/A
20090205122346AA4DzL1	Dining Out;Fast Food	What fast food icon do you hate the most?	And why?
20090205124931AAt8pYU	Dining Out;Fast Food	How much is the double quarter pounder with cheese at mcdonalds?	i'll give you 10 points if you give me the whole mcdonalds menu with the prices
20090205125545AAIUvb6	Dining Out;Other - Dining Out	What time does cracker barrel start serving lunch?	I know they serve breakfast all day but I was wondering what time their lunch menu kicked in. Thanks!
