20071223135331AAUA8HJ	Entertainment & Music;Polls & Surveys	?Que haces en este mismo momento aparte de estar en YR??	yo voy a irme a comer
20071224082758AATaqo4	Entertainment & Music;Movies	Q pelicula o peliculas no deberian tener una secuela..?	Peliculas q las tuvieron y no deberian, terminator 3 para mi está de mas...3 y 4 del juego del miedo....la mosca 2 (terrible pelicula) y me parecieron innecesarias las precuelas de star wars..porq me parece q lucas inventó la historia del comienzo en un dia y le quedó espantosa
20071224151854AANqAbp	Entertainment & Music;Other - Entertainment	Secondo voi mi fanno augurare un felice Natale a tutti?	Spero di sì........... Buon Natale a voi e alle vostre famiglie!!! ^^   Baci...   Mary J   P.S. Se mi cancellano la domanda pazienza =P
20071227212217AAOUAyf	Entertainment & Music;Polls & Surveys	? Como uso el Ares ?	Esque ya lo descargué a mi compu,pero ni siquiera se como se usa,ni se como descargar una canción,me ayudan porfa a ver como se descarga una canción ?
20071228142711AAi2qRc	Entertainment & Music;Polls & Surveys	? Que canciones me recomiendan de Pop en cualquier idioma ?	Asi,artistas como Alizée,Fergie,Shakira,Enrique iglesias,Belanova,Ashley Tisdale,Vannessa,Priscilla,Jeanette,Grup...      De cuelquiera,pero POP !      Y cualquier idiama,puede ser hasta japones si gustas.
20071226013450AA73Cmg	Entertainment & Music;Music;Rock and Pop	X i fan dei my chemical romance :o?	 http://www.youtube.com/watch?v=dWrAQFrqD...     sentite che bella....   si perchè questa....     http://www.youtube.com/watchv=uWErxM0T4H... 
20080101022651AAYlaFw	Entertainment & Music;Polls & Surveys	Did you ever get the feeling that New Years Eve. is not all that special and maybe you shouldn't take the ?	oppotunity to address important people (not counting the Yamster) in the Nation?  Could I wake up with a headache?  But you know I don't talk to people I don't admire (again not including the Yamster.)
20080105155041AAVQIng	Entertainment & Music;Celebrities	?El vocalista de Cafe Tacuba es gay?	Aver diganme si tienen pruebas o como esque se me hace bien gay pero no se si sea realmente gay.
20071231181535AA4Bk4v	Entertainment & Music;Other - Entertainment	?en tu pais cual es la tipica cancion que colocan cuando se va a acabar el a?o?	N/A
20080103150623AAOhaKs	Entertainment & Music;Music;Rock and Pop	Un altro appello per i fan dei Green Day!?	Ciaooooo !!! Come va? Dopo una settimana passata dai miei zii in Basilicata sono tornata! =)    Beh volevo kiedervi ke ne pensate dei Foxboro Hot Tubs!   Vi piacciono? Qual'è la canzone ke preferite?   Io adoro "Mother Mary"!!!!   Un bacio a tutti i fan dei Green Day!         ... Ne approfitto per augurarvi un buon 2008!..   Green Day 4ever!   Mary J
20080104095158AABfiMI	Entertainment & Music;Other - Entertainment	A tutti i fan dei Tokio Hotel!!! Urgenteee?	Ma si può sapere ke cosa avete contro i fan dei Green Day??? Devo saperlo!!! Vi abbiamo fatto qualcosa per caso??? Solo perchè non mi piacciono i Tokio Hotel non vi mando messaggi minacciosi, non scrivo cattiverie nelle domande riguardanti loro!!! Ki lo fa dovrebbe solo vergognarsi perchè è uno stupido ! Perciò lasciate in pace i Green Day e i loro fan e non permettetevi più di criticarli xkè non vi fanno niente !!! Ripeto : A me non piacciono i Tokio Hotel ma questo non è un motivo per crtiticarli!!!!!      Spero di essere stata chiara !    Mary J
20071229205658AAis7Xg	Entertainment & Music;Comics & Animation	? A Quien prefieren Naruto Uzumaki o Son Goku ?	Si pueden digan el por qe prefieren a uno mas qe al otro .          Yo nose por cual desidirme .
20080103161033AAJaLTg	Entertainment & Music;Music;Rock and Pop	Senza Parole...?	Mary J ....zIppo95......vi giuro ho perso le parole...mi viene da piangere dalla rabbia...io non so' piu' cosa fare.....aiutatemi!!!mi spiegate da dove e' uscito fuori quello????la domanda vale anche per gli altri grazie....scusate ancora(lo so non e' una vera domanda...ma non ce la faccio piu vi giuro!)
20080105063408AAsDYrA	Entertainment & Music;Music;Rock and Pop	Per i fan dei green day da uno stesso fan :-)?	ciao a tutti fan dei green day...non so cosa succede esattamente tra noi e i fan dei tokio hotel so solo che ci sono queste offese a vicenda...chiedo di lasciare stare le offese verso i green day se proprio ci tenete a billie,mike e tree ignorate e ascoltateli in santa pace...alla fine penso solo che sia invidia...i green day in passato hanno fatto la storia del punk forse oggi non si possono ritenere punk per lo sviluppo che hanno fatto...ma non si potranno mai confrontare questi due gruppi totalmente opposti...io non sono un fan dei tokio ma non sono nemmeno un anti,ma a questo punto avete stufato...adesso passo alla domanda sapete se i Green Day hanno confermato la data per l' uscita dell' album??
20071229135424AAR1srx	Entertainment & Music;Comics & Animation	Alguien podría decirme de manera resumida la trama de Naruto?	Jum hace un tiempo me e interesado bastante por el anime estoy viendo Death Note que es muy buena amo a L *O* .. Y quisiera saber un poco de Naruto  ^
20071230185356AA7vpXH	Entertainment & Music;Polls & Surveys	Son las mujeres las que deciden el cuando y como de las relaciones amorosas?	Creo que las mujeres llevan la batuta en esto, nosotros los hombres estamos siempre dispuestos a hacerlo pero son ustedes las mujeres las que determinan cuando e inclusive como llegar ello, que piensan mujeres, dominan ustedes a la hora de tener relaciones sexuales, mi lemas es “los hombres proponen y las mujeres disponen”. Cuantas dicen si y cuantas no? den razones
20080105131719AATE0wt	Entertainment & Music;Comics & Animation	Quien es el mas lindo de naruto?	para ustedes quien es el mas lindo para mi es:   gaara   deidara   sasuke
20080120135303AAP2LeN	Entertainment & Music;Polls & Surveys	ESTAS COMIENDO Algo AHORA??	yo no, pero tengo ganas de comer papas fritas con una gaseosa...       mmmm que ricoooooo
20080118124717AAKXdAD	Entertainment & Music;Music;Rock and Pop	Green day???	allora..buonasera..ora mi spiego meglio..forse riuasciro ad ottenere le risposte che mi aspettavo..nella scorsao domanda ho chiesto se mi potevamo descrivere i punk e 1ragazza mi ha detto la traduzione di alcune parole di 1 testo punk...e mi ha parlato della seconda guerra mondiale ecc ecc..cioe..interessante..ma nn era quelllo ke volevo sapere..ORA QUELLO KE VOGLIO SAPERE E' : se ascolto green day,mcr,(NO AVRIL)silverstain,e cmq mi piacciono tutti gruppi ke fanno lo stesso tipodi musica..   il gruppo ke mi piace di piu sn i green day..e li seguo di piu se li confronto con gli altri..quindi la domanda e..se ascolto i green day..cosa sono?(e nn state e scrivermi romanzine su "tu nn devi apartenere a nex gruppo ecc ecc e bla bla bla NO..vi sprecate a scrivere utilizzate il tempo per fare altro di piu utile ..tnt vi beccate 1 pollice negativo)e dove trovo le loro convers(quelle dei gren day)ma opratutto a torino dove posso trovare roba dei green day (oltre ai 2 negozi in via garibaldi)
20080109085714AAtZiiD	Entertainment & Music;Music;Other - Music	Solo x esperti dei green day?	qual è la vostra canzone preferita tra    ha ha you're dead  http://www.youtube.com/watch?v=05vGylQkU...      2000 light years away     http://www.youtube.com/watch?v=ycKaGjgUC...      I fought the law  http://www.youtube.com/watch?v=_TOVkiBE2... 
20080122022937AAp2w50	Entertainment & Music;Other - Entertainment	Suoneria techno?	Volevo sapere dove posso trovare la suoneria/canzone techno che dice: "Questa è la pataria... Escuchas la frequencia". Grazie a chi mi risponderà
20080119113520AA243sz	Entertainment & Music;Music;Rock and Pop	X le fan dei green day cosa ne pensate di.....?	quel ragazzo del video "jesus of suburbia"??? non è bellissimo???
20080107074726AAeZZEa	Entertainment & Music;Music;Rock and Pop	In che album si trova"walking contractdition dei green day?	io ho quasi tutti gli album,ma quella canzone non ce l'ho: io ho il primo, Nimrod,Warning,Dookie,American Idiot .....sta per caso in insomniac??grazie!
20080120220752AAGH5in	Entertainment & Music;Polls & Surveys	MUJERES el dinero importa?hahahah?	yo ya se la respuesta ,pero quiero saber q piensa la gente de aca en yr ,graccias por las respuestas   billetera mata galan XD   es un sondeo   buenas noches
20080106110342AAhPQxe	Entertainment & Music;Polls & Surveys	? Que Opinas De Seamus Finnigan (Harry Potter) ?	N/A
