20090223161257AAJHL6X	Politics & Government;Politics	Do liberals think that banks in the USA should be nationalized?	Much like in China and Cuba?
20090223164708AArozip	Politics & Government;Other - Politics & Government	What kind of questions will be asked on the 2010 census?	I know a new census comes up every ten years. Next year will be my first time ever taking the census and I'm curious to know what kind of questions do they ask on the census for anyone who has ever taken before in the past.
20090223163656AAgdq2U	Politics & Government;Law & Ethics	Are you for or against DEATH PENALTY?	please explain why you chose yes or no. Thankyou.   .   .   .   Make sure u think about it first
20090223163510AAWD9bF	Politics & Government;Other - Politics & Government	What is joe biden's mothers name?	N/A
20090223164400AAs4O95	Politics & Government;Politics	Marijuana decriminalization as the answer to economic downfall?	Could legalization of marijuana use and strong emphasis on being a responsible individual in society bring us out of this economic downfall? Drug laws have only been around for a little over a half a century and before that time, people were responsible and had a greater understanding for one's duties as an individual to our society. Has our psychology changed from that of our ancestors? Could it be that society has taken this emphasis of responsibility out of our culture by enacting frivolous lawsuits and law combined with this "dog-eat-dog" mentality that seems to drive our economy?   Anyone with even a fundamental knowledge of economics can state the law of supply and demand. Meaning that at any time there is a demand for any service, that there will be a supply, and that the price of this service will reflect the availability of this demand. I see the world of responsible psychedelic drug use as an untapped philosophical and economic breakthrough. Can responsibility be defined in a literal sense or does an individual's life experiences shape the way we interact and view society as a whole. Tell me what you think.
20090223165443AAcWxT6	Politics & Government;Elections	Obama pledges to slash deficit?	Obama is going to reduce the deficit after tacking on the biggest pork barrel project in American history.  Do you believe it?       http://news.yahoo.com/s/ap/20090224/ap_o... 
20090223165030AAHnjQ3	Politics & Government;Law Enforcement & Police	How much time can you get for burglery?	if the police catch the guy that broke into my house while i was gone, whats the usuall sentence a person like that gets? he stole over 500 dollars worth of stuff and didnt mess up my house
20090223165032AAnJzha	Politics & Government;Politics	Will the right wing media successfully rewrite the history of the New Deal?	I see a recent trend where right wing talking heads like Hannity on Fox claim "economists say" FDR's New Deal stimulus policies made the Great Depression worse.  Don't they know we can simply google the data?  Recessions and depressions are measured by shrinking gross domestic product.  GDP shrunk at an alarming -13.0% in 1932, the year FDR took office, was flat at -1.3% in '33, then made stunning gains in 10 of the remaining years of FDR's presidency.  10.8% in '34, 8.9% in '35, 13.0% in '36...  Sorry right wing crackers, figures don't lie...       http://www.bea.gov/national/nipaweb/Tabl... 
20090223165103AADRPLV	Politics & Government;Other - Politics & Government	Will the News media apologize to..?	Gary Condit since it has been discovered that an illegal alien murdered Chandra Levy and not the Congressman?..It seems like they would considering he is a Democrat?
20090223165027AAYjBb1	Politics & Government;Politics	Why do Liberal professors punish their students for holding non Liberal viewpoints?	N/A
20090223165018AAjs1Tw	Politics & Government;Government	How come not all the Senators are in their seats when you turn on C-Span?	N/A
20090223165230AAl0w6n	Politics & Government;Civic Participation	Do you agree or disagree?	Do you agree or disagree that companies should accept an apprenticeship fee from young people who desire experience in a particular field?
20090223165413AABAo0v	Politics & Government;Government	What are the strengths and weaknesses of the National Rifle Association?	N/A
20090223165035AASgMNE	Politics & Government;Immigration	Can i apply for H1B visa while i am on CPT?	N/A
20090223165118AAWBCGh	Politics & Government;Military	Ways to join the navy as an officer?	I'm 20 years old and have enough credits to be a sophomore (almost junior). I'm actually only a few degrees away from getting my associate in arts degree. if i do it, i want to join as an officer. what are my choices?      I will talk with a recruiter in the near future when I have time (school and work conflicts).      would it be possible to join the navy as enlisted and after i get my degree become an officer? would that be realistic?
20090223165422AA1kg7s	Politics & Government;Other - Politics & Government	Why doesn't Yahoo! Answers respect free speech and the American first Amendment?	I have posted several questions on Yahoo! Answers and the majority have been deleted, because they contained slightly offensive themes that Yahoo! did not agree with.  I feel this violates freedom of speech, and have a large problem with this, since Yahoo! is such a famous widely-used website in America.
20090223165428AAveIl8	Politics & Government;Military	Does westpoint do all branches of the military or just the army?	i want to become a marine. and someone told me that west point does  includes all the branches of the military.
20090223170107AADfckT	Politics & Government;Politics	Did you see Ron Paul on the promised Fed 'transparency'? 'Little better than window dressing at best utterly?	useless at worst?'      " The Fed is now pledging to reveal to the public more about its economic predictions, and calls this greater transparency. This is little more than window-dressing, at best, utterly useless at worst. Many analysts, especially those familiar with the Austrian school of economics, saw the current economic crisis coming years ago when the Federal Reserve was still telling the American people their policies were as good as gold. So while it might be nice to know what fantasy-infused outlook the Fed has on the economy, I am much more interested in what they are doing as a result of their faulty, haphazard interpretation of data. For instance, what arrangements do they have with other foreign central banks? What the Fed does on that front could very well affect or undermine foreign policy, or even contribute to starting a war.       We also need to know the source and destination of funds provided through the Fed’s emergency funding facilities. Information such as this will provide a more accurate and complete picture of the true cost of these endless bailouts and spending packages, and could very likely affect the decisions being made in Congress. But with so much of the Fed’s business cloaked in secrecy, these latest initiatives will not even scratch the surface of the Fed’s opaque operations. People are demanding answers and explanations for our economic malaise, and we should settle for nothing less than the whole truth on monetary policy.      The first step is to pass legislation I will soon introduce requiring an audit of the Federal Reserve so we can at least get an accurate picture of what is happening with our money. If this audit reveals what I suspect, and Congress has finally had enough, they can also pass my legislation to abolish the Federal Reserve and put control of the economy’s lifeblood, the currency, back where it Constitutionally belongs. If Congress refuses to do these two things, the very least they could do is repeal legal tender laws and allow people to choose a different currency in which to operate. If the Fed refuses to open its books to an audit, and Congress refuses to demand this, the people should not be subject to the whims of this secretive and incompetent organization.      Posted by Ron Paul (02-23-2009, 11:58 AM) filed under Monetary Policy
