20090202214145AAWGQAL	Politics & Government;Politics	Is it time to get serious about peace: direct talks with Iran, Syria, and Hamas?	The time for stalling and BS has to come to an end.
20090202214308AArGGwA	Politics & Government;Government	It is acceptable that Obama is part of the Chicago Politico System?	N/A
20090202214250AAOb2xt	Politics & Government;Politics	Are Conservatives really conservative?	N/A
20090202214317AAZI09M	Politics & Government;Military	Going into the Air National Guard after Active Duty Air Force?	Do you get the same benefits in the air national guard as someone who has never joined before? How does the GI bill benefits work? Do you still get your GI bill money from being active duty, and are you still eligible for the GI bill kicker?
20090202214519AAdGHR6	Politics & Government;Law & Ethics	Would it be my fault if...?	as i said before we have some idiots on our street who want to see how fast they can go at night, while im walking my dog...they are getting faster and faster..now into the upper 60's(mph) at least...calling the cops well do no good since by the time they get there..the idiots are gone. so would it be my fault if when i blew a air horn as the went by, and they wrecked? could i be charged with anything?      i have no where else to walk my dog...we are in the middle of no where with no dog parks around, the main road is always full of cars so walking there is a sure-fire way to die   and walking during the day is out to, much more traffic on this little road...
20090202214619AAg8mEj	Politics & Government;Military	Do the Navy I.S. 's Ever Get to do HUMINT?	I'm just Curious cause i am about to go to boot camp to be an I.S. and I'm fine with it either way but it would be cool if i did get to do some human Intel.
20090202214503AAYUNYZ	Politics & Government;Other - Politics & Government	Does anyone else feel a little paranoia towards the New World Order evidence?	 http://www.youtube.com/watch?v=4PpMdTmVM...        http://www.youtube.com/watch?v=Y7JcAHrDW... 
20090202214424AA6Wxia	Politics & Government;Politics	What do you think of this statement Tom Daschle made while a senator?	"Make no mistake, tax cheaters cheat us all, and the IRS should enforce our laws to the letter."      Sen Tom Daschle   May 7, 1998
20090202214514AAutZ9e	Politics & Government;Immigration	Any idea what kind of questions will be asked in the US citizenship exams aside from History and Civics?	my friend is going to have his US citizenship interview/exam in a couple days. im just wondering what other questions will be asked by the officer. will they ask personal questions like family and relationships? do they have the right to pry into your private life? just really wondering...hope somebody could help me.thanks!
20090202214519AANb1ur	Politics & Government;Law & Ethics	Do the parents of a kid who commits suiside go to jail?	That's what I heard   Is it true
20090202214634AABR73i	Politics & Government;Politics	Do you think Daschle is just corrupt and is only coming forward with his tax issues because he wants the job?	Corrupt is corrupt... Obama & Democrats are not above this. And, anyone who calls me a "racist neocon" because i don't agree with what Obama is selling is just plain idiotic. Where did freedom of speech go too?
20090202214642AAnvw7a	Politics & Government;Military	My Fiance' left last Monday for Basic Training!!?	My Fiance' left last Monday for Basic Training, n I wana suprise him with losing a whole lotta weight!!?   I want to lose like 30 pounds while his gone. Can someone tell me how I can do this in 2 months top please !! He said I look great the way I am but I just gotta suprise him please, I need help.I would love to be that picture of Beyonce on his wall. N I wanna do this without paying anything. Or ordering something. Please Help !!
20090202214831AAckOP1	Politics & Government;Law & Ethics	Is Obama going to legalize pot?	I heard, before the elections, that Barack Obama wanted to legalize marijuana.  Is this true?  When will it be in effect?
20090202215110AAml9LE	Politics & Government;Politics	How many Senators are up for re-election every two years?	N/A
20090202214727AAbMxR7	Politics & Government;Law Enforcement & Police	How can i find out if i have warrants without having to pay a fee?	N/A
20090202214739AAJog62	Politics & Government;Military	Question about Basic Training?	I am going to the Army Recruiter tomorrow, How long will it take before i get shipped out for basic training? And when will my first drug test be...(...Smoked some pot at a party a couple of days ago-yea it was dumb..ik.. but i definetely don't plan on smoking any more)
20090202215023AArCDg0	Politics & Government;Government	How does working for a grassroots coalition differ from being an employee of a agency?	N/A
20090202215321AAtJyxt	Politics & Government;Other - Politics & Government	Double standards or not ?	How many of you on yahoo answers think this new administration has a set of double standards ? If your a washington insider there is one set of rules for you and if your the average american citizen paying your taxes and flowering the so called rules ,there is a another set for you.
20090202215232AA3hCmn	Politics & Government;Elections	So aside from politics...?	What does everyone think about the woman who just had octuplets with in vitro, even though she lives with her parents and already had 6 kids?
20090202220033AAzDi5J	Politics & Government;Politics	Would you negotiate with a psycopath?	Then why would some far left ideologues waste their time and give into wanting to negotiate with certain insane leaders around the world?    Can you rationalize and work with crazy people? Maybe you can...and maybe that is common pracitce in their daily lives..NOT MINE.
20090202215148AARtMnw	Politics & Government;Elections	What  exactly is Hannity's and Rush's job when it concerns Elections and Politics?	N/A
20090202215658AAhJKTF	Politics & Government;Politics	Why is it when we build schools in Iraq it's called Democracy but when we do it here, it's called Socialism?	N/A
20090202215151AAUV8Op	Politics & Government;Law & Ethics	What is your stance on the Death Penalty/Capital Punishment?	Yay   Nay   Special circumstances      Thanks to all...and stay off of death row.
20090202215202AAyseXy	Politics & Government;Military	Do i have a chance on getting into air force or naval academy?	9th grade: 3.8 gpa   10th grade: 4.1 gpa, 1 ap class, 2 accelerated classes   11th grade: 4.5 gpa 3 ap classes   12th grade: 4.0 gpa, 2 ap classes, 1 honors class      -California Scholarship Federation member   -played tennis from sophomore year to Senior year and basketball from junior to senior year   -700 hrs of community service   -ethnic minority   -sat score: 2270   - ap exam scores: World History:4, us history:4, biology:5, english:3, us govt and economy: 5, ap psychology: 4            i wasnt able to take ap classes in my freshman year becuase i attended a new school and they didnt offer many
20090202215709AAaL7U8	Politics & Government;Politics	If something is FDA approved, does that mean that you should avoid it?	N/A
20090202215321AAmyfM4	Politics & Government;Law & Ethics	Tampering with a W-2?	My wife had received her w-2 in the mail and it was destroyed. Post office put remaining half w-2 in envelop, the stamp on the envelop said "your mail was destroyed and opened in one of our processing machines we are sorry for any inconvenience". Is this still considered a federal offense?
