20090129083424AA1TAYF	Health;Other - Health	How can we control or get rid of Sweat?	I am kinda person who sweats a lot.under arms.too irritating,pls help me
20090129083356AAopTha	Health;Diseases & Conditions;Skin Conditions	How can we control or get rid of Sweat?	I am kinda person who sweats a lot.under arms.too irritating,pls help me
20090129083426AAj5qRC	Health;Mental Health	I'm depressed. Please answer?	I literately have 2 friends. My dog & my boyfriend of 9 monthes. I am "emo". I went into homeschooling because of how bad everyone treated me for being different.    After I left school; everyone started trying to be me!! O_O   What do I do? It upsets me so much cuz I'm so alone & theyre being that way!
20090129083436AAHzwa3	Health;Diet & Fitness	Fast way to lose belly fat??	im 31 have 4 kids i weigh 130 want to weigh 115  but i have trouble with the mid section how do i lose it fast???? i cut out bread and pasta and no longer snack "junk" food only drink water help plzzzz!
20090129083441AAp3V8q	Health;Men's Health	How can we control or get rid of Sweat? ?	I am kinda person who sweats a lot.under arms.too irritating,pls help me
20090129083431AAT9q0g	Health;Diseases & Conditions;Other - Diseases	How can we control or get rid of Sweat?	I am kinda person who sweats a lot.under arms.too irritating,pls help me
20090129083711AAEyd60	Health;Women's Health	What can cause brownish discharge?	Today and last night I noticed quite a bit of brownish discharge, the bf wants me to go to the doctor, I will But with all the snow here today, I just wanted to see what you guys think?? What does it seem like to you? Btw Im Disease free :)
20090129083543AAUHh9I	Health;Women's Health	Am I the next virgin mary?	I am 19 and a virginso I don't know how I can possibly be pregnant... but I have not had my period since November,,, skipped December's period altogether and I'm showing no signs of starting a January period.....      what other explanations other than pregnancy is there to miss two periods in a row?
20090129083724AApUboc	Health;Mental Health	Anxiety and Citalopram?	I have had some anxiety issues for the past couple of months, that have been effecting me tremendously.  As a result my doc perscribed me citalopram, which I was on before for a lesser anxiety a couple years ago.  I have been on it for 3 days so far and I have been so anxious that I can sleep.  Last night I only slept 3 hrs total.  What do I do?  I wake up in a panic.  But I am soo tired
20090129083618AAoyBrX	Health;Other - Health	What to do about a mentally-challenged girl who screams and squeals in drs. office?	Yesterday, I had to go to the dr's and even under the best of circumstances, that is stressful for me.    I don't like to be around children, or those whom are out-of-control.   To my extreme credit, I didn't say anthing or give the mom dirty looks, ( which is what I NORMALLY would do) because I could tell by the way the child acted, she was either mentally-challenged or autistic.   It was cold /windy/ and rainy yesterday, so stepping outside was certainly not an option for me.    I had been early, and was knitting to pass my time, when they came into the office.   I certainly was not the only one who was affected by her screaming.   I just didn't say anything, nor did anyone else.   The child,a teenager, was non-verbal,and I am assuming that screaming/squealing, was her only form of communication.   Needless to say,when I arrived in the my waiting room/ exam room, I had a pounding headache and no pain reliever in sight.   And,I was on a near- empty stomache,hungry and this child, would not shut up!   (Can we say  " duct tape"???)   I was so mad that her mother would not ask her to be quiet, nor did the secretary ask the mother to quiet the kid down, that I had a difficult time concentrating on being polite to people.   Not to mention the girl was a few doors down from where I was at.   When the doctor entered my room,she had asked why I was holding my head and plugging my ears.   I told her. She left the room and asked the mom if she could close the door,and the mother said " no. Amanda hates that."    Oh well, was my answer.   In your opinion, was i right to be angry at the mom and the girl?   In your opinion, do you think that the mother shoulda kept, or at least ASKED  her daughter to be, quiet in an enclosed place?    Especially around alot of other people?   Other people had children too,and they didn't let the children behave like that!   When I came home I had taken a migraine pill,and ate something,then I was out for 12 hours. I am still stressing over that and have no energy.   I was raised, that if you can't control your kids, keep them at home.   A doctor's office is certainly no place to let your child bother others!    What do you think?    ps, I am autistic, too. I have Asperger's syndrome, and that is why I was there: getting forms filled out by my dr.   I can't handle high-pitched noises and sudden noises make me cringe.   Was I doing the right thing by trying to ignore the child?   Shouldn't the mother at least TRIED to keep her child quiet for the benefit of the other people there?    That is why i am so upset. The mother didn't even consider other people.
20090129083658AAAnSCs	Health;Dental	I have to use Corsodyl mouthwash but i left it in my locker at school do you think i'll be okay for one night?	i need to use it because i have a fagging gum infection :-( they're bleeding and i have to use this VILE tasting mouthwash called Corsodyl. So yeah, i left it in my locker by mistake and now im scared my teeth are gonna fall out :-| will i be okay for one night? and also, how can i stop the taste from bothering meee D:
20090129083623AACOY4i	Health;Diseases & Conditions;Respiratory Diseases	What are the signs of asthma?	ty
