20090205084025AATMI2P	Food & Drink;Vegetarian & Vegan	Whats a good website to find vegetarian partner?	must be totally 'WOW'
20090205084151AA3FpqW	Food & Drink;Cooking & Recipes	What meat entree would go well with pumpkin gnocchi in sage butter?	I'm making a pumpkin gnocchi in sage butter recipe, but don't want an entirely vegetarian meal.  Any suggestions?
20090205084529AANqXEj	Food & Drink;Cooking & Recipes	When did cans of tuna go from 6  ounces down to 5 ounces?	I'm usually pretty good with noticing this kind of thing but this seems to have slipped by me.     I really hate sneaky price increases.         This kind of practice should be illegal.      These companies are preying on the fact that a large percentage of consumers won't notice the can size reduction.    By making moderate reductions in the height of the can, they have created a 5 ounce can that is indistinguishable from a 6  ounce can.         Obviously there is no compelling consumer driven desire for a can size that is 20% smaller.  Nor are people eating 20% less tuna.        This is simply a predatory price increase.      I am not normally pro government involvement but this is an area that is spiraling out of control.     There needs to be standardized package sizes.          What do you think about these predatory practices?
20090205085316AAkTOYF	Food & Drink;Beer, Wine & Spirits	How many drinks can i have before I drive the next day?	Its my birthday tomorrow and im going out during the night, but then the next day I need to drive.  I dont need to leave till about three o clock though.     I plan to drink alcopops during the night and will probably stop drinking at about 1 or 2 ish.  Can you let me know how many drinks i can have so i am safe the following afternoon?       Thanks
20090205084646AArsZGe	Food & Drink;Cooking & Recipes	Why is there no Orange Pie?	There's apple,cherry, peach,lemon,strawberry and even rhubarb, but I've never had or seen an orange pie.
20090205085029AA9YiPQ	Food & Drink;Beer, Wine & Spirits	Suggest two other effects on society of alocohol abuse apart from drink-driving?	N/A
20090205085042AAoYU8Z	Food & Drink;Non-Alcoholic Drinks	What is the least harmful energy drink?	I'd rather drink energy drinks than coffee, so I'm just wondering which are the least detrimental to your health .... Rockstar, Doubleshot, Red Bull? Thanks!
20090205085129AAbnmS4	Food & Drink;Cooking & Recipes	Doing a Senior Sweetheart Banquet Sat.  What veggi go with chicken sphagetti, and salad....or any suggestion?	Open to quick dinner ideas for this nite.
20090205085204AAIFGOq	Food & Drink;Other - Food & Drink	How many glasses of water are you suppose to drink a day?	Anyone know?
20090205085317AADWEfc	Food & Drink;Other - Food & Drink	Where can I get paid for food tasting in orange county?	A while back I used to go for food taste testing in the LA/OC area and would get paid for tasting food and answering questions. Any one know of the company names that do this, and how to get set up with them?
20090205090752AAko4hM	Food & Drink;Other - Food & Drink	When can I buy fresh strawberries at the store again?	N/A
20090205090057AAY6DUe	Food & Drink;Cooking & Recipes	How do you make a scotch pie,?	N/A
20090205090600AANHyxq	Food & Drink;Other - Food & Drink	Where can I find black current apple juice or something like that?	I really would like to find it. All I know about it is that it is only found in Australia. Also I would like to know a good site to get it off of. I'm scared I will use a mediocre site.
20090205085615AAp1eP2	Food & Drink;Other - Food & Drink	What exactly would you do?	i ask you, "what would you do-o-o for a klondike bar?"
20090205085739AAjxX2j	Food & Drink;Other - Food & Drink	What new flaveor crisps would u vote 4?	N/A
20090205085742AAzTcY4	Food & Drink;Cooking & Recipes	I need a recipe for a simple yet extraordinary tasting appetizer?	I am going to a ladies get together on saturday night and I am fresh out of ideas right now.  What can I prepare that everyone will love?? and is simple enough to make quick?
20090205085541AAWtMFw	Food & Drink;Other - Food & Drink	Will eating popcorn kernels hurt you?	I just finished my popcorn, and I'm eating the kernels, will they harm my body?
20090205085716AAAbJzh	Food & Drink;Non-Alcoholic Drinks	HI DO YOU LIKE FRESH SUGAR- CANE JUICE ?	N/A
20090205090003AAJY0l6	Food & Drink;Non-Alcoholic Drinks	HI DO YOU LIKE FRESH SUGAR- CANE JUICE ?	N/A
20090205085653AAb4Be7	Food & Drink;Cooking & Recipes	When is it Pancake Day?	N/A
20090205090345AAptcVD	Food & Drink;Cooking & Recipes	What should i make for dinner?	i want something quick and easy i am new to cook just trying to learn little things any suggestions?
20090205091252AA3DdP2	Food & Drink;Beer, Wine & Spirits	" KEEP REFIGERATED " on a beer bottle ?	My local supermarket had a couple extra Stone Brewing Company India Pale Ale "bombers" (22oz bottles) and it happens to be one of my favourite beers. I normally only have it at the bar, but got a great deal so I bought their remaining inventory. Bottom line do I really need to keep them in the fridge, or can I keep them in a cool place like my other beers? (Only have so much room in the fridge, but do keep at least a 6 pack there at all times) I went to their website (www.stonebrew.com) and there's an email I could write them at, gonna do that as well, but no phone number to call.
20090205091549AAEuc4y	Food & Drink;Other - Food & Drink	What  foods do you pack in your kids lunch bag?	N/A
20090205092100AAOIJgB	Food & Drink;Beer, Wine & Spirits	Did you ever succeed  to drink only one glass  one red wine each day?	Did you ever succeed  to drink only one glass  one red wine each day without exceeding  this amount? I have tried to follow this rule but I cannot stop after only one glass.
20090205093753AARMpbQ	Food & Drink;Cooking & Recipes	Should I try the chocolate chip cookie diet?	It worked for Cookie Monster, right?
20090205091022AAxt1jQ	Food & Drink;Cooking & Recipes	Olive oil or canola oil ?	they're both good but what's better to use??
20090205091410AA0rsUA	Food & Drink;Entertaining	Birthday party suggestions..I'm turning 17?	My birthday is coming up in a few weeks and I wanted some ideas !   I was thinking of having all of my girls out to supper or something?   But it seems like everyone does that..      I want to do something creative!
20090205091942AA0jBoZ	Food & Drink;Cooking & Recipes	How do you cream dessicated coco nut?	i wish to know how to cream dessicated coco  because im making cakes with this ingredient
20090205092045AAdXuvo	Food & Drink;Other - Food & Drink	Where can i buy a photo cake?	I am curious,   Also how much are they?      Thanks!
20090205092532AAvNaxT	Food & Drink;Cooking & Recipes	What else is good to put on a sandwich with turkey and pesto?	i wanted to put dried cranberries but i'm all out of them :( anyone know anything else good?
20090205092843AAHRfMY	Food & Drink;Beer, Wine & Spirits	Do I need a liquor license?	I work at a hotel and as gift to our guest we would like to give them a bottle of wine or a 6 pk of beer, would the hotel need to get a liquor license to give liquor, in the state of Michigan??
20090205093408AANZ0fu	Food & Drink;Other - Food & Drink	Where can I buy dried thyme in bulk in the Philipiines?	i am in need of 8 to 10 kilos of dried thyme for an experiment...i am just a student and i am looking for a good source of dried thyme here in the Philippines preferably with the lowest or discounted price.i am in the province of laguna...i need this to conduct experiments for my thesis project.thank you
20070514025529AAiH00e	Food & Drink;Cooking & Recipes	Pasta tonno e peperoni come si fà?	qualcuno di voi ha la ricetta?com'è?buona????
20070607010045AAKS5iw	Food & Drink;Other - Food & Drink	Mangiare latticini latte,formaggi , yogurt tutti i giorni fà male?	N/A
20070904142248AAH8QjZ	Food & Drink;Cooking & Recipes	Chicken crumble?	How do I make chicken crumble?
20081031002338AA5ktmn	Food & Drink;Vegetarian & Vegan	Using tofu for the first time...what do I do with it?	I am new to tofu..How do I use it? Do I just fry it up like meat? Or veggies? I got extra firm..I don't really know if it makes a difference.    Thanks :)
20070302072904AABixti	Food & Drink;Other - Food & Drink	What's the difference between yogurt and kefir?	I've had both, so I know what the textural difference is, but does anyone know if there's a difference in the ingredients / fermenting process / bacteria present, etc.?
20090205094930AAv8dyE	Food & Drink;Cooking & Recipes	I need help I am hosting a bridal shower this saturday and I need a good receipe for a pineapple martini!?	Does anybody know a fabulous receipe for a pineapple martini? Thanks!
20070307110104AA9raMx	Food & Drink;Cooking & Recipes	?un programa de recetas de cocina?	me podeis decir si hay algun programa de receta de cocina,que este en espa?ol y sea gratuito?   muchas gracias.
