20090220081632AAI0A9G	Food & Drink;Cooking & Recipes	What can I do with 1 lb. of collard greens?	I've never eaten them and ...well, they were a good buy.
20090220091543AA7rmhN	Food & Drink;Cooking & Recipes	How long is home made Tarter sauce good for? It is only made w/Mayo and dill relish.?	I have always made it this way but end up making to much, so we toss out the leftovers and as all you may know $ is tight right now. So I can not see tossing it out!!! (unless it really needs to be).
20090220103301AAq0V56	Food & Drink;Vegetarian & Vegan	Is it really hard to be Vegan..?	I have been a Lacto-OvoVegetarian of a month now and I was thinking of being a Vegan. Is it really that hard I have noticed on almost everything I eat that it usually contains milk or egg. So do you have to cook almost everything you eat? Any tips or opinion or thoughts on what made this choice easier and how you continue your vegan lifestyle would it be easier to cut out egg then to cut out milk and dairy to wing myself off or go cold turkey?
20090220095239AAoXDcX	Food & Drink;Other - Food & Drink	Would you eat this if you didn't care about calories?	I was challenged to figure out the most unhealthy but potentially yummy thing i could think of.       it's a deep fried bacon cheese burger      you make a burger patty, and put a chunk of cheese surround it by the meat. then wrap a piece of bacon around it tucking the ends into meat. then dip the whole thing in egg and breadcrumbs and deepfry it..      tell me what you think.
20090220103003AAtIyue	Food & Drink;Ethnic Cuisine	What is a good red wine to cook with Italian for tomato dishes?	For tomato sauces, red gravy. inexpensive. I am having trouble finding a wine that gives a good taste.
20090220110320AAEvcm2	Food & Drink;Cooking & Recipes	Chocolate-Chip-Peanut butter cookie recipe that doesn't require much butter?	I'm making chocolate-chip peanut butter cookies, however I don't have much butter. Do you know of any recipes that don't require much? Because I'm sure if it's only a little bit of extra butter I need, I can substitute shortening, but if I need a lot of butter, that won't work.      Thanks in advance!
20090220110009AAtZVTe	Food & Drink;Cooking & Recipes	Is macaroni healthy???????	I am trying to not eat as much. So for breakfast I had an orange and then I had celery for a snack. But I am really hungry & all the food in my house is unhealthy.  So if I made macaroni and only put a little bit of butter & salt would that be healthy? If not then is a peanut butter sandwich healthy?
20090220104554AAJGHA5	Food & Drink;Cooking & Recipes	What fish or seafood can I cook for a romantic dinner?	Something light, please advise me a good red wine, low in alcohol because we don′t drink and something aphrodisiac, I wish give him a beauty reception, unforgettable...
20090220103922AAuSK5W	Food & Drink;Beer, Wine & Spirits	Have you ever held a lengthy conversation with a beverage?	If so, what did you talk about?
20090220110130AASKWRQ	Food & Drink;Non-Alcoholic Drinks	Which do you like better Starbucks coffee of Dunkin Donuts coffee?	I like Dunkin Donuts a whole lot better. I never buy Starbucks.
20090220105359AAYUuqI	Food & Drink;Cooking & Recipes	Healthy meal ideas for a week?	What are some ideas for quick easy healthy balaced meals? Breakfast, lunch dinner? Mexican, Italian, ect...?
20090220110752AAJh73i	Food & Drink;Non-Alcoholic Drinks	I haven't really drank very much water in a week..?	is that bad? if i feel a bit dehyrdated how much should i drink .. to begin to feel rehydrated..
20090220105336AAmiAJz	Food & Drink;Cooking & Recipes	Do you have a secret chili ingredient?	If so what is it? Mine is dark beer...
