20090226192848AAK3TRN	Food & Drink;Cooking & Recipes	How can dinner rolls be eaten?	Besides with butter, what other ways can they be eaten?
20090226192823AAQtGHA	Food & Drink;Cooking & Recipes	How long does it take to cook three pounds of meatloaf?	N/A
20090226193002AAz93mv	Food & Drink;Cooking & Recipes	Does anyone have an amazing red velvet cupcake recipe?	N/A
20090226193501AAL5WPM	Food & Drink;Non-Alcoholic Drinks	Ok we need to know which is better Pepsi or Coke?	My wife and I keep going back and forth on this one.( all good ) I drink the one and she the other, I`m not saying which is which because we want the honest answers out there. What do you think, Coke or Pepsi?
20090226193223AA8Moug	Food & Drink;Cooking & Recipes	Does anyone have an amazing tiramisu recipe?	N/A
20090226193329AAecnDO	Food & Drink;Beer, Wine & Spirits	P0LL::::do you like drinking your own blood when you get cut?	i always do its just sooooooo good i cut myself so i can drink it
20090226193951AAsSEe6	Food & Drink;Other - Food & Drink	What's brisket? (I don't even know if I've spelled it right)?	(I gotta stop watching US TV.)  Is it called something else elsewhere?  The closest thing I can find, that I think it's like is silverside or corned beef, is that what it is or am I way off?
20090226193656AAlHT73	Food & Drink;Non-Alcoholic Drinks	[SURVEY] How do you like your TEA?	Sugar, milk, cream, honey?
20090226193916AAtpoUh	Food & Drink;Other - Food & Drink	How would you describe the atmosphere at Starbucks?	:)
20090226193707AAWSxJK	Food & Drink;Beer, Wine & Spirits	Tips on how to get rid of alcohol smell?	i went to a friends house for lunch, and he brought out some vodka, and brandy and me and like 4 other guys and one of my girlfriend started taking shots.   welll this was during lunch and we had to get back to class.   when i got back to class, everyone like knew, they were like your face is red, your eyes are red, and you smell like alcohol, i know what you were up to.   any tips to cover up the smell?   i put on hella lotion, strong smelling lotion, and chewed gum but it didnt help.      and none of the guys smelled like alcohol why??
20090226193757AA9cIyf	Food & Drink;Other - Food & Drink	Do "Enriched" vitamins and minerals benefit you?	Well, I'm tired of getting 2 sided answers.      My health teacher says "Enriched/Fortified vitamins and minerals do not help you at all! Your liver does not know what kind of enzyme to make to break down that synthetic molecule. It is like some kind of foreign invader and the liver has no clue what to do. The vitamins/minerals go right through your system and DON'T DO ANYTHING! For example fortified bread, grains, and cereal. Those fake molecules are useless."      My food/nutrition teacher is all about fortified/enriched foods. "Fortified/enriched foods is a great and better way to get more nutrition. Fortified bread is a lot better than non-fortified bread. EAT MORE FORTIFIED/ENRICHED FOODS!"      I'm really stuck because they both sound convincing. Can someone tell me, do the synthetic vitamins and minerals get in your body? I NEED EVIDENCE PLEASE!
20090226194023AAeCxaL	Food & Drink;Ethnic Cuisine	What are the names of some mexican plates?	not the food i mean what the food is served in.
20090226194059AAHgc4V	Food & Drink;Cooking & Recipes	Whole grain, multi-grain vs whole wheat  bread? healthiest?	Which bread is healthier for you: whole grains or whole wheat. and which of the healthier breads should i purchase? there are so many brands and deceiving labels out there! :( thanks!
20090226195034AAi780x	Food & Drink;Beer, Wine & Spirits	How do you smoke a cigar properly?	I figured this'd be the best section for asking about cigars...
20090226194252AAKzVq5	Food & Drink;Other - Food & Drink	What does coco bread taste like?	N/A
20090226195110AAoEv92	Food & Drink;Cooking & Recipes	How do you make Chocolate Oaties?	N/A
20090226195321AAokFcb	Food & Drink;Non-Alcoholic Drinks	Coffee/ growth help!!!?	Um, iit's true that drinking coffee stuns your growth untill 18, well i'm 13, and i just wanted to know if drinking decaf coffee stuns growth, and if i do drink a teensy bit of coffee, will it affect my growth? + i'm only 4'11(and a half). If i drink a caramel frappachino with 85 mg caffeine about 5 times(or less) a year, will i stop growing???   Is it the same deal for soda, or something else with caffiene???
20090226195617AAvf31x	Food & Drink;Cooking & Recipes	Does anyone have any good chicken recipes?	Any kind of chicken is welcome!   And please type out/copy and paste the recipe from a website.   No links please!   Thanks!
20090226195451AAa2Uvg	Food & Drink;Other - Food & Drink	My sock puppet is eating my onion rings, help?!?!?	I just got them from a pizza place.. and my sock puppet ate them all! What should I do??!!
