20070124155033AATIYG7	Sports;Football (American)	Where can I get a URL for a picture of mine?	(the picture is large..fits my computer screen)
20070131120034AAMQaUO	Sports;Other - Sports	What is a good training workout for the 400m?	I run the 400m in highschool track, and I want to get better. What are some good workouts and strength tips?
20070201085604AAOMctJ	Sports;Football (American)	Rephrasing it - Around a third of this year's Super Bowl tickets will be paid for...how?	This is a radio station question.  We have answered: NFL, internet, advertisers, corporate sponsors, broadcast network, cash, credit card - - and so far there has not been a correct answer given.
20070212124835AA6WDdq	Sports;Wrestling	I can't make anymore changes!?	I wasn't on most of yesterday but I did promise I have the full roster for SNY.      YAH00 Championship Contenders: WWEXtreme4life, Harley    White, Mr. DEDEDE, soul man1993      Yahoo Women's Championship Contenders: MICKIE JAMES #1 FAN, YOU CANT SEE ME- JOHN CENA, HBK lover, #1 WWE Woman's Champion, Jaden Lee, YOUR biggest fear      Y Division Contenders- The Undertaker- R.I.P., bballkid, JEF HARDY #1 FAN, and HBK lover      YAHOO Tag Titles Contenders- Matt AKA: Rated rko! and The Next Kenny Dykstra (Current Champs), Hostile Takeover (Mr. DEDEDE and Harley White) and BLKOUT (WWEXtreme4life and soul man1993)      General Manager- Mike Waggs   Makeup Artist- I? John Cena #1 FAN and LOVER!?   Pyrotechnics Worker- False Hero Chris      I can't change the matches, match types, or wrestlers in the matches. All decisions are final.      Anyway, I have 4 contenders for the Y Division Title, and the match will be decided RIGHT NOW! It will be a 4-Way Inferno Steel Cage Match, first one out wins!      Thoughts?
20070212150939AAWjryn	Sports;Wrestling	New schedule! For everybody in SNY! And impatient viewers!?	The first episode of Sunday Night Yahoo will air on Feb. 8 at 8:00. But I worked so hard making that match card and choosing a roster. Then finally when Mike comes back, he completely makes his own titles, and I know he's the GM and all, but don't I get credit Mike Waggs click on my avatar and look at my questions thats what u need to kno!      Anyway: What do u think of these matches Mike Waggs?      6 Woman over the top rope Battle Royal for the Yahoo Womens title.      4-way Inferno Steel Cage Match for the Y Division Title.      Matt AKA Rated RKO and The Next kenny Dykstra vs. fAtHeAd and nobody4rap for the Yahoo Tag Team Titles.      And the main event a TLC Barbed Wire MAssacre 20 Minute Tag Team Ironman with exploding livewire around the ring. Me and soul man1993 (BLKOUT) vs Harley White and Mr. DEDEDE (Hostile Takeover).each member of the winning team will go against each other next time to determine the first ever YAH00 Champ.The losing team will go for the Tag Titles next time on SNY!
20070212154716AAB3NQz	Sports;Wrestling	Mike Waggs or JEFF HARDY #1 FAN please answer!!!?	OK ill be calm now will either of you give me a shot at the YAH00 Title! I think i deserve it!
20070212160503AAr0WIb	Sports;Wrestling	Any diva on SNY roster that wanna manage me? I'm going for the YAH00 title against JEFF HARDY #1 FAN on SNY!!!	I'm open to anyone Mickie Lee u wanna manage me?
20070211092021AApEpJQ	Sports;Wrestling	OK Ive had enough!!!!!!!!!!!!!!!!!!!!!?	Ive had it with girls coming to me and asking for a shot at the YAH00 Women's title!!!! I already have 6 next time seriously girls!!! I need people going for the Y Division title I dont have any yet minimum 2 maximum 6. Its a cruiserweight title of SNY. If I get 2 ppl it will be a Parking Lot Brawl. If I get 6 people, it will be an Armageddon Hell in a Cell Match. Seriously I can't take it! Who wants to participate in the Y Division Invitational?
20070207163558AAPduay	Sports;Football (American)	Are you happy about Joe McKnight playing for USC?	im pretty happy that he is gonna play there because i live in cali and i am a big USC TROJAN FAN.
20070204220651AAWzrO5	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Does anyone know where i can watch the whole game of France Vs Italy online???	N/A
20070205071742AAub98V	Sports;Basketball	Does anyone still think the sacramento kings will ever win a championship?	about three or your years ago the kings had a chance to win the championships when they played the lakers.  I guess my question is does anyone think the kings will ever be as good as they used to be?
20070205093101AA4fqyn	Sports;Football (American)	What do you think will be the Raiders record next year if they draft JeMarcus Russell?	N/A
20070213144703AAgptRk	Sports;Wrestling	Mike Waggs I challenge U 4 fun!?	U Me one ring a table match the first official SNY match!       My ID is 180121      And heres a question, why do they make it so obvious that HBK, Cena Batista and Undertaker will win the 8-Man Tag?
20070224093108AAjBeQa	Sports;Wrestling	I'm bored so here's a question?	If Undertaker wins at WM23, retires as champ, and then they have a tournament to decide the next World Heavyweight Champion, who will win if it's NOT Batista?      HBK lover check ur email and wat state u live in and how old r u?
20070225035805AAjRnY8	Sports;Fantasy Sports	This is my fantasy baseball team. please rate it?	C  Joe Mauer (C , MIN)          1B  Ryan Howard (1B , PHI)          2B  Brian Roberts (2B , BAL)          3B  Eric Chavez (3B , OAK)         SS  Felipe Lopez (SS , WSH)          OF  Juan Rivera (OF , LAA)          OF  Johnny Damon (OF , NYY)          OF  Jermaine Dye (OF , CWS)          P  Chicago White Sox (P , CWS)          Bn  Gary Sheffield (OF , DET)          Bn  Todd Walker (1B,2B,3B , SD)          Bn  Scott Podsednik (OF , CWS)          Bn  Kevin Youkilis (1B,3B,OF , BOS)          Bn  Frank Thomas (1B , TOR)         Bn  Bill Hall (3B,SS , MIL)
20070306133454AAq5y9V	Sports;Wrestling	The AWF Fed?	Don't worry there is a wrestling question at the end, but read this and answer this first:         I'm starting a new thing like SNY called AWF, Answers Wrestling Federation. It will not be like SNY, crowding up the section with our crap. We will only ask a question about every 15 questions. We'll get everything SNY had and more. SNY former users are invited and newcomers. If you wanna join, answer yes to this question. I promise it'll be different from SNY.         By the way, to all of you from former SNY, you could know me as the former VivA La InDia.         Now for the WWE question. Do you think that Bobby Lashley or Umaga will win at WM 23? Do you think it will be a No Contest or Stone Cold won't allow it?
20070215104340AAxK33q	Sports;Cricket	Where is Netball Cricket Federation Of India situated?	N/A
20070219072634AAlldXg	Sports;Wrestling	Who is cooler edge or randy orten?	N/A
20070219105453AAc7sZK	Sports;Wrestling	Has there been two undertakers and 2 kanes?	see the original undertaker was not good for vince mcmahon.so he had to get someone new.thats was mark calloway.so at summerslam when it was taker vs taker that was the old undertaker vs the one today.so it really has been 2 undertakers.      with kane,even though the undertaker was playing Kane for a while it was still two kane,unless that was really the old undertaker playing  kane,but the kane today is a new kane,the heads and everything else is different.      this is my last time on this topic.
