20090220032514AALWXDP	Sports;Outdoor Recreation;Hunting	California legal HK416 assault rifle?	is there such a thing and if so were do i find one?
20090220032533AAaKfJL	Sports;Basketball	OJ Mayo or Derrick Rose for Rookie of the Year Award?	TELL ME!
20090220033033AAUfM30	Sports;Wrestling	Have Any Of You Ever Been To The Wrestling Restaurant WWF New York/The World?	I went there a few times.  It was open 1999-2003 I believe.   At the time it was the "must go" for Wrestling fans.      Did you ever get to go there before they went down?
20090220033003AAOw21w	Sports;Wrestling	Who thinks jeff hardy is overrated?	my opinion: there a lot of high flyers today i can think of that are better than jeff hardy.       to me he is a mid carder and should be going for the intercontenal title he can't carry anyone and he does the same average spots over and over again.       seriously evan bourne is better than jeff hardy in every way maybe if he did  al egdrop off of something really high he would be wwechampionship material
20090220033028AAmQ9nX	Sports;Football (American)	Detail Question About Throwing American Football Mechanics?	Do you get your hand wrist fixed when throwing american football?
20090220033049AA2zS83	Sports;Martial Arts	What style/styles did Dan Henderson use to control his opponent in his first MMA match?	Here is the match for your reference.    http://www.dailymotion.com/video/x1q772_... 
20090220033149AAVNJyO	Sports;Wrestling	Should Festus be repackaged?	What is your opinion on Festus? I personally think his 'snap when the bell rings' gimmick is pretty old and stale now, and him and Jesse pretty much get no reaction when they come out these days.  My suggestion would be to turn Festus heel, possibly splitting him from Jesse, and make him a dominating physchopath. What would you do to repackage him? Or do you see anything in him at all?
20090220033749AA7axAr	Sports;Wrestling	Hulk hogan celebrity wrestling is it a good show?	its coming to oz on fox8      wq do you like my avatar
20090220033754AAEiAnT	Sports;Tennis	Do you think Djokovic will win a grand slam in 2009?	And if so, which one do you think he'll win.
20090220033137AAdmIBs	Sports;Wrestling	Who Would Win these matches?	Chris Benoit vs Mr.Kennedy vs John Morrison   The Undertaker and Kane vs The Hardy Boyz w/Lita   Edge vs Randy Orton   Trish stratus vs Lita vs mickie james    Stone cold vs the rock
20090220033149AAbJXv7	Sports;Tennis	What material properties are needed in a tennis racket frame?	So far i have...   Lightweight   Flexible   High tensile strength   Torsional Stability   Can anyone think of any others?   Thanks. ;)
20090220035148AAFV56k	Sports;Wrestling	Wow, Nicole Bass Did Fetish Videos?	I don't know if anyone else knows but I found that from 1999-2000 Nicole Bass appeared in fetish s/m videos such as Pain and Suffering, I Love To Hurt You, and Man Handled.      I didn't know she was "into this".  Was it for the $, part of her gimmick, a one time thing... what?
20090220035401AAVeTCt	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Who is the odd one out & why?	David Platt   Kenny Sansom   Paul Parker   Gary Linekar
20090220034433AAuLn8t	Sports;Football (American)	Can you explain these terms to me?	i'm a huge a patriots fan from england and when i watch a match a few terms stick out that i dont understand. easy 10 points. they are      inside 20   franchise tag   qb rating   rushing rating   4th quarter comeback   pro bowl   pr   kr   restricted free agent   giveaway   takeaway      thanks for telling me
20090220034657AARsVGt	Sports;Cricket	Im after a new cricket bat.?	what bats would you recommend.
20090220035136AAXyRK2	Sports;Cricket	Which channel is going to telecast live Pakistan-srilanka test matches in UK?	N/A
20090220034115AAZ1THy	Sports;Wrestling	Am I right in thinking that WWE Smackdown's 10th Anniversary is this year?	i've been trying to work it out but i have  forms of dysgraphia and dyscalculia so numbers are not my strong point
20090220035111AAli4kV	Sports;Football (Soccer);Other - Soccer	Who Is The Best Welsh Footballer?	Which is still playing for Wales or still playing but retired for  Wales?
20090220034150AAGLtuH	Sports;Cricket	Who do you think will win the T20 World Cup in England this year?	Predictions?   I think it will be either India or Sri Lanka in the final against either New Zeland or West Indies
